"rownum","Quest","Order","FlagsPresent","FlagsMissing","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool_60","Message","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)","MapPinsKeys","i32_85","MapPinsText","MapPinsText (French)","MapPinsText (German)","MapPinsText (Japanese)","MapPinsText (Korean)","MapPinsText (Portuguese)","MapPinsText (Russian)","MapPinsText (Spanish)","MapPinsText (Thai)","MapPinsText (Traditional Chinese)","MapPinsKey","WorldArea","bool_129","[i32]_130","[i32]_146","i32_162","SoundEffect","string_182","QuestItem","bool_206","bool_207"
1184,116,65,[],[],"Return to the Ruins of Kingsmarch.","Retournez aux Ruines de Marcheroi.","Kehrt zu den Ruinen von Königsmark zurück.","キングスマーチの廃墟に戻れ","킹스마치 폐허로 돌아가십시오.","Volte às Ruínas de Kingsmarch.","Вернитесь в Развалины Кингсмарша.","Regresa a las Ruinas de Marca del rey.","กลับไปยังซากนครคิงส์มาร์ช","返回金司馬區廢墟。","","Return to the Ruins of Kingsmarch","Retournez aux Ruines de Marcheroi","Kehrt zu den Ruinen von Königsmark zurück","キングスマーチの廃墟に戻れ","킹스마치 폐허로 돌아가기","Volte às Ruínas de Kingsmarch","Вернитесь в Развалины Кингсмарша","Regresa a las Ruinas de Marca del rey","กลับไปยังซากนครคิงส์มาร์ช","返回金司馬區廢墟",[],0,"Return to the Ruins of Kingsmarch","Retournez aux Ruines de Marcheroi","Kehrt zu den Ruinen von Königsmark zurück.","キングスマーチの廃墟に戻れ","킹스마치 폐허로 돌아가기","Volte às Ruínas de Kingsmarch","Вернитесь в Развалины Кингсмарша","Regresa a las Ruinas de Marca del rey","กลับ​ไป​ยัง​ซากนครคิงส์มาร์ช","返回金司馬區廢墟","",[],"",[4484],[],11,"","",[],"",""
1185,116,66,[1655],[],"Defeat Medved, the Fallen Seer.","Terrassez Medved, le Prophète déchu.","Besiegt Medved, den Gefallenen Seher.","堕ちた予言者、メドヴェッドを倒せ","몰락한 예견자 메드베드를 처치하십시오.","Derrote Medved, o Vidente Caído.","Победите Медведя, павшего провидца","Derrota a Medved, el Adivino caído.","สยบเม็ดเว็ด โหรผู้วินาศ","擊敗墮落先知．梅德偉。","","Defeat Medved, the Fallen Seer","Terrassez Medved, le Prophète déchu","Besiegt Medved, den Gefallenen Seher","堕ちた予言者、メドヴェッドを倒せ","몰락한 예견자 메드베드 처치하기","Derrote Medved, o Vidente Caído","Победите Медведя, павшего провидца","Derrota a Medved, el Adivino caído","สยบเม็ดเว็ด โหรผู้วินาศ","擊敗墮落先知．梅德偉",[],0,"Defeat Medved, the Fallen Seer","Terrassez Medved, le Prophète déchu","Besiegt Medved, den Gefallenen Seher.","堕ちた予言者、メドヴェッドを倒せ","몰락한 예견자 메드베드 처치하기","Derrote Medved, o Vidente Caído","Победите Медведя – павшего провидца","Derrota a Medved, el Adivino caído","สยบเม็ดเว็ด โหรผู้วินาศ","擊敗墮落先知．梅德偉","",[389],"",[],[],11,"","",[],"",""
1186,116,67,[1654],[],"Explore the Tomb.","Explorez le Tombeau.","Erkundet das Grab.","墓を調査しろ","무덤을 탐험하십시오.","Explore a tumba.","Осмотрите гробницу.","Explora la tumba.","สำรวจหลุมศพ","探索陵墓。","","Explore the Tomb","Explorez le Tombeau","Erkundet das Grab","墓を調査しろ","무덤 탐험하기","Explore a tumba","Осмотрите гробницу","Explora la tumba","สำรวจหลุมศพ","探索陵墓",[],0,"Explore the Tomb","Explorez le Tombeau","Erkundet das Grab.","墓を調査しろ","무덤 탐험하기","Explore a tumba","Осмотрите гробницу","Explora la tumba","สำรวจหลุมศพ","探索陵墓","",[389],"",[],[],11,"","",[],"",""
1187,116,68,[1653],[],"Enter the Tomb.","Entrez dans le Tombeau.","Betretet das Grab.","墓に入れ","무덤에 들어가십시오.","Entre na tumba.","Войдите в гробницу.","Accede a la tumba.","เข้าไปในหลุมศพ","進入陵墓。","","Enter the Tomb","Entrez dans le Tombeau","Betretet das Grab","墓に入れ","무덤에 들어가기","Entre na tumba","Войдите в гробницу","Accede a la tumba","เข้าไปในหลุมศพ","進入陵墓",[],3000,"Enter the Tomb","Entrez dans le Tombeau","Betretet das Grab.","墓に入れ","무덤에 들어가기","Entre na tumba","Войдите в гробницу","Accede a la tumba","เข้าไปในหลุมศพ","進入陵墓","",[389],"",[],[],11,"","",[],"",""
1188,116,69,[1652],[],"Detonate the Explosives.","Faites détoner les Explosifs.","Detoniert den Sprengstoff.","爆薬を起爆しろ","폭발물을 터뜨리십시오.","Detone os explosivos.","Подорвите взрывчатку.","Detona los explosivos.","จุดชนวนวัตถุระเบิด","引爆炸藥。","","Detonate the Explosives","Faites détoner les Explosifs","Detoniert den Sprengstoff","爆薬を起爆しろ","폭발물 터뜨리기","Detone os explosivos","Подорвите взрывчатку","Detona los explosivos","จุดชนวนวัตถุระเบิด","引爆炸藥",[],0,"Detonate the Explosives","Faites détoner les Explosifs","Detoniert den Sprengstoff.","爆薬を起爆しろ","폭발물 터뜨리기","Detone os explosivos","Подорвите взрывчатку","Detona los explosivos","จุดชนวนวัตถุระเบิด","引爆炸藥","",[389],"",[],[],11,"","",[],"",""
1189,116,70,[1563],[],"Follow Gwennen.","Suivez Gwennen.","Folgt Gwennen.","グウェネンについていけ","그위넨을 따라가십시오.","Siga a Gwennen.","Следуйте за Гвеннен.","Sigue a Gwennen.","ติดตามเกว็นเน็น","跟隨關南。","","Follow Gwennen","Suivez Gwennen","Folgt Gwennen","グウェネンについていけ","그위넨 따라가기","Siga a Gwennen","Следуйте за Гвеннен","Sigue a Gwennen","ติดตามเกว็นเน็น","跟隨關南",[],0,"Follow Gwennen","Suivez Gwennen","Folgt Gwennen.","グウェネンについていけ","그위넨 따라가기","Siga a Gwennen","Следуйте за Гвеннен","Sigue a Gwennen","ติดตามเกว็นเน็น","跟隨關南","",[389],"",[],[],11,"","",[],"",""
1190,116,71,[],[],"Search for Medved.","Cherchez Medved.","Sucht Medved.","メドヴェッドを探せ","메드베드를 찾으십시오.","Procure Medved.","Отыщите Медведя.","Busca a Medved.","ตามหาเม็ดเว็ด","搜尋梅德偉。","","Search for Medved","Cherchez Medved","Sucht nach Medved","メドヴェッドを探せ","메드베드 찾기","Procure Medved","Отыщите Медведя","Busca a Medved","ตามหาเม็ดเว็ด","搜尋梅德偉",[],0,"Search for Medved","Cherchez Medved","Sucht Medved.","メドヴェッドを探せ","메드베드 찾기","Procure Medved","Отыщите Медведя","Busca a Medved","ตามหาเม็ดเว็ด","搜尋梅德偉","",[389],"",[4533],[],11,"","",[],"",""
1191,116,72,[],[],"Explore the Islands in search of Medved.","Explorez les Îles à la recherche de Medved.","Erkundet die Inseln auf der Suche nach Medved.","メドヴェッドを探して島々を探索しろ","메드베드를 찾아 섬을 탐험하십시오.","Explore as ilhas em busca do Medved.","Обследуйте острова в поисках Медведя.","Explora las islas en busca de Medved.","ออกสำรวจตามเกาะต่างๆ เพื่อตามหาเม็ดเว็ด","探索群島以尋找梅德偉。","","Explore the Islands","Explorez les Îles","Erkundet die Inseln","探して島々を探索しろ","섬 탐험하기","Explore as ilhas","Обследуйте острова","Explora las islas","ออกสำรวจตามเกาะต่างๆ","探索群島",[],0,"Explore the Islands in search of Medved","Explorez les Îles à la recherche de Medved","Erkundet die Inseln auf der Suche nach Medved.","メドヴェッドを探して島々を探索しろ","메드베드를 찾아 섬 탐험하기","Explore as ilhas em busca do Medved","Обследуйте острова в поисках Медведя","Explora las islas en busca de Medved","ออกสำรวจ​ตาม​เกาะ​ต่างๆ เพื่อ​ตามหา​เม็ดเว็ด","探索群島以尋找梅德偉","",[],"",[4533],[],11,"","",[],"",""
1192,116,73,[1651],[],"Speak to Gwennen.","Cherchez Gwennen.","Sprecht mit Gwennen.","グウェネンに話しかけろ","그위넨과 대화하십시오.","Fale com Gwennen.","Поговорите с Гвеннен.","Habla con Gwennen.","พูดคุยกับเกว็นเน็น","和關南交談。","","Speak to Gwennen","Cherchez Gwennen","Sprecht mit Gwennen","グウェネンに話しかけろ","그위넨과 대화하기","Fale com Gwennen","Поговорите с Гвеннен","Habla con Gwennen","พูดคุยกับเกว็นเน็น","和關南交談",[],0,"Speak to Gwennen","Cherchez Gwennen","Sprecht mit Gwennen.","グウェネンに話しかけろ","그위넨과 대화하기","Fale com Gwennen","Поговорите с Гвеннен","Habla con Gwennen","พูดคุยกับเกว็นเน็น","和關南交談","",[389],"",[],[],11,"","",[],"",""
1193,116,74,[1650],[],"Defeat the monsters to save Gwennen.","Terrassez les monstres pour sauver Gwennen.","Besiegt die Monster, um Gwennen zu retten.","モンスターを倒してグウェネンを守れ","몬스터들을 처치해 그위넨을 구하십시오.","Derrote os monstros para salvar Gwennen.","Победите монстров, чтобы спасти Гвеннен.","Derrota a los monstruos para salvar a Gwennen.","สยบมอนสเตอร์เพื่อช่วยชีวิตเกว็นเน็น","擊敗怪物以拯救關南。","","Save Gwennen","Sauvez Gwennen","Rettet Gwennen","グウェネンを守れ","그위넨 구하기","Salve Gwennen","Спасите Гвеннен","Salva a Gwennen","ช่วยชีวิตเกว็นเน็น","拯救關南",[],0,"Defeat the monsters to save Gwennen","Terrassez les monstres pour sauver Gwennen","Besiegt die Monster und rettet Gwennen.","モンスターを倒してグウェネンを守れ","몬스터들을 처치해 그위넨 구하기","Derrote os monstros para salvar Gwennen","Победите монстров и спасите Гвеннен","Derrota a los monstruos para salvar a Gwennen","สยบ​มอนสเตอร์​เพื่อ​ช่วยชีวิต​เกว็นเน็น","擊敗怪物以拯救關南","",[389],"",[],[],11,"","",[],"",""
1194,116,75,[],[],"Search for Gwennen.","Cherchez Gwennen.","Sucht Gwennen.","グウェネンを探せ","그위넨을 찾으십시오.","Procure Gwennen.","Отыщите Гвеннен.","Busca a Gwennen.","ตามหาเกว็นเน็น","搜尋關南。","","Search for Gwennen","Cherchez Gwennen","Sucht nach Gwennen","グウェネンを探せ","그위넨 찾기","Procure Gwennen","Отыщите Гвеннен","Busca a Gwennen","ตามหาเกว็นเน็น","搜尋關南",[],0,"Search for Gwennen","Cherchez Gwennen","Sucht Gwennen.","グウェネンを探せ","그위넨 찾기","Procure Gwennen","Отыщите Гвеннен","Busca a Gwennen","ตามหาเกว็นเน็น","搜尋關南","",[389],"",[4425],[],11,"","",[],"",""
1195,116,76,[],[],"Explore the Islands in search of Gwennen.","Explorez les Îles à la recherche de Gwennen.","Erkundet die Inseln auf der Suche nach Gwennen.","グウェネンを探して島々を探索しろ","그위넨을 찾아 섬을 탐험하십시오.","Explore as ilhas em busca da Gwennen.","Обследуйте острова в поисках Гвеннен.","Explora las islas en busca de Gwennen.","ออกสำรวจตามเกาะต่างๆ เพื่อตามหาเกว็นเน็น","探索群島以尋找關南。","","Explore the Islands","Explorez les Îles","Erkundet die Inseln","島々を探索しろ","섬 탐험하기","Explore as ilhas","Обследуйте острова","Explora las islas","ออกสำรวจตามเกาะต่างๆ","探索群島",[],0,"Explore the Islands in search of Gwennen","Explorez les Îles à la recherche de Gwennen","Erkundet die Inseln auf der Suche nach Gwennen.","グウェネンを探して島々を探索しろ","그위넨을 찾아 섬 탐험하기","Explore as ilhas em busca da Gwennen.","Обследуйте острова в поисках Гвеннен","Explora las islas en busca de Gwennen","ออกสำรวจ​ตาม​เกาะ​ต่างๆ เพื่อ​ตามหา​เกว็นเน็น","探索群島以尋找關南","",[],"",[4425],[],11,"","",[],"",""
1196,116,77,[5541],[],"Use Makoru's Logbook on the Atlas to reveal Islands.","Utilisez le Journal de bord de Makoru sur l'Atlas pour révéler des Îles.","Verwendet Makorus Logbuch auf dem Atlas, um Inseln zu enthüllen.","マコルのログブックを使用してアトラス上で島々を公開しろ","아틀라스에 마코루의 일지를 사용해 섬들을 드러내십시오.","Use o diário da Makoru no Atlas para revelar ilhas.","Используйте журнал Макору на Атласе, чтобы разведать острова.","Usa el Registro de Makoru en el Atlas para revelar islas.","ใช้สมุดปูมเดินทางของมาโครูเผยเกาะต่างๆ บนแอตลาส","在輿圖上使用瑪寇魯的日誌以揭露島嶼。","","Use Makoru's Logbook","Utilisez le Journal de bord de Makoru","Verwendet Makorus Logbuch","マコルのログブックを使用しろ","마코루의 일지 사용하기","Use o diário da Makoru","Используйте журнал Макору","Usa el Registro de Makoru","ใช้สมุดปูมเดินทางของมาโครู","使用瑪寇魯的日誌",[],0,"Use Makoru's Logbook on the Atlas","Utilisez le Journal de bord de Makoru sur l'Atlas","Verwendet Makorus Logbuch auf dem Atlas und enthüllt damit Inseln.","マコルのログブックを使用してアトラス上で島々を公開しろ","아틀라스에 마코루의 일지 사용하기","Use o diário do Makoru no Atlas","Используйте журнал Макору на Атласе","Usa el Registro de Makoru en el Atlas","ใช้​สมุดปูมเดินทางของมาโครูบน​แอตลาส","在輿圖上使用瑪寇魯的日誌","",[],"",[],[],11,"","",[],"",""
