"rownum","Id","WorldArea","WorldAreasKeys","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","QuestFlags1","Act","QuestFlags2","QuestFlags3","QuestFlag1","string_124","ParentMapPin","MetadataId","PinProperty","QuestFlag2","string_180","string_180 (French)","string_180 (German)","string_180 (Japanese)","string_180 (Korean)","string_180 (Portuguese)","string_180 (Russian)","string_180 (Spanish)","string_180 (Thai)","string_180 (Traditional Chinese)","bool_188","i32_189","i32_193","bool_197","i32_198"
126,"G2_3_Lim",124,[],"Forward Command Tents","Tentes de commandement avancées","Kommandozelte an der Front","前線指揮所","전방 지휘 막사","Barracas de Comando Avançado","Передовой командный пункт","Tiendas de mando de avanzada","เต็นท์บัญชาส่วนหน้า","前線指揮營帳","...the bodies of the Gates' dekharas have been raised on spikes...","...les corps des dekharas des Portes ont été dressés sur des piques...","… die Körper der Dekharas, die das Tor bewachten, wurden auf Pfähle gespießt und aufgerichtet …","……門のデカーラたちの死体が串刺しにされている……","...관문의 데카라들의 시신이 가시에 꿰인 채 걸려 있습니다...","Os corpos dos dekharas dos Portões foram suspensos em estacas...","...тела дехара, что были у Ворот, воздели на пики...","...los cuerpos de los dekharas de las puertas se han clavado en estacas...","...ร่างของเด็คคาราประจำประตูนี้\r\nถูกเสียบประจานไว้บนหนาม...","……關口部下的屍體被高懸在尖刺上……",[2909],2,[72],[4902],"","WorldMapContentRareMonster",125,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinAncientGatesLim",0,"","","","","","","","","","","","",4830,4830,"",56
127,"G2_3_LimDone",124,[],"Forward Command Tents","Tentes de commandement avancées","Kommandozelte an der Front","前線指揮所","전방 지휘 막사","Barracas de Comando Avançado","Передовой командный пункт","Tiendas de mando de avanzada","เต็นท์บัญชาส่วนหน้า","前線指揮營帳","...the Impaler will rot on a spike of her own.","...l'Empaleuse pourrira sur une de ses propres piques.","… die Pfählerin wird auf ihrem eigenen Spieß verrotten.","……貫くものは彼女自身の棘に刺さり腐っていくだろう。","...꿰뚫는 자는 자신의 가시에 꿰인 채 썩어갈 것입니다.","A Empaladora apodrecerá em sua própria estaca.","...Пронзательница будет гнить на собственном оружии.","...la Empaladora se pudrirá en su propia estaca.","...มันผู้นี้จะเน่าตาย\r\nอยู่บนหอกของมันเอง..","……穿刺者會在她自己的尖刺上腐爛。",[4902],2,[72],[],"","WorldMapContentRareMonsterDone",125,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinAncientGatesLim",0,"","","","","","","","","","","","",4830,4830,1,56
128,"G2_3_PerennialKing",124,[],"Jamanra, the Risen King","Jamanra, le Roi ressuscité","Jamanra, der auferstandene König","復活した王、ジャマンラ","일어난 왕 자만라","Jamanra, o Rei Renascido","Яманра, Восставший Царь","Jamanra, el Rey ascendido","จามันรา กษัตริย์คืนชีพ","崛起之王．賈嫚拉","...claims that the Faridun hero himself led the assault...","...affirme que le héros faridun a lui-même mené l'assaut...","… behauptet, dass sie der Held der Faridun selbst in die Schlacht führte …","……ファリドゥンの英雄その人が襲撃を率いたのだと言う……","...파리둔의 영웅이 몸소 공격의 선봉에 섰다고 합니다...","Há relatos de que o próprio herói faridun liderou o ataque...","...якобы сам герой-фаридунец возглавил атаку...","...afirma que el mismísimo héroe faridun lideró el asalto...","...ว่ากันว่าวีรชนฟาริดัน\r\nเป็นผู้นำการจู่โจมเสียเอง...","……據傳法里登的英雄本人親自率領了襲擊……",[2909],2,[72],[3174],"","WorldMapContentBoss",125,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinPerennialKingGates",0,"","","","","","","","","","","","",4830,4830,"",56
129,"G2_3_PerennialKingSlain",124,[],"Jamanra, the Risen King","Jamanra, le Roi ressuscité","Jamanra, der auferstandene König","復活した王、ジャマンラ","일어난 왕 자만라","Jamanra, o Rei Renascido","Яманра, Восставший Царь","Jamanra, el Rey ascendido","จามันรา กษัตริย์คืนชีพ","崛起之王．賈嫚拉","...the coward fled rather than face another death...","...le lâche s'est enfui plutôt que d'affronter une nouvelle fois la mort...","… der Feigling floh lieber, als sich erneut dem Tod zu stellen …","……臆病者は再び死と対面するよりも逃亡を選んだ……","...겁쟁이가 또 한 번의 죽음을 피해 도망쳤습니다...","O covarde fugiu em vez de encarar outra morte...","...трус бросается в бегство от очередной гибели...","...el cobarde huyó antes que enfrentarse de nuevo a la muerte...","...คนขี้ขลาดผู้นี้หลบหนีไป\r\nแทนที่จะเสี่ยงตายอีกครา...","……懦夫選擇逃跑，而不是直面另一次死亡……",[3174],2,[72],[],"","WorldMapContentBossDone",125,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinPerennialKingGates",0,"","","","","","","","","","","","",4830,4830,1,56
130,"G2_3a","",[125],"The Halani Gates","Les Portes d'Halani","Die Halani-Tore","ハラニの門","할라니 관문","Os Portões Halani","Ворота Халани","Las puertas de Halani","ประตูฮาลานี","哈拉妮關口","The flow of trade is gone, but the gates remain.","Le flux du commerce a disparu, mais les portes demeurent.","Die Handelsströme sind verschwunden, aber die Pforten stehen nach wie vor offen.","貿易の流れは失われたが、門は残っている。","교역의 물줄기는 사라졌지만 문은 남아 있습니다.","O fluxo comercial se foi, mas os portões permanecem.","Торговый ход пропал, а ворота остались.","El flujo del comercio ha desaparecido, pero las puertas permanecen.","การค้าสิ้นไปเนิ่นนาน\r\nทว่าประตูยิ่งใหญ่ยังคงอยู่","貿易的人潮已不復存在，但關口依舊存在。","[4531,3461]",2,[4531],[1524],"","","","Metadata/Terrain/WorldMaps/Act2/Objects/MapPinLockedGates","",3199,"The eyes of the banished glare down with spiteful satisfaction.","Les yeux des bannis brillent d'une satisfaction rancunière.","Die Augen der Verbannten blicken mit boshafter Genugtuung herab.","追放された者の目が悪意に満ちた満足感をもって睨みつけている。","추방당한 자들의 눈이 짓궂은 만족감을 띠고 아래를 노려봅니다.","Os olhos dos banidos encaram de cima com uma satisfação maldosa.","В глазах изгнанных блестит злорадное удовлетворение.","Los ojos de los desterrados miran con una satisfacción fruto del rencor.","ดวงตาผู้ถูกเนรเทศ\r\nจับจ้องลงมาอย่างสาแก่ใจ","放逐者帶著惡意的滿足以雙眼向下凝視。","",4830,4830,"",56
131,"G2_4_1",127,[127],"Keth","Keth","Keth","ケス","케스","Keth","Кет","Keth","เค็ท","凱斯城","These rivers now carry only tides of sand.","Ces rivières ne déversent plus que des marées de sable.","Diese Flüsse fließen nur noch mit Sandfluten.","今はもう砂の潮流を運ぶだけになってしまった川。","이곳의 강에는 이제 모래의 물결이 흐릅니다.","Estes rios agora só levam marés de areia.","Теперь эти реки несут с собой только волны песка.","Estos ríos ahora solo portan mareas de arena.","สายธารเหล่านี้\r\nมีเพียงกระแสทราย","如今川流之中僅裹挾著滾滾沙潮。","[3212,1527]",2,[3212],[],"","","","Metadata/Terrain/WorldMaps/Act2/Objects/MapPinKeth","","","","","","","","","","","","","",4830,4830,"",56
132,"G2_4_1_Kabala",127,[],"Kabala, Constrictor Queen","Kabala, Reine de la constriction","Kabala, Würgekönigin","大蛇の女王、カバラ","위압자 여왕 카발라","Kabala, Rainha Constritora","Царица угнетателей Кабала","Kabala, Reina constrictora","คาบาล่า ราชินีงูยักษ์","蟒蛇女王．卡巴拉","...whispers that Kabala has returned to Keth...","...murmure que Kabala est retournée à Keth...","… Raunen, dass Kabala nach Keth zurückgekehrt ist …","……カバラがケスへ戻ったという噂が囁かれている……","...카발라가 케스로 돌아왔다는 속삭임이 들려옵니다...","Há rumores de que Kabala retornou a Keth...","...говорят, Кабала возвращается в Кет...","...susurros de que Kabala ha regresado a Keth...","...ลือกันว่าคาบาล่า\r\nกลับมายังเค็ท...","……流言稱卡巴拉已經回到了凱斯城……",[3212],2,[72],[4347],"","WorldMapContentBossUpgrade",131,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinKabala",0,"","","","","","","","","","","","",4830,4830,"",56
133,"G2_4_1_KabalaSlain",127,[],"Kabala, Constrictor Queen","Kabala, Reine de la constriction","Kabala, Würgekönigin","大蛇の女王、カバラ","위압자 여왕 카발라","Kabala, Rainha Constritora","Царица угнетателей Кабала","Kabala, Reina constrictora","คาบาล่า ราชินีงูยักษ์","蟒蛇女王．卡巴拉","...she knew the consequences...\r\n\r\n<white>{Grants Two Weapon Set Passive Skill Points}","...elle en connaissait les conséquences...\r\n\r\n<white>{Octroie deux points de Talent d'Ensemble d'armes}","… sie war sich der Folgen bewusst …\r\n\r\n<white>{Gewährt zwei Waffenset-Fertigkeitspunkte}","……彼女はどうなるかわかっていた……\r\n\r\n<white>{武器セットパッシブスキルポイント2点を与える}","...스스로도 어떤 결과가 따를지 알았겠지요...\r\n\r\n<white>{무기 세트 패시브 스킬 포인트 2포인트 부여}","Ela sabia as consequências...\r\n\r\n<white>{Concede dois pontos de habilidades passivas de conjunto de armas}","...она знала о последствиях...\r\n\r\n<white>{Дарует 2 очка пассивных умений для набора оружия}","...conocía las consecuencias...\r\n\r\n<white>{Otorga dos puntos de habilidades pasivas de set de arma}","...เธอรู้แก่ใจดีว่า\r\nผลลัพธ์จะเป็นเช่นไร...\r\n\r\n<white>{ให้แต้มพาสซีฟชุดอาวุธ 2 แต้ม}","……她早已知道後果……",[4347],2,[72],[],"","WorldMapContentBossUpgradeDone",131,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinKabala",0,"","","","","","","","","","","","",4830,4830,1,56
134,"G2_4_1_Tomb",127,[],"Abandoned Shrine","Sanctuaire abandonné","Verlassener Schrein","廃神殿","버려진 성소","Altar Abandonado","Заброшенная святыня","Santuario abandonado","แท่นบูชาร้าง","廢棄神殿","...untouched by mortals for centuries at the least...","...épargnée par les mortels depuis des siècles au moins...","… seit Jahrhunderten von der Hand der Sterblichen unberührt …","……少なくとも数百年は人に触れられていない……","...족히 수백 년은 필멸자의 손이 닿지 않았습니다...","Intocado por mortais por, no mínimo, séculos...","...люди не появлялись здесь как минимум несколько сотен лет...","...inalterado por manos mortales al menos durante siglos...","...ไม่มีมนุษย์ผู้ใดพบเจอ\r\nมาอย่างน้อยหลายศตวรรษ...","……至少數個世紀沒有被凡人之手碰過了……",[3212],2,[72],[4900],"","WorldMapContentChest",131,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinKethUndergroundTomb",0,"","","","","","","","","","","","",4830,4830,"",56
135,"G2_4_1_TombDone",127,[],"Abandoned Shrine","Sanctuaire abandonné","Verlassener Schrein","廃神殿","버려진 성소","Altar Abandonado","Заброшенная святыня","Santuario abandonado","แท่นบูชาร้าง","廢棄神殿","...untouched by mortals for centuries at the least...","...épargnée par les mortels depuis des siècles au moins...","… seit Jahrhunderten von der Hand der Sterblichen unberührt …","……少なくとも数百年は人に触れられていない……","...족히 수백 년은 필멸자의 손이 닿지 않았습니다...","Intocado por mortais por, no mínimo, séculos...","...люди не появлялись здесь как минимум несколько сотен лет...","...inalterado por manos mortales al menos durante siglos...","...ไม่มีมนุษย์ผู้ใดพบเจอ\r\nมาอย่างน้อยหลายศตวรรษ...","……至少數個世紀沒有被凡人之手碰過了……",[4900],2,[72],[],"","WorldMapContentChestDone",131,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinKethUndergroundTomb",0,"","","","","","","","","","","","",4830,4830,1,56
