"rownum","Id","HASH16","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
29,"UniqueAmulet6",53094,"Never blinking, always watching.\r\n\r\n<default>{This item can be transformed with a Blessing of Chayula}","Il ne cligne jamais ; il observe constamment.\r\n\r\n<default>{Cet objet peut être transformé\r\ngrâce à une Bénédiction de Chayula}","Niemals blinzelnd, stets beobachtend.\r\n\r\n<default>{Dieser Gegenstand kann mit Chayulas Segnung umgewandelt werden}","決して瞬かず、常に見つめて。\r\n\r\n<default>{このアイテムはチャユラの祝福によって変化させることができる}","깜빡이지 않고 언제나 주시하고 있다.\r\n\r\n<default>{본 아이템은 차율라의 축복을 이용하여 변형할 수 있습니다.}","Nunca piscando, sempre observando.\r\n\r\n<default>{Este item pode ser transformado com a Bênção de Chayula}","\r\nВечно смотрит, не моргая.\r\n\r\n<default>{Этот предмет можно улучшить Благословением Чаюлы}","Nunca pestañea, siempre observa.\r\n\r\n<default>{Este objeto puede transformarse con una Bendición de Chayula}","ไม่​กะพริบ​ตา จับ​จ้อง​อยู่​เสมอ\r\n\r\n<default>{สามารถ​แปรสภาพ​ไอเทม​ชิ้น​นี้​ได้​โดย​ใช้ พรแห่งชายูล่า}","永不眨眼，凝視不休。\r\n\r\n<default>{此物品能夠透過夏烏拉的祝福改造}"
30,"UniqueBodyDex1",65142,"Hyrri loosed a barrage of arrows,\r\ntipped with a poisoned hatred\r\nonly oppression can ferment.","Hyrri décocha une pluie de flèches,\r\ntrempées dans une haine vénéneuse\r\nque seule l'oppression peut faire naître.","Hyrri entließ ein Sperrfeuer aus Pfeilen, \r\ngetränkt mit vergiftetem Hass, den nur \r\nUnterdrückung hervorzubringen vermag.","ハイリは矢の雨を降らせ、\r\nその先端には弾圧のみが育める\r\n憎しみの毒が塗られていた。","하이리는 화살을 쏟아부었다.\r\n화살 끝에는 억압을 먹고 자란\r\n독기어린 증오가 묻어 있었다.","Hyrri lançou uma barragem de flechas,\r\nembebidas num ódio venenoso que\r\nsó a opressão pode fermentar.","Хайрри выпустила тучу стрел,\r\nсмоченных ядом ненависти\r\nиз сока порабощения.","Hyrri soltó un aluvión de flechas,\r\nsus puntas llenas de odio envenenado\r\nque solo la opresión puede fermentar.","ไฮรี​แผลงศร​ชุด​ใหญ่\r\nเคลือบ​พิษ​แห่ง​ความ​เกลียด​ชัง\r\nที่​ก่อ​เกิด​จาก​การ​กดขี่","西里的箭雨呼嘯而來，\r\n矢鋒劇毒命中要害，\r\n留下冰冷遺體訴說悲哀。"
31,"UniqueBodyStr1",61508,"The warrior who\r\nfears will fall.","Le guerrier qui a peur\r\nchutera.","Ein furchtsamer Krieger\r\nwird fallen.","恐れる戦士は\r\n倒れるだろう。","두려워하는 전사는\r\n반드시 패할 것이니.","O guerreiro que teme\r\né o guerreiro que cai.","Если воин боится,\r\nон погибнет.","El guerrero que\r\nteme, caerá.","นักรบ​ที่​หวาด​กลัว\r\nจะ​พ่ายแพ้","勇鬥之魂無堅不摧，\r\n懦弱之心退縮避畏。"
32,"UniqueBodyStr1x",49278,"\""Useless for our purposes, but perhaps we can sell Prototype #5\r\nto an archmage to fund other experiments.\""","« Bien que le Prototype n° 5 nous soit inutile pour atteindre nos objectifs,\r\nnous pourrions toutefois le vendre à un archimage\r\nafin de financer de futures expériences. »","\""Für unsere Zwecke ist er wertlos, aber vielleicht können wir Prototyp Nr. 5\r\nan einen Erzmagier verkaufen, um andere Experimente zu finanzieren.\""","「我々の目的に有用ではあるが、プロトタイプ5号は他の実験の資金とするため\r\n大魔道師に売却しても良いかもしれぬ」","\""프로토타입 #5는 우리에게는 무용지물이지만, 이를 대마법사에게 팔아,\r\n다른 실험을 위한 자금을 마련할 수 있을 것이다.\""","\""Inútil para nossos planos, mas talvez possamos vender o Protótipo #5 para um arquimago e financiar outros experimentos.\""","«Для наших целей он бесполезен, но, возможно, нам удастся продать протип №5\r\nкакому-нибудь архимагу, чтобы финансировать другие эксперименты».","\""El Prototipo #5 es inservible para nosotros, pero quizás podamos venderlo \r\na un archimago para financiar otros experimentos.\""","\""ไม่มี​ประโยชน์​ต่อ​วัตถุประสงค์​ของ​เรา​นัก แต่​เรา​อาจ​นำ​ต้นแบบ​หมายเลข 5\r\nไป​ขาย​ให้​กับ​จอมเวท​สัก​คน​เพื่อ​เป็น​ต้นทุน​สำหรับ​การทดลอง​อื่นๆ\""","\""對我們的目標沒幫助，但也許我們可以出售原型 #5\r\n來資助其他實驗。\"""
33,"UniqueDexHelmet1",47690,"Fairgraves' trusty tricorne accompanied him far across\r\nthe seas, deep under the ground, and even beyond death.","Le fidèle tricorne de Fairgraves l'a suivi sur\r\ntoutes les mers, sous terre et même au-delà de la mort.","Fairgraves' getreuer Dreispitz war ihm ein Begleiter \r\njenseits der Meere, tief unter der Erde und selbst über den Tod hinaus.","フェアグレーヴズの頼りになる三角帽は海の向こうで、\r\n深い地中で、そして死すらも越えて彼と共にあった。","페어그레이브즈의 듬직한 삼각모.\r\n저 멀리 바다 건너 땅 속, 심지어 죽음 너머까지 함께 하다.","O fiel tricórnio de Fairgraves o acompanhou\r\npelos mares, sob o chão, e até além da morte.","Верная треуголка Фейргрейвса побывала с ним в дальних морях,\r\nглубинах подземелий и даже за гранью смерти.","El confiable tricornio de Fairgraves lo acompañó a través\r\nde los mares, hacia las profundidades de la tierra e incluso más allá de la muerte.","หมวกไตรคอร์น​คู่ใจ​ของ​แฟร์เกรฟส์​อยู่​​คู่กับ​เขา​ไป​ถึง​โพ้นทะเล\r\nลึก​ลง​ไป​ใต้​พื้นดิน และ​ล่วงเลย​ไป​หลัง​ยาม​ตาย","費爾的皮帽陪他飄洋過海，\r\n即使入土為安，依然伴其屍骸。"
34,"UniqueDexHelmet2",36784,"Give of your heated passions.\r\nGive of your cold resolve.\r\nYou will be repaid.","Partagez vos passions enflammées.\r\nPartagez votre détermination glaciale.\r\nVous serez récompensé.","Zeigt Eure glühende Leidenschaft. \r\nZeigt Eure kühle Entschlossenheit. \r\nEs wird Euch gelohnt.","其方の熱情を与え給え。\r\n其方の冷徹さを与え給え。\r\n其方は報われるだろう。","뜨거운 열정을 바쳐라.\r\n차가운 결의를 바쳐라.\r\n헛되지 않을 것이니.","Dê suas calorosas paixões.\r\nDê sua determinação fria.\r\nVocê terá recompensas.","Отрешись от жарких порывов,\r\nотрекись от холодных расчетов,\r\nи воздастся тебе за старания.","Entrega tus ardientes pasiones.\r\nEntrega tu fría resolución.\r\nSerás recompensado.","มอบ​ความปรารถนา​อัน​ร้อนรุ่ม​ของ​เจ้า\r\nมอบ​ความแน่วแน่​อัน​เยือกเย็น​ของ​เจ้า \r\nเจ้า​จะ​ได้​รับ​การ​ตอบแทน","投注炙熱感情。\r\n秉持不移堅定。\r\n迎向燦爛光明。"
35,"UniqueIntHelmet1",5018,"Lift it lightly, don it slow.\r\nThe spikes point out and in, you know.","Soulevez-la avec légèreté, mettez-la lentement.\r\nElle n'a pas que des pointes vers l'extérieur, vous savez.","Hebt sie sachte an, setzt sie auf mit Geschick. \r\nSie hat überall Stacheln, das ist kein Trick.","そっと持ち上げ、ゆっくり着用\r\n棘は内外に向いているだろう？","가볍게 들어 천천히 써라.\r\n그래, 가시는 안팎으로 나 있으니.","Erga levemente, porte lentamente.\r\nEspinhos têm pontas para dentro e internamente.","С осторожностью бери, примеряй неспешно.\r\nШипы снаружи и внутри, о том тебе известно.","Tómala con cuidado, póntela despacio.\r\nNo lo olvides, las espinas apuntan afuera y adentro.","ยก​มัน​ขึ้น​เบาๆ สวม​มัน​ช้าๆ\r\nลิ่ม​มี​ทั้ง​ชี้​เข้า​และ​ออก เจ้า​ก็​รู้​นี่​นา","輕輕拿起，緩緩戴上。\r\n冠刺鋒利，非血即傷。"
36,"UniqueIntHelmet2",56458,"Asenath's mind was as quick and nimble\r\nas the fingers that drew her bowstring.","L'esprit d'Asenath était aussi vif et habile\r\nque les doigts qui bandaient son arc.","Asenaths Verstand war so flink und behände \r\nwie ihre Finger, die ihre Bogensehne spannten.","アセナスの頭脳は弓の弦を引く指と\r\n同じくらい機敏で軽快だった。","아세나스의 정신은 \r\n활시위를 당기는 가락만큼이나 기민했다.","A mente de Asenath era ágil e veloz\r\nassim como os dedos que atiravam seu arco.","В гибкости и быстроте разум Азенат не уступал\r\nее пальцам, натягивающим тетиву.","La mente de Asenath era tan rápida y diestra\r\ncomo los dedos que tensaban la cuerda de su arco.","จิตใจ​ของ​แอเซแนธ​รวดเร็ว​และ​ว่องไว\r\nเหมือน​นิ้วมือ​ที่​ดึง​สายธนู​ของ​เธอ","安賽娜絲速決機智，\r\n十指靈巧，張弓放矢。"
37,"UniqueIntHelmet3",18994,"\""It takes true strength to hold power,\r\nand my grip grows tighter by the day.\""\r\n - Emperor Chitus","« Seule la vraie force permet de garder le pouvoir,\r\net mon emprise croît chaque jour. »\r\n– Empereur Chitus","\""Es bedarf großer Stärke, Macht zu bewahren, \r\nund mein Griff erstarkt täglich.\"" \r\n– Kaiser Chitus"," 「権力を握るには真の力が必要だ。\r\n我が掌握は日ごとに強まっていく」\r\n―皇帝チタス","\""권력에는 진정한 힘이 필요하다.\r\n내 힘 역시 나날이 강해지고 있고.\""\r\n- 치투스 황제","\""Apenas força de verdade é capaz de deter o poder,\r\ne minha mão se fortalece cada dia mais.\""\r\n- Imperador Chitus","«Чтобы удержать власть, нужна недюжинная сила.\r\nМоя хватка становится твёрже день ото дня».\r\n- Император Титус","\""Se necesita verdadera fuerza para mantener el poder,\r\ny mi control se vuelve más férreo cada día\"".\r\n - Emperador Chitus","\""ต้อง​ใช้​ความ​แข็งแกร่ง​ที่​แท้​จริง​เพื่อ​ครอง​อำนาจ\r\nและ​ข้า​ก็​ครอง​ไว้​ได้​เหนียวแน่น​ขึ้น​ทุก​วัน\"" \r\n- จักรพรรดิ​ชิตัส","「君臨四海從未一蹴可及，\r\n統治萬民亦須恩威並濟。」\r\n - 切特斯大帝"
38,"UniqueStrHelmet2",53874,"Hrimnor's presence was as cold as ice,\r\nbut his heart burned for vengeance.","La présence de Hrimnor était aussi froide que la glace,\r\nmais son cœur brûlait d'une soif de vengeance.","Hrimnors Anwesenheit verbreitete eisige Kälte, \r\ndoch in seinem Herz loderte die Rache.","フリムナーの周囲は氷のようだったが、\r\n彼の心は復讐に燃えていた。","흐림노르는 얼음처럼 차가운 존재였지만,\r\n그 심장은 복수심에 불타오를 뿐이었다.","A presença de Hrimnor era fria como o gelo,\r\nmas seu coração queimava por vingança.","Хоть на вид Гримнор был холоден, как лед,\r\nего сердце горело жаждой мести.","La presencia de Hrimnor era fría como el hielo,\r\npero su corazón ardía con venganza.","การแสดงตน​ของ​ฮริมนอร์​เยือกเย็น​ดั่ง​น้ำแข็ง\r\nแต่​หัวใจ​ของ​เขา​ลุกไหม้​ไปด้วย​ไฟแค้น","雷姆諾看似迷茫，冷若寒霜，\r\n實則復仇心切，熾熱生光。"
39,"UniqueStrDexHelmet1",41767,"We wander to pass time.\r\nWe travel to fulfill.","Nous errons pour passer le temps.\r\nNous voyageons pour nous accomplir.","Wir ziehen umher, um uns die Zeit zu vertreiben. \r\nWir reisen, um etwas zu vollbringen.","我らは暇つぶしに彷徨う。\r\n我らは満たすために旅をする。","우리는 시간을 보내고자 방황하며,\r\n우리는 이루고자 여정을 떠난다.","Nós vagamos para passar o tempo.\r\nNós viajamos para apreciar.","Мы бродим, чтобы убить время.\r\nМы странствуем для удовольствия.","Vagamos para pasar el tiempo.\r\nViajamos para realizarnos.","เรา​เดิน​เตร่​เพื่อ​ฆ่าเวลา\r\nเรา​เดินทาง​เพื่อ​เติมเต็ม","隨處漫步使我們疲乏困頓，\r\n周遊各地讓我們增廣見聞。"
