"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","XBoxText","XBoxText (French)","XBoxText (German)","XBoxText (Japanese)","XBoxText (Korean)","XBoxText (Portuguese)","XBoxText (Russian)","XBoxText (Spanish)","XBoxText (Thai)","XBoxText (Traditional Chinese)","XBoxText2","HASH32","PlaystationText","string_44"
328,"ETradeMarketCopyItemSuccessMessage","Item text copied.","Texte de l'objet copié.","Gegenstandstext kopiert.","アイテムテキストがコピーされました","아이템 문구를 복사했습니다.","Texto do item copiado.","Текст скопирован.","Texto de objeto copiado.","ก็อปปี้ข้อความของไอเทมสำเร็จแล้ว","物品資訊已複製。","","","","","","","","","","","",3049216474,"",""
329,"MicrotransactionTrackedStatisticTitleNumLootedGold","Gold Looted","Or trouvé","Aufgesammeltes Gold","拾ったゴールド","전리품으로 획득한 골드","Ouro Saqueado","Золота собрано","Oro saqueado","ทองที่เก็บได้","拾取的金幣","","","","","","","","","","","",2166773865,"",""
330,"MicrotransactionTrackedStatisticTitleNumGoldSpentGambling","Gold spent gambling","Or dépensé (Pari)","Zum Spielen verwendetes Gold","ギャンブルに使用したゴールド","도박에 사용한 골드","Ouro Gasto em Apostas","Золота потрачено на выкуп предметов","Oro gastado apostando","ทองที่ใช้ไปกับการเดิมพันไอเทม","花費於賭博的金幣","","","","","","","","","","","",192059511,"",""
331,"MicrotransactionTrackedStatisticTitleNumGoldSpentRespec","Gold spent respeccing","Or dépensé (Remboursement)","Zum Neuspezialisieren verwendetes Gold","振り直しに使用したゴールド","재설계에 사용한 골드","Ouro Gasto em Redefinições","Золота потрачено на сброс умений","Oro gastado reintegrando","ทองที่ใช้ไปกับการรับคืนแต้ม","花費於重置天賦的金幣","","","","","","","","","","","",1382286226,"",""
332,"MicrotransactionTrackedStatisticTitleNumGoldSpentPlayerToPlayerTrade","Gold spent trading","Or dépensé (Échange)","Zum Handeln verwendetes Gold","トレードに使用したゴールド","거래에 사용한 골드","Ouro Gasto em Trocas","Золота потрачено на торговлю","Oro gastado comerciando","ทองที่ใช้ไปกับการแลกเปลี่ยน","花費於交易的金幣","","","","","","","","","","","",1005443162,"",""
333,"GamepadCycleQuestTrackerNotBound","Bind <<gamepad_cycle_quest>> to Cycle Shown Quest","Assigner <<gamepad_cycle_quest>> pour faire défiler la quête affichée","Weise <<gamepad_cycle_quest>> zu, um angezeigte Quest zu wechseln","<<gamepad_cycle_quest>>にクエスト表示の切り替えを割り当てる","<<gamepad_cycle_quest>> 버튼을 지정하여 표시된 퀘스트 넘기기","Vincular <<gamepad_cycle_quest>> a Alternar Missão Exibida","Назначает <<gamepad_cycle_quest>> на переключение отображаемого задания","Vincular <<gamepad_cycle_quest>> para cambiar la misión que se muestra","ตั้งปุ่มให้กับ <<gamepad_cycle_quest>> เพื่อสลับเควสต์ที่แสดง","將 <<gamepad_cycle_quest>> 綁定為切換顯示任務","","","","","","","","","","","",3863127032,"",""
334,"ItemPopupTalismanTitleBear","[Bear] Form","Forme d'[Bear|Ours]","[Bear|Bären]gestalt","[Bear|クマ]形態","[Bear|곰] 형상","Forma de [Bear|Urso]","Форма [Bear|медведя]","Forma de [Bear|oso]","ร่าง[Bear|หมี]","[Bear|巨熊] 型態","","","","","","","","","","","",2693161085,"",""
335,"ItemPopupTalismanTitleWolf","[Werewolf] Form","Forme de [Werewolf|Loup-garou]","[Werewolf|Werwolf]gestalt","[Werewolf|ウェアウルフ]形態","[Werewolf|늑대인간] 형상","Forma de [Werewolf|Lobisomem]","Форма [Werewolf|волколака]","Forma de [Werewolf|hombre lobo]","ร่าง[Werewolf|หมาป่า]","[Werewolf|狼人]型態","","","","","","","","","","","",2073024188,"",""
336,"ItemPopupTalismanTitleWyvern","[Wyvern] Form","Forme de [Wyvern|Wyverne]","[Wyvern|Lindwurm]gestalt","[Wyvern|ワイバーン]形態","[Wyvern|와이번] 형상","Forma de [Wyvern|Serpe]","Форма [Wyvern|виверны]","Forma de [Wyvern|guiverno]","ร่าง[Wyvern|ไวเวิร์น]","[Wyvern|飛龍]型態","","","","","","","","","","","",4179278942,"",""
337,"OptionsUIFontChangeNoRestart","You must restart Path of Exile in order for your chosen font to take effect.","You must restart Path of Exile in order for your chosen font to take effect.","You must restart Path of Exile in order for your chosen font to take effect.","選択したフォントを機能させるにはPath of Exileをリスタートする必要があります。","선택한 서체를 적용하려면 패스 오브 엑자일을 재시작해야 합니다.","Você deve reiniciar o Path of Exile para ativar a fonte selecionada.","Необходимо перезапустить Path of Exile для применения выбранного шрифта.","Debes reiniciar Path of Exile para que se aplique la fuente que has elegido.","คุณต้องรีสตาร์ท Path of Exile เพื่อให้เกมแสดงฟอนต์ที่คุณเลือก","若要使你選擇的字型生效，你必須重啟流亡黯道","","","","","","","","","","","",3061623731,"",""
338,"OptionsUIFontLabel","UI Font","UI Font","UI Font","UIフォント","UI 서체","Fonte da Interface","Шрифт интерфейса","Fuente de la IU","ฟอนต์ UI","介面字型","","","","","","","","","","","",3672765096,"",""
339,"EShopPackDetailScrollInfo","Scroll Info","Faire défiler les infos","Info scrollen","スクロール情報","주문서 정보","Informação","Прокрутка информации","Desplazarse por la información","เลื่อนดูข้อมูล","卷軸資訊","","","","","","","","","","","",1953667975,"",""
340,"EShopPackDetailPackIconTitle","Tier","Palier","Level","ティア","등급","Nível","Уровень","Grado","ระดับ","階級","","","","","","","","","","","",3940409207,"",""
341,"EShopClearWhatsNew","Clear What's New","Marquer les nouveautés comme vues","Neues leeren","新着を消去する","새 소식 삭제","Remover Novidades","Очистить новинки","Borrar novedades","ลบสินค้าที่มาใหม่","清除最新訊息","","","","","","","","","","","",1905062735,"",""
342,"Incursion2AtziriAccessButton","Click to face Atziri","Cliquer pour affronter Atziri","Klicke, um dich Atziri zu stellen","クリックしてアッツィリと対峙する","클릭하여 앗지리와 대적하기","Clique para enfrentar a Atziri","Щёлкните, чтобы сразиться с Атзири","Haz clic para enfrentarte a Atziri","คลิกเพื่อเผชิญหน้ากับอัถสิริ","點擊以直面阿茲里","","","","","","","","","","","",3476788509,"",""
343,"AsyncTradeCurrencyMismatchWarning","Note: This item's price differs from the one you initially travelled to this shop for.","Note : Le prix de cet objet est différent de celui pour lequel vous vous êtes initialement rendu dans cette boutique.","Hinweis: Der Preis dieses Gegenstands unterscheidet sich von dem, für den du ursprünglich zu diesem Shop gereist bist.","注意: このアイテムの価格はこのショップに移動した時の価格と異なっています。","참고: 이 아이템의 가격이 이 상점으로 오기 전에 보았던 가격과 다릅니다.","Atenção: o preço deste item é diferente do que fez você vir até esta loja.","Внимание: Цена этого предмета отличается от изначально указанной на момент вашего перехода в эту лавку.","Nota: El precio de este objeto difiere del precio original por el que has viajado a esta tienda.","โปรดทราบ: ไอเทมนี้มีราคาแตกต่างกับไอเทมที่คุณเลือกจากร้านค้านี้ในตอนแรก","注意：此物品的價格與你原先所購買的物品不同。","","","","","","","","","","","",1082935326,"",""
344,"CouchCoopStashToFullscreenDesc","Open fullscreen Stash.\r\nUse fullscreen stash to edit and \r\nreorder your stash tabs.","Ouvrir la Réserve en plein écran.\r\nUtiliser la Réserve en plein écrit pour éditer et\r\nréorganiser vos onglets de réserve.","Vollbild-Truhenfenster öffnen.\r\nVerwende das Vollbild-Truhenfenster, um deine\r\nTruhenfenster zu bearbeiten und neu zu organisieren.","フルスクリーンでスタッシュを開く。\r\nフルスクリーンスタッシュを使用し、\r\nスタッシュタブを編集し、順番を変える。","전체 화면 보관함을 엽니다.\r\n전체 화면 보관함을 사용해 보관함 탭의 \r\n순서를 변경하고 편집할 수 있습니다.","Abre o baú em tela cheia.\r\nUse o baú em tela cheia para editar e\r\nreordenar as abas do seu baú.","Открывает тайник на весь экран.\r\nИспользуйте полноэкранный тайник, чтобы \r\nредактировать секции и менять их порядок.","Abre el alijo en pantalla completa.\r\nUsa el alijo en pantalla completa para editar y \r\nordenar tus pestañas de alijo.","เปิดคลังเก็บของเต็มจอ\r\nใช้คลังเก็บของเต็มจอเพื่อแก้ไขและจัดลำดับแท็บเก็บของของคุณ","開啟全螢幕倉庫頁。\r\n使用全螢幕倉庫頁以編輯並\r\n調整你倉庫頁的順序。","","","","","","","","","","","",1473801002,"",""
345,"GamepadActionOpenFullscreenPanel","Open Fullscreen Panel","Ouvrir le panneau en plein écran ","Vollbildmodus öffnen","フルスクリーンパネルを開く","전체 화면 창 열기","Abrir Painel em Tela Cheia","Открыть полноэкранную панель","Abrir panel en pantalla completa","เปิดหน้าต่างแบบเต็มจอ","開啟全螢幕介面","","","","","","","","","","","",2265165943,"",""
346,"EShopPackDetailSelectPack","Cycle Packs","Faire défiler les Packs","Pakete durchgehen","パックを切り替える","팩 넘기기","Alternar Pacotes","Переключить набор","Cambiar de paquete","สลับแพ็ค","切換贊助包","","","","","","","","","","","",1719813782,"",""
347,"ObjectDisplayTextIncursionRitualChest","Atziri's Vault","Coffre du Temple d'Atziri","Atziris Gewölbe","アッツィリの財宝","앗지리의 금고실","Cofre de Atziri","Сокровищница Атзири","Cámara de Atziri","พระคลังอัถสิริ","阿茲里的寶庫","","","","","","","","","","","",3307994923,"",""
348,"IncursionErrorAccessRitualIncomplete","The Royal Access Chamber must be visited to unlock this vault.","La Chambre d'accès royale doit être visitée pour débloquer cette chambre forte.","Das Königliche Vorzimmer muss erkundet werden, um dieses Gewölbe freizuschalten.","この宝物庫をアンロックするには王家の連絡通路に行く必要があります。","이 금고실을 해제하려면 왕실 전실을 방문해야 합니다.","Você deve ir à Câmara de Acesso Real para abrir esse cofre.","Для открытия этой сокровищницы необходимо посетить Царскую приёмную.","Debes visitar la Cámara de acceso real para desbloquear esta cámara.","คุณต้องไปเยือน ห้องราชสำนัก เพื่อปลดล็อกพระคลังนี้","必須造訪皇家通道間才能解鎖此寶庫。","","","","","","","","","","","",762226660,"",""
