"rownum","BaseItemType","StackSize","CurrencyUseType","Action","Directions","FullStack_BaseItemType","Description","Usage_AchievementItems","Scroll","Possession_AchievementItem","[rid]","[i32]","CurrencyTab_StackSize","XBoxDirections","i32","ModifyMapsAchievements","ModifyContractsAchievements","CombineAchievements","ChangedForHardmode","DescriptionHardmode","IsGold","UsageHint","bool"
92,92,10,2,"upgrade_breach_item","Right click this item then left click an applicable breach unique item to upgrade it.","","Upgrades a breach unique item or breachstone to a more powerful version",[8982],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an applicable breach unique item to upgrade it.",0,[],[],[],"","","","Drag this item onto an applicable breach unique item to upgrade it.",""
93,93,10,2,"upgrade_breach_item","Right click this item then left click an applicable breach unique item to upgrade it.","","Upgrades a breach unique item or breachstone to a more powerful version",[8982],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an applicable breach unique item to upgrade it.",0,[],[],[],"","","","Drag this item onto an applicable breach unique item to upgrade it.",""
94,94,10,2,"upgrade_breach_item","Right click this item then left click an applicable breach unique item to upgrade it.","","Upgrades a breach unique item or breachstone to a more powerful version",[8982],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an applicable breach unique item to upgrade it.",0,[],[],[],"","","","Drag this item onto an applicable breach unique item to upgrade it.",""
95,95,10,2,"upgrade_breach_item","Right click this item then left click an applicable breach unique item to upgrade it.","","Upgrades a breach unique item or breachstone to a more powerful version",[8982],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an applicable breach unique item to upgrade it.",0,[],[],[],"","","","Drag this item onto an applicable breach unique item to upgrade it.",""
96,96,100,3,"","Combine 100 Splinters to create a Timeless Karui Emblem.",611,"",[],"","",[],[],5000,"Combine 100 Splinters to create a Timeless Karui Emblem.",0,[],[],[],"","","","Combine 100 Splinters to create a Timeless Karui Emblem.",""
97,97,100,3,"","Combine 100 Splinters to create a Timeless Maraketh Emblem.",612,"",[],"","",[],[],5000,"Combine 100 Splinters to create a Timeless Maraketh Emblem.",0,[],[],[],"","","","Combine 100 Splinters to create a Timeless Maraketh Emblem.",""
98,98,100,3,"","Combine 100 Splinters to create a Timeless Eternal Emblem.",613,"",[],"","",[],[],5000,"Combine 100 Splinters to create a Timeless Eternal Emblem.",0,[],[],[],"","","","Combine 100 Splinters to create a Timeless Eternal Emblem.",""
99,99,100,3,"","Combine 100 Splinters to create a Timeless Templar Emblem.",614,"",[],"","",[],[],5000,"Combine 100 Splinters to create a Timeless Templar Emblem.",0,[],[],[],"","","","Combine 100 Splinters to create a Timeless Templar Emblem.",""
100,100,100,3,"","Combine 100 Splinters to create a Timeless Vaal Emblem.",615,"",[],"","",[],[],5000,"Combine 100 Splinters to create a Timeless Vaal Emblem.",0,[],[],[],"","","","Combine 100 Splinters to create a Timeless Vaal Emblem.",""
101,101,300,3,"","Combine 300 Splinters to create a Simulacrum.",621,"",[],"","",[],[],5000,"Combine 300 Splinters to create a Simulacrum.",0,[],[],[],"","","","Combine 300 Splinters to create a Simulacrum.",""
102,102,20,2,"remove_random_mod","Right click this item then left click on a magic or rare item to apply it.","","Removes a random modifier from an item",[8174],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic or rare item to apply it.",0,[],[],[],"","","","Drag this item onto a magic or rare item to apply it.",""
103,103,20,2,"transmute_to_rare_with_sockets","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item with up to four linked sockets",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.",""
104,104,20,2,"reroll_map_type","Right click this item then left click a map to apply it.","","Reforges a map item as another of the same tier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a map to apply it.",0,[6841],[],[],"","","","Drag this item onto a map to apply it.",""
105,105,20,2,"upgrade_map_tier","Right click this item then left click a map to apply it.","","Reforges a map item as another of a higher tier",[8986],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a map to apply it.",0,[6842],[],[],"","","","Drag this item onto a map to apply it.",""
106,106,20,2,"add_strongbox_quality","Right click this item then left click a Strongbox to apply it. Has greater effect on lower rarity Strongboxes. The maximum quality is 20%.","","Improves the quality of a Strongbox",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a Strongbox to apply it. Has greater effect on lower rarity Strongboxes. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a Strongbox to apply it. Has greater effect on lower rarity Strongboxes. The maximum quality is 20%.",""
107,107,20,2,"add_strongbox_quality_infused","Right click this item then left click a Strongbox to apply it.","","Greatly improves the quality and rewards of a Strongbox and strengthens its defenders",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a Strongbox to apply it.",0,[],[],[],"","","","Drag this item onto a Strongbox to apply it.",""
108,108,20,2,"reroll_unique","Right click this item then left click a unique item to apply it.","","Reforges a unique equipment as another of the same item class",[8986],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a unique item to apply it.",0,[],[],[],"","","","Drag this item onto a unique item to apply it.",""
109,109,20,2,"fracture_random_mod","Right click this item then left click a rare item to apply it. Cannot be used on Influenced, Synthesised or Fractured items.","","Fracture a random modifier on a rare item with at least 4 modifiers, locking it in place.",[8986],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it. Cannot be used on Influenced, Synthesised or Fractured items.",0,[],[],[],"","","","",""
110,110,20,3,"","A stack of 20 shards becomes an Orb of Annulment.",102,"",[],"","",[],[],0,"A stack of 20 shards becomes an Orb of Annulment",0,[],[],[],"","","","A stack of 20 shards becomes an Orb of Annulment.",""
111,111,20,3,"","A stack of 20 shards becomes an Orb of Binding.",103,"",[],"","",[],[],0,"A stack of 20 shards becomes an Orb of Binding",0,[],[],[],"","","","A stack of 20 shards becomes an Orb of Binding.",""
112,112,20,3,"","A stack of 20 shards becomes an Orb of Horizons.",104,"",[],"","",[],[],0,"A stack of 20 shards becomes an Orb of Horizons",0,[],[],[],"","","","A stack of 20 shards becomes an Orb of Horizons.",""
113,113,20,3,"","A stack of 20 shards becomes a Harbinger's Orb.",105,"",[],"","",[],[],0,"A stack of 20 shards becomes a Harbinger's Orb",0,[],[],[],"","","","A stack of 20 shards becomes a Harbinger's Orb.",""
114,114,20,3,"","A stack of 20 shards becomes an Engineer's Orb.",106,"",[],"","",[],[],0,"A stack of 20 shards becomes an Engineer's Orb",0,[],[],[],"","","","A stack of 20 shards becomes an Engineer's Orb.",""
115,115,20,3,"","A stack of 20 shards becomes an Ancient Orb.",108,"",[],"","",[],[],0,"A stack of 20 shards becomes an Ancient Orb",0,[],[],[],"","","","A stack of 20 shards becomes an Ancient Orb.",""
116,116,20,3,"","A stack of 20 shards becomes a [ChaosOrb|Chaos Orb]",3,"",[],"","",[],[],0,"A stack of 20 shards becomes a [ChaosOrb|Chaos Orb]",0,[],[],[],"","","","A stack of 20 shards becomes a Chaos Orb.",""
117,117,20,3,"","A stack of 20 shards becomes a Mirror of Kalandra.",6,"",[],"","",[],[],0,"A stack of 20 shards becomes a Mirror of Kalandra",0,[],[],[],"","","","A stack of 20 shards becomes a Mirror of Kalandra.",""
118,118,20,3,"","A stack of 20 shards becomes an Exalted Orb.",14,"",[],"","",[],[],0,"A stack of 20 shards becomes an Exalted Orb",0,[],[],[],"","","","A stack of 20 shards becomes an Exalted Orb.",""
119,119,10,3,"","A stack of 10 shards becomes a [RegalOrb|Regal Orb].",15,"",[],"","",[],[],0,"A stack of 10 shards becomes a [RegalOrb|Regal Orb].",0,[],[],[],"","","","A stack of 20 shards becomes a Regal Orb.",""
120,120,20,3,"","A stack of 20 shards becomes a Fracturing Orb.",109,"",[],"","",[],[],0,"A stack of 20 shards becomes a Fracturing Orb",0,[],[],[],"","","","",""
121,121,10,3,"","A stack of 10 shards becomes an [ArtificersOrb|Artificer's Orb].",25,"",[],"","",[],[],0,"A stack of 10 shards becomes an [ArtificersOrb|Artificer's Orb].",0,[],[],[],"","","","A stack of 10 shards becomes an Artificer's Orb.",""
122,549,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
123,550,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
124,551,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
125,552,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
126,554,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
127,555,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
128,556,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
129,557,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
130,559,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
131,560,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
132,561,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
133,562,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
134,564,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
135,565,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
136,566,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
137,567,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
138,569,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
139,570,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
140,571,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
141,572,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
142,574,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
143,575,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
144,576,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
145,577,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
146,579,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
147,580,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
148,581,10,3,"","Can be used in a personal Map Device.","","",[],"","",[],[],5000,"Can be used in a personal Map Device.",0,[],[],[],"","","","Can be used in a personal Map Device.",""
