"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextHardmode","TextHardmode (French)","TextHardmode (German)","TextHardmode (Japanese)","TextHardmode (Korean)","TextHardmode (Portuguese)","TextHardmode (Russian)","TextHardmode (Spanish)","TextHardmode (Thai)","TextHardmode (Traditional Chinese)"
27,"ReminderTextGroundTar","(Tar reduces Enemy Movement Speed by 50%)","(Le Sol goudronneux réduit de 50% la Vitesse de déplacement des ennemis)","(Teer verringert die gegnerische Bewegungsgeschwindigkeit um 50%)","(Tar: タールは敵の移動スピードを50%減少させる)","(\""타르\""는 이동 속도를 50% 감소시킵니다)","(Piche reduz a Velocidade de Movimento do Inimigo em 50%)","(Смола замедляет скорость передвижения врагов на 50%)","(La brea reduce la velocidad de movimiento de los enemigos en un 50%)","(น้ำมันดิน ลดความเร็วในการเคลื่อนที่ของศัตรู 50%)","( 焦油減少敵人 50% 移動速度 )","","","","","","","","","",""
28,"ReminderTextShapersPresence","(Shaper's Presence causes effects on you and nearby allies to expire 20% slower)","(Présence du Façonneur permet aux effets qui affectent vos alliés et vous-même d'expirer 20% plus lentement)","(Durch Präsenz des Schöpfers laufen Effekte auf Euch und Verbündeten im Umkreis 20% langsamer aus)","(Shaper's Presence: シェイパーの存在感は、使用者とその近くの仲間が持つエフェクトの消失を20%遅くする)","(\""쉐이퍼의 존재\""는 플레이어와 주변 동료들에게 적용된 효과의 종료 시점을 20% 연장합니다)","(A Presença do Criador faz com que efeitos em você e aliados próximos expirem 20% mais lento)","(Под действием Присутствия Создателя эффекты на вас и на союзниках истекают на 20% медленнее) ","(La presencia del Creador causa que los efectos sobre ti y tus aliados cercanos expiren un 20% más despacio)","(การปรากฏกายของเชปเปอร์ ทำให้ผลบนตัวคุณและเพื่อนที่อยู่ใกล้หมดเวลา ช้าลง 20%)","( 塑者光環減緩 20% 你和附近友方身上效果消逝速度 )","","","","","","","","","",""
29,"ReminderTextAscendantChooseOneOfThree","(Choose one of the three attached options)","(Choisissez l'une des trois possibilités offertes)","Wählt eine der drei Optionen.","(3つの選択肢のうち1つを選ぶ)","(세 선택지 중 하나를 선택하십시오)","(Escolha uma das três opções anexas)","(Выберите один из трех предложенных вариантов)","(Elige una de las tres opciones indicadas)","(เลือกได้ 1 ใน 3 จากตัวเลือกที่ให้มา)","( 請在三個選項中擇一 )","","","","","","","","","",""
30,"ReminderTextDamageTypes","(The Damage Types are Physical, Fire, Cold, Lightning, and Chaos)","(Les types de Dégâts sont : physiques, de feu, de froid, de foudre et de chaos)","(Die verschiedenen Schadenstypen sind: physisch, Feuer, Kälte, Blitz und Chaos)","(ダメージタイプには物理、火、冷気、雷、そして混沌がある)","(피해 유형 - 물리, 화염, 냉기, 번개, 카오스)","(Os Tipos de Dano são: Físico, Fogo, Gelo, Raio e Caos)","(Типы урона: физический, от огня, от холода, от молнии и хаосом)","(Los tipos de daño son físico, fuego, hielo, rayo y caos)","(ความเสียหายชนิดต่างๆ มีดังนี้ กายภาพ, ไฟ, น้ำแข็ง, สายฟ้า, เคออส)","( 傷害種類分為物理、火焰、冰冷、閃電，和混沌 )","","","","","","","","","",""
31,"ReminderTextRecently","(Recently refers to the past 4 seconds)","(Récemment signifie « au cours des 4 dernières secondes »)","(Kürzlich bezieht sich auf die letzten 4 Sekunden)","(Recently: 直近とは過去4秒間を指す)","(\""최근\""은 지난 4초 동안을 의미합니다)","(Recentemente se refere aos últimos 4 segundos)","(Недавно означает \""За последние 4 секунды\"")","(Recientemente se refiere a los últimos 4 segundos)","(เร็วๆ นี้ หมายถึง 4 วินาที ที่ผ่านมา)","( 近期內意指 4 秒內 )","","","","","","","","","",""
32,"ReminderTextAscendantMarauderNodes","(You can only take one of the three Marauder Ascendancy passives)","(Vous ne pouvez prendre qu'une seule des trois Ascendances du Maraudeur)","(Du kannst nur eine der drei passiven Aszendenzfertigkeiten für den Marodeur wählen)","(三種類のマローダーアセンダンシーパッシブのうち一つだけを選ぶことができる)","(세 개의 머라우더 전직 직업 중 하나만 선택할 수 있습니다)","(Você só pode escolher uma das três Passivas Ascendentes do Marauder)","(Вы можете выбрать только одно из трех пассивных умений Восхождения Дикаря)","(Solo puedes elegir una de las tres pasivas de ascendencia del Merodeador)","(คุณสามารถอัพพาสซีฟคลาสเสริม Marauder ได้เพียง 1 ใน 3 อย่างเท่านั้น)","( 你只能在野蠻人的三個昇華職業中選擇一個 )","","","","","","","","","",""
33,"ReminderTextAscendantRangerNodes","(You can only take one of the three Ranger Ascendancy passives)","(Vous ne pouvez prendre qu'une seule des trois Ascendances de la Rôdeuse)","(Du kannst nur eine der drei passiven Aszendenzfertigkeiten für die Waldläuferin wählen)","(三種類のレンジャーアセンダンシーパッシブのうち一つだけを選ぶことができる)","(세 개의 레인저 전직 직업 중 하나만 선택할 수 있습니다)","(Você só pode escolher uma das três Passivas Ascendentes da Caçadora)","(Вы можете выбрать только одно из трех пассивных умений Восхождения Охотницы)","(Solo puedes elegir una de las tres pasivas de ascendencia de la Exploradora)","(คุณสามารถอัพพาสซีฟคลาสเสริม Ranger ได้เพียง 1 ใน 3 อย่างเท่านั้น)","( 你只能在遊俠的三個昇華職業中選擇一個 )","","","","","","","","","",""
34,"ReminderTextAscendantWitchNodes","(You can only take one of the three Witch Ascendancy passives)","(Vous ne pouvez prendre qu'une seule des trois Ascendances de la Sorcière)","(Du kannst nur eine der drei passiven Aszendenzfertigkeiten für die Hexe wählen)","(三種類のウィッチアセンダンシーパッシブのうち一つだけを選ぶことができる)","(세 개의 위치 전직 직업 중 하나만 선택할 수 있습니다)","(Você só pode escolher uma das três Passivas Ascendentes da Bruxa)","(Вы можете выбрать только одно из трех пассивных умений Восхождения Ведьмы)","(Solo puedes elegir una de las tres pasivas de ascendencia de la Bruja)","(คุณสามารถอัพพาสซีฟคลาสเสริม Witch ได้เพียง 1 ใน 3 อย่างเท่านั้น)","( 你只能在女巫的三個昇華職業中選擇一個 )","","","","","","","","","",""
35,"ReminderTextAscendantDuelistNodes","(You can only take one of the three Duelist Ascendancy passives)","(Vous ne pouvez prendre qu'une seule des trois Ascendances du Duelliste)","(Du kannst nur eine der drei passiven Aszendenzfertigkeiten für den Duellanten wählen)","(三種類のデュエリストセンダンシーパッシブのうち一つだけを選ぶことができる)","(세 개의 듀얼리스트 전직 직업 중 하나만 선택할 수 있습니다)","(Você só pode escolher uma das três Passivas Ascendentes do Duelista)","(Вы можете выбрать только одно из трех пассивных умений Восхождения Дуэлянта)","(Solo puedes elegir una de las tres pasivas de ascendencia del Duelista)","(คุณสามารถอัพพาสซีฟคลาสเสริม Duelist ได้เพียง 1 ใน 3 อย่างเท่านั้น)","( 你只能在決鬥者的三個昇華職業中選擇一個 )","","","","","","","","","",""
36,"ReminderTextAscendantTemplarNodes","(You can only take one of the three Templar Ascendancy passives)","(Vous ne pouvez prendre qu'une seule des trois Ascendances du Templier)","(Du kannst nur eine der drei passiven Aszendenzfertigkeiten für den Templer wählen)","(三種類のテンプラーアセンダンシーパッシブのうち一つだけを選ぶことができる)","(세 개의 템플러 전직 직업 중 하나만 선택할 수 있습니다)","(Você só pode escolher uma das três Passivas Ascendentes do Templário)","(Вы можете выбрать только одно из трех пассивных умений Восхождения Жреца)","(Solo puedes elegir una de las tres pasivas de ascendencia del Templario)","(คุณสามารถอัพพาสซีฟคลาสเสริม Templar ได้เพียง 1 ใน 3 อย่างเท่านั้น)","( 你只能在聖騎士的三個昇華職業中選擇一個 )","","","","","","","","","",""
