"rownum","Id","ItemClassesKey","Width","Height","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool_225","rid_226","rid_242","bool_258","Unmodifiable","Achievement1","Achievement2","IgnoreQuantBonus","bool_293","rid_294"
60,"Metadata/Items/Currency/CurrencyRerollSupportQualityType",30,1,1,"Secondary Regrading Lens","Lentille de reclassement secondaire","Sekundäre Refraktionslinse","二級再評価のレンズ","2차 재보정 렌즈","Lente Reclassificatória Secundária","Вторичная профилирующая линза","Lente reclasificador secundario","Secondary Regrading Lens","次階篩分之鏡","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,108,-758415450,[],"","F","F","","","FP","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
61,"Metadata/Items/Currency/CurrencyHeistWeaponEnchant",30,1,1,"Tempering Orb","Orbe d'acier trempé","Sphäre der Vergütung","焼き戻しのオーブ","단조 오브","Orbe da Modificação","Сфера закалки","Orbe de herrería","Tempering Orb","淬鍊石","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,109,1432765449,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
62,"Metadata/Items/Currency/CurrencyHeistArmourEnchant",30,1,1,"Tailoring Orb","Orbe de confection","Sphäre der Gewandung","仕立てのオーブ","재단 오브","Orbe do Alfaiate","Сфера подгонки","Orbe de sastrería","Tailoring Orb","裁縫石","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,110,1575994632,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
63,"Metadata/Items/Currency/CurrencyAfflictionOrbCurrency",30,1,1,"Fine Delirium Orb","Orbe raffiné de Délire","Edle Sphäre des Deliriums","上質なデリリウムオーブ","양질의 환영의 오브","Orbe Delirante Refinado","Прекрасная сфера Делириума","Orbe de delirio elegante","ลูกแก้วเดลิเรียม ประณีต","精良之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,111,-1948343582,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
64,"Metadata/Items/Currency/CurrencyAfflictionOrbUniques",30,1,1,"Singular Delirium Orb","Orbe singulier de Délire","Einmalige Sphäre des Deliriums","希少なデリリウムオーブ","비범한 환영의 오브","Orbe Delirante Singular","Необычная сфера Делириума","Orbe de delirio singular","ลูกแก้วเดลิเรียม เอกเทศ","卓越之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,112,-1964846163,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
65,"Metadata/Items/Currency/CurrencyAfflictionOrbGems",30,1,1,"Thaumaturge's Delirium Orb","Orbe thaumaturgique de Délire","Thaumaturgische Sphäre des Deliriums","魔術師のデリリウムオーブ","마석학자의 환영의 오브","Orbe Delirante do Taumaturgo","Волшебная сфера Делириума","Orbe de delirio del taumaturgo","ลูกแก้วเดลิเรียม จอมเวทมณี","奇術之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,113,-1933705530,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
66,"Metadata/Items/Currency/CurrencyAfflictionOrbWeapons",30,1,1,"Blacksmith's Delirium Orb","Orbe forgé de Délire","Geschmiedete Sphäre des Deliriums","鍛冶屋のデリリウムオーブ","대장장이의 환영의 오브","Orbe Delirante do Ferreiro","Кузнечная сфера Делириума","Orbe de delirio del herrero","ลูกแก้วเดลิเรียม ช่างตีเหล็ก","鐵匠之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,114,-109051957,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
67,"Metadata/Items/Currency/CurrencyAfflictionOrbArmour",30,1,1,"Armoursmith's Delirium Orb","Orbe cuirassé de Délire","Gerüstete Sphäre des Deliriums","鎧鍛冶のデリリウムオーブ","갑옷제작자의 환영의 오브","Orbe Delirante do Armeiro","Латная сфера Делириума","Orbe de delirio del armero","ลูกแก้วเดลิเรียม ช่างตีเกราะ","護甲之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,115,-1263630474,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
68,"Metadata/Items/Currency/CurrencyAfflictionOrbMaps",30,1,1,"Cartographer's Delirium Orb","Orbe cartographique de Délire","Gemeißelte Sphäre des Deliriums","地図職人のデリリウムオーブ","지도제작자의 환영의 오브","Orbe Delirante do Cartógrafo","Картографическая сфера Делириума","Orbe de delirio del cartógrafo","ลูกแก้วเดลิเรียม นักเขียนแผนที่","製圖之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,116,1368969315,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
69,"Metadata/Items/Currency/CurrencyAfflictionOrbTrinkets",30,1,1,"Jeweller's Delirium Orb","Orbe orné de Délire","Verzierte Sphäre des Deliriums","宝飾職人のデリリウムオーブ","쥬얼러 환영의 오브","Orbe Delirante do Joalheiro","Ювелирная сфера Делириума","Orbe de delirio del joyero","ลูกแก้วเดลิเรียม ช่างเครื่องประดับ","飾品之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,117,-913101815,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
70,"Metadata/Items/Currency/CurrencyAfflictionOrbAbyss",30,1,1,"Abyssal Delirium Orb","Orbe abyssal de Délire","Abgründige Sphäre des Deliriums","アビスのデリリウムオーブ","심연의 환영의 오브","Orbe Delirante Abissal","Бездонная сфера Делириума","Orbe de delirio abisal","ลูกแก้วเดลิเรียม อะบิส","深淵之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,118,-1371001890,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
71,"Metadata/Items/Currency/CurrencyAfflictionOrbPerandus",30,1,1,"Kalguuran Delirium Orb","Orbe kalguurien de Délire","Kalguurische Sphäre des Deliriums","カルグールのデリリウムオーブ","칼구르 환영의 오브","Orbe Delirante Kalguuran","Калгууранская сфера Делириума","Orbe de delirio kalguur","ลูกแก้วเดลิเรียม คาลเกอร์","卡爾葛之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,119,358205216,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
72,"Metadata/Items/Currency/CurrencyAfflictionOrbHarbinger",30,1,1,"Foreboding Delirium Orb","Orbe sinistre de Délire","Unheilverkündende Sphäre des Deliriums","凶兆のデリリウムオーブ","불길한 환영의 오브","Orbe Delirante Auspicioso","Таинственная сфера Делириума","Orbe de delirio premonitorio","ลูกแก้วเดลิเรียม ลางสังหรณ์","預感之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,120,2026013751,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
73,"Metadata/Items/Currency/CurrencyAfflictionOrbBreach",30,1,1,"Obscured Delirium Orb","Orbe indiscernable de Délire","Obskure Sphäre des Deliriums","不明瞭なデリリウムオーブ","가려진 환영의 오브","Orbe Delirante Obscura","Затемнённая Сфера Делириума","Orbe de delirio oscuro","ลูกแก้วเดลิเรียม มืดมัว","晦澀之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,121,1664903587,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
74,"Metadata/Items/Currency/CurrencyAfflictionOrbEssences",30,1,1,"Whispering Delirium Orb","Orbe chuchotant de Délire","Flüsternde Sphäre des Deliriums","囁きのデリリウムオーブ","속삭이는 환영의 오브","Orbe Delirante Sussurrante","Шепчущая сфера Делириума","Orbe de delirio susurrante","ลูกแก้วเดลิเรียม พร่ำกระซิบ","低語之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,122,-306946215,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
75,"Metadata/Items/Currency/CurrencyAfflictionOrbFragments",30,1,1,"Fragmented Delirium Orb","Orbe fragmenté de Délire","Fragmentierte Sphäre des Deliriums","断片化したデリリウムオーブ","조각난 환영의 오브","Orbe Delirante Fragmentado","Раздробленная сфера Делириума","Orbe de delirio fragmentado","ลูกแก้วเดลิเรียม แยกส่วน","碎片之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,123,-768400989,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
76,"Metadata/Items/Currency/CurrencyAfflictionOrbScarabs",30,1,1,"Skittering Delirium Orb","Orbe grouillant de Délire","Huschende Sphäre des Deliriums","掠め飛ぶデリリウムオーブ","달리는 환영의 오브","Orbe Delirante Rastejante","Дёргающаяся сфера Делириума","Orbe de delirio escurridizo","ลูกแก้วเดลิเรียม เสียงแมลง","飛掠之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,124,243322328,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
77,"Metadata/Items/Currency/CurrencyAfflictionOrbFossils",30,1,1,"Fossilised Delirium Orb","Orbe fossilisé de Délire","Versteinerte Sphäre des Deliriums","化石のデリリウムオーブ","화석화된 환영의 오브","Orbe Delirante Fossilizada","Ископаемая сфера Делириума","Orbe de delirio fosilizado","ลูกแก้วเดลิเรียม ฟอสซิล","石化之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,125,2076808891,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
78,"Metadata/Items/Currency/CurrencyAfflictionOrbProphecies",30,1,1,"Fine Delirium Orb","Orbe raffiné de Délire","Feine Sphäre des Deliriums","上質なデリリウムオーブ","양질의 환영의 오브","Orbe Delirante Refinado","Прекрасная сфера Делириума","Orbe de delirio elegante","ลูกแก้วเดลิเรียม ประณีต","精良之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,126,1150272452,[],"","M","F","","","M","FS","M","","","","",[],[],63,"","","","","",[],[],"","",""
79,"Metadata/Items/Currency/CurrencyAfflictionOrbDivinationCards",30,1,1,"Diviner's Delirium Orb","Orbe divinatoire de Délire","Weissagende Sphäre des Deliriums","占い師のデリリウムオーブ","예언자의 환영의 오브","Orbe Delirante do Profeta","Предсказательная сфера Делириума","Orbe de delirio del adivino","ลูกแก้วเดลิเรียม นักพยากรณ์","聖人之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,127,1404182465,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
80,"Metadata/Items/Currency/CurrencyAfflictionOrbGeneric",30,1,1,"Delirium Orb","Orbe de Délire","Sphäre des Deliriums","デリリウムオーブ","환영의 오브","Orbe Delirante","Сфера Делириума","Orbe de delirio","ลูกแก้วเดลิเรียม","譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,128,-117882756,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
81,"Metadata/Items/Currency/CurrencyAfflictionOrbTalismans",30,1,1,"Primal Delirium Orb","Orbe primitif de Délire","Urzeitliche Sphäre des Deliriums","原初のデリリウムオーブ","원시 환영의 오브","Orbe Delirante Primitivo","Первобытная сфера Делириума","Orbe de delirio primitivo","ลูกแก้วเดลิเรียม ปฐมกาล","初始之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,129,-1736338822,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
82,"Metadata/Items/Currency/CurrencyAfflictionOrbLabyrinth",30,1,1,"Imperial Delirium Orb","Orbe impérial de Délire","Kaiserliche Sphäre des Deliriums","帝国のデリリウムオーブ","제국 환영의 오브","Orbe Delirante Imperial","Имперская сфера Делириума","Orbe de delirio imperial","ลูกแก้วเดลิเรียม จักรพรรดิ","帝王之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,130,-404905148,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
83,"Metadata/Items/Currency/CurrencyAfflictionOrbIncubators",30,1,1,"Timeless Delirium Orb","Orbe intemporel de Délire","Immerwährende Sphäre des Deliriums","タイムレスのデリリウムオーブ","무궁한 환영의 오브","Orbe Delirante Atemporal","Вневременная сфера Делириума","Orbe de delirio atemporal","ลูกแก้วเดลิเรียม เหนือกาลเวลา","永恆之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,131,1738859609,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
84,"Metadata/Items/Currency/CurrencyAfflictionOrbBlight",30,1,1,"Blighted Delirium Orb","Orbe infesté de Délire","Befallene Sphäre des Deliriums","荒廃したデリリウムオーブ","역병 걸린 환영의 오브","Orbe Delirante Infestado","Заражённая сфера Делириума","Orbe de delirio infestado","ลูกแก้วเดลิเรียม ไบล์ท","凋落之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,132,-1728487329,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
85,"Metadata/Items/Currency/CurrencyAfflictionOrbMetamorphosis",30,1,1,"Challenging Delirium Orb","Orbe complexe de Délire","Herausfordernde Sphäre des Deliriums","挑戦のデリリウムオーブ","도전하는 환영의 오브","Orbe Delirante Desafiador","Испытующая сфера Делириума","Orbe de delirio desafiante","ลูกแก้วเดลิเรียม ท้าทาย","挑戰之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,133,2005344760,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
86,"Metadata/Items/Currency/CurrencyAfflictionOrbHardMode",30,1,1,"Delirium Orb","Orbe de Délire","Sphäre des Deliriums","デリリウムオーブ","환영의 오브","Orbe Delirante","Сфера Делириума","Orbe de delirio","ลูกแก้วเดลิเรียม","譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,128,1167031744,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
87,"Metadata/Items/Currency/CurrencyGraftAddModToMagic",30,1,1,"Augmentation Implant","Implant d'augmentation","Aufwertungsimplantat","増強のインプラント","확장 이식물","Implante da Ampliação","Усиливающий имплантат","Implante de aumento","เนื้อปลูกถ่าย Augmentation","增幅植入物","Metadata/Items/Currency/StackableCurrency",1,"",[],1,712,[],39,24,555542083,[],"","M","N","","","M","MS","M","","","","",[],[],"","","","","","",[],[],"","",""
88,"Metadata/Items/Currency/CurrencyGraftUpgradeMagicToRare",30,1,1,"Regal Implant","Implant royal","Hoheitliches Implantat","王者のインプラント","제왕의 이식물","Implante Real","Царский имплантат","Implante regio","เนื้อปลูกถ่าย Regal","富豪植入物","Metadata/Items/Currency/StackableCurrency",1,"",[],1,712,[],39,25,925110262,[],"","M","N","","","M","MS","M","","","","",[],[],"","","","","","",[],[],"","",""
89,"Metadata/Items/Currency/CurrencyGraftAddModToRare",30,1,1,"Exalted Implant","Implant exalté","Erhabenes Implantat","高貴なインプラント","엑잘티드 이식물","Implante Exaltado","Возвышающий имплантат","Implante exaltado","เนื้อปลูกถ่าย Exalted","崇高植入物","Metadata/Items/Currency/StackableCurrency",1,"",[],1,712,[],39,26,80981815,[],"","M","N","","","M","MS","M","","","","",[],[],"","","","","","",[],[],"","",""
90,"Metadata/Items/Currency/CurrencyGraftCorrupt",30,1,1,"Unstable Implant","Implant instable","Instabiles Implantat","不安定なインプラント","불안정한 이식물","Implante Instável","Нестабильный имплантат","Implante inestable","เนื้อปลูกถ่าย Unstable","不穩定植入物","Metadata/Items/Currency/StackableCurrency",68,"",[],1,712,[],39,52,-599588486,[],"","M","N","","","M","MS","M","","","","",[],[],"","","","","","",[],[],"","",""
