"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","GrantedEffect","GrantedEffectHardmode","GrantedEffect2","GrantedEffect2Hardmode","SupportText","SupportText (French)","SupportText (German)","SupportText (Japanese)","SupportText (Korean)","SupportText (Portuguese)","SupportText (Russian)","SupportText (Spanish)","SupportText (Thai)","SupportText (Traditional Chinese)","SupportName","SupportName (French)","SupportName (German)","SupportName (Japanese)","SupportName (Korean)","SupportName (Portuguese)","SupportName (Russian)","SupportName (Spanish)","SupportName (Thai)","SupportName (Traditional Chinese)","GemTags","Consumed_ModsKey","ItemColor"
86,"SupportAddedLightningDamage","","","","","","","","","","",620,"","","","Supports any skill that hits enemies.","Modifie les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。","","","","","","","","","","","[2,11,16]",14342,4
87,"ColdSnap","","","","","","","","","","",9194,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,1,15]","",4
88,"ColdSnapAltX","Cold Snap of Power","Vague de froid du Pouvoir","Blitzeis der Energie","力のコールドスナップ","권능의 한파","Estalo Gélido do Poder","Укус стужи энергии","Ruptura de hielo de poder","ดีดนิ้วน้ำแข็งแห่งพลัง (Cold Snap of Power)","霜暴．暴擊",9195,"","","","","","","","","","","","","","","","","","","","","","","","[47,11,25,4,14,1]","",1
89,"ColdSnapAltY","[DNT] ColdSnapAltY","[DNT] ColdSnapAltY","[DNT] ColdSnapAltY","[DNT] ColdSnapAltY","[DNT] ColdSnapAltY","[DNT] ColdSnapAltY","[DNT] ColdSnapAltY","[DNT] ColdSnapAltY","[DNT] ColdSnapAltY","[DNT] ColdSnapAltY",9196,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,1,15]","",2
90,"VaalColdSnap","","","","","","","","","","",9203,"",9194,"","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,15,24,1]","",4
91,"VaalColdSnapAltX","Vaal Cold Snap","Vague de froid vaal","Vaal-Blitzeis","ヴァールコールドスナップ","바알 한파","Estalo Gélido Vaal","Укус стужи ваал","Ruptura de hielo vaal","วาล์ ดีดนิ้วน้ำแข็ง (Vaal Cold Snap)","瓦爾．霜暴",9203,"",9195,"","","","","","","","","","","","","","","","","","","","","","[47,11,25,4,14,15,24,1]","",1
92,"VaalColdSnapAltY","Vaal Cold Snap","Vague de froid vaal","Vaal-Blitzeis","ヴァールコールドスナップ","바알 한파","Estalo Gélido Vaal","Укус стужи ваал","Ruptura de hielo vaal","วาล์ ดีดนิ้วน้ำแข็ง (Vaal Cold Snap)","瓦爾．霜暴",9203,"",9196,"","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,15,24,1]","",2
93,"RaiseZombie","","","","","","","","","","",644,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,8]","",4
94,"RaiseZombieAltX","Raise Zombie of Slamming","Réanimation en Zombie du Fracas","Zombie des Hiebes erwecken","スラムのゾンビ蘇生","강타의 좀비 소환","Evocar Zumbi da Pancada","Поднятие мощного зомби","Levantar zombi de embate","ปลุกซอมบี้แห่งการทุบ (Raise Zombie of Slamming)","殭屍復甦．重擊",645,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,8]","",1
95,"RaiseZombieAltY","Raise Zombie of Falling","Réanimation en Zombie de la Chute","Zombie des Fallens erwecken","落下のゾンビ蘇生","추락의 좀비 소환","Evocar Zumbi da Queda","Поднятие падающего зомби","Levantar zombi de caída","ปลุกซอมบี้แห่งการร่วงหล่น (Raise Zombie of Falling)","殭屍復甦．殞落",646,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,8]","",2
96,"CausticArrow","","","","","","","","","","",661,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,14,15,3,6]","",4
97,"CausticArrowAltX","Caustic Arrow of Poison","Flèche caustique de l'Empoisonnement","Ätzender Pfeil des Gifts","毒のコースティックアロー","독의 부식성 화살","Flecha Cáustica do Envenenamento","Едкая стрела яда","Flecha cáustica de veneno","ศรกัดกร่อนแห่งพิษ (Caustic Arrow of Poison)","腐蝕箭矢．中毒",662,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,14,3,6]","",1
98,"CausticArrowAltY","[DNT] PoisonArrowAltY","[DNT] PoisonArrowAltY","[DNT] PoisonArrowAltY","[DNT] PoisonArrowAltY","[DNT] PoisonArrowAltY","[DNT] PoisonArrowAltY","[DNT] PoisonArrowAltY","[DNT] PoisonArrowAltY","[DNT] PoisonArrowAltY","[DNT] PoisonArrowAltY",663,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,14,15,3,6]","",2
99,"DamageInfusion","","","","","","","","","","",676,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14]","",4
100,"BloodRage","","","","","","","","","","",677,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,15,33]","",4
101,"Ignite","","","","","","","","","","",681,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,15,0]","",4
102,"RighteousFire","","","","","","","","","","",682,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,0]","",4
103,"RighteousFireAltX","Righteous Fire of Arcane Devotion","Feu de la vertu de la Dévotion arcanique","Sühnendes Feuer der arkanen Hingabe","秘術信仰のライチャスファイヤー","비전 헌신의 정의의 화염","Círculo Ardente da Devoção Arcana","Праведный огонь колдовского благочестия","Fuego justo de devoción arcana","ไฟธรรมะแห่งการอุทิศแก่อาคม (Righteous Fire of Arcane Devotion)","正義之火．秘能奉獻",683,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,0]","",1
104,"RighteousFireAltY","[DNT] RighteousFireAltY","[DNT] RighteousFireAltY","[DNT] RighteousFireAltY","[DNT] RighteousFireAltY","[DNT] RighteousFireAltY","[DNT] RighteousFireAltY","[DNT] RighteousFireAltY","[DNT] RighteousFireAltY","[DNT] RighteousFireAltY","[DNT] RighteousFireAltY",684,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,0]","",2
105,"VaalRighteousFire","","","","","","","","","","",9305,"",682,"","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,0,24,15]","",4
106,"VaalRighteousFireAltX","Vaal Righteous Fire","Feu de la vertu vaal","Vaal-Sühnendes Feuer","ヴァールライチャスファイヤー","바알 정의의 화염","Círculo Ardente Vaal","Праведный огонь ваал","Fuego justo vaal","วาล์ ไฟธรรมะ (Vaal Righteous Fire)","瓦爾．正義之火",9305,"",683,"","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,0,24,15]","",1
107,"VaalRighteousFireAltY","Vaal Righteous Fire","Feu de la vertu vaal","Vaal-Sühnendes Feuer","ヴァールライチャスファイヤー","바알 정의의 화염","Círculo Ardente Vaal","Праведный огонь ваал","Fuego justo vaal","วาล์ ไฟธรรมะ (Vaal Righteous Fire)","瓦爾．正義之火",9305,"",684,"","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,0,24,15]","",2
108,"FireWeapon","","","","","","","","","","",728,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,15,0]","",4
109,"Discharge","","","","","","","","","","",729,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,0,1,2,38]","",4
110,"DischargeAltX","Discharge of Misery","Décharge de la Misère","Entladung des Elends","悲惨のディスチャージ","비참의 방출","Descarga da Miséria","Разряд страданий","Descarga de miseria","ปลดปล่อยพลังแห่งความทุกข์ยาก (Discharge of Misery)","解放．苦痛",730,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,0,1,2,38]","",1
111,"DischargeAltY","[DNT] DischargeAltY","[DNT] DischargeAltY","[DNT] DischargeAltY","[DNT] DischargeAltY","[DNT] DischargeAltY","[DNT] DischargeAltY","[DNT] DischargeAltY","[DNT] DischargeAltY","[DNT] DischargeAltY","[DNT] DischargeAltY",731,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,0,1,2,38]","",2
112,"Portal","","","","","","","","","","",736,"","","","","","","","","","","","","","","","","","","","","","","","[29,25,4]","",4
113,"VaalPortal","","","","","","","","","","",737,"",736,"","","","","","","","","","","","","","","","","","","","","","[29,25,4,24]","",4
114,"SupportInspiration","","","","","","","","","","",738,"","","","Supports any skill. Minions, Totems, Traps and Mines cannot gain Inspiration Charges.","Modifie toutes les aptitudes. Les Créatures, les Totems, les Pièges et les Mines ne peuvent pas gagner de Charges d'inspiration.","Unterstützt jede Fertigkeit. Kreaturen, Totems, Fallen und Minen können keine Inspirations-Ladungen erhalten.","全てのスキルをサポートする。ミニオン、トーテム、トラップおよびマインはインスピレーションチャージを獲得できない。","모든 스킬에 적용됩니다. 소환수, 토템, 덫, 지뢰는 영감 충전을 획득할 수 없습니다.","Suporta qualquer habilidade. Lacaios, Totens, Armadilhas e Minas não podem ganhar Cargas de Inspiração.","Усиливает любое умение. Приспешники, тотемы, ловушки и мины не могут получать заряды Вдохновения.","Asiste cualquier habilidad. Los esbirros, los tótems, las trampas y las minas no pueden ganar cargas de inspiración.","ใช้เสริมสกิลทุกชนิด มิเนียน, โทเทม, กับดัก, ทุ่นระเบิด ไม่สามารถรับ Inspiration Charge ได้","輔助任何技能。召喚物、圖騰、陷阱和地雷無法獲得啟發球。","","","","","","","","","","","[47,9,16]",14244,4
115,"SupportIncreasedCriticalStrikes","","","","","","","","","","",743,"","","","Supports any skill that hits enemies.","Modifie les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。","","","","","","","","","","","[47,11,16]",14279,4
116,"SupportIncreasedCriticalDamage","","","","","","","","","","",745,"","","","Supports any skill that hits enemies.","Modifie les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。","","","","","","","","","","","[47,11,16]",14268,4
117,"SupportKnockback","","","","","","","","","","",746,"","","","Supports any skill that hits enemies.","Modifie les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。","","","","","","","","","","","[9,16]",14263,4
118,"SupportLifeLeech","","","","","","","","","","",748,"","","","Supports any skill that hits enemies, causing those hits to leech life based on damage dealt.","Modifie toutes les aptitudes qui touchent les ennemis, leur permettant de drainer de la vie en fonction des dégâts infligés.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen. Diese Treffer rauben Leben, basierend auf ihrem verursachten Schaden.","敵にヒットを与えるスキル全てをサポートし、そのヒットが与えたダメージに応じてライフをリーチするようになる。","적을 명중하는 모든 스킬에 적용되며 명중 시 적에게 준 피해에 비례하여 생명력을 흡수합니다.","Suporta qualquer habilidade que acerte inimigos, fazendo com que tais acertos drenem vida baseado no dano causado.","Усиливает любое умение, наносящее удары по врагам. Усиленное умение похищает здоровье на основании нанесенного урона.","Asiste cualquier habilidad que golpee enemigos para que esos golpes absorban vida en función del daño infligido.","ใช้เสริมสกิลที่ปะทะศัตรู ทำให้การปะทะนั้น ดูดพลังชีวิต ตามความเสียหายที่สร้าง","輔助任何可擊中敵人的技能，根據擊中傷害偷取生命。","","","","","","","","","","","[9,16]",14251,4
119,"SupportManaLeech","","","","","","","","","","",750,"","","","Supports attack skills that hit enemies, causing those hits to leech mana based on damage dealt.","Modifie toutes les aptitudes d'attaque qui touchent les ennemis, leur permettant de drainer du mana en fonction des dégâts infligés.","Unterstützt Angriffsfertigkeiten, die Treffer bei Gegnern verursachen. Diese Treffer rauben Mana, basierend auf ihrem verursachten Schaden.","敵にヒットを与えるスキル全てをサポートし、そのヒットが与えたダメージに応じてマナをリーチするようになる。","적을 명중하는 모든 공격 스킬에 적용되며 명중 시 적에게 준 피해에 비례하여 마나를 흡수합니다.","Suporta qualquer habilidade de ataque que acerte inimigos, fazendo com que os acertos drenem mana baseado no dano causado.","Усиливает умения атак, наносящие удары по врагам. Усиленное умение похищает ману на основании нанесенного урона.","Asiste habilidades de ataque que golpeen enemigos para que esos golpes absorban maná en función del daño infligido.","ใช้เสริม สกิลโจมตี ที่ปะทะศัตรู ทำให้การปะทะนั้น ดูดมานา ตามความเสียหายที่สร้าง","輔助任何可擊中敵人的攻擊技能，根據擊中傷害偷取魔力。","","","","","","","","","","","[10,16]",14242,4
120,"SupportAddedChaosDamage","","","","","","","","","","",751,"","","","Supports any skill that hits enemies.","Modifie les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。","","","","","","","","","","","[3,11,16]",14343,4
