"rownum","Currency","i32_16","i32_20","i32_24","Cost","i32_32","[rid]_36","[rid]_52","NPCAudio","i32_84","string_88","string_88 (French)","string_88 (German)","string_88 (Japanese)","string_88 (Korean)","string_88 (Portuguese)","string_88 (Russian)","string_88 (Spanish)","string_88 (Thai)","string_88 (Traditional Chinese)","bool_96","i32_97","i32_101","i32_105","bool_109"
37,8,2,4,4,300,1877,[],[],"",0,"<augmented>{Upgrades this item to a random rarity}","<augmented>{Améliore cet objet en lui donnant une rareté au hasard}","<augmented>{Verbessert diesen Gegenstand zu einer zufälligen Seltenheit.}","<augmented>{このアイテムをランダムなレアリティにアップグレードする}","<augmented>{이 아이템을 무작위 희귀도로 업그레이드}","<augmented>{Atualiza este item para uma raridade aleatória}","<augmented>{Улучшает этот предмет до случайного уровня редкости}","<augmented>{Mejora este objeto convirtiéndolo en una rareza aleatoria}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​มี​ระดับ​ความ​หา​ยาก​แบบ​สุ่ม}","<augmented>{將此物品升級為隨機稀有度}","",0,0,750,""
38,235,0,2,2,4000,1899,[],[],"",0,"<augmented>{Reforges this item as another of the same item class}","<augmented>{Remodèle cet objet en un autre objet de la même catégorie d'objet}","<augmented>{Verändert diesen Gegenstand zu einem anderen derselben Gegenstandsklasse.}","<augmented>{このアイテムを同じアイテムクラスの他のアイテムにリフォージする}","<augmented>{이 아이템을 동일한 아이템 종류의 다른 아이템으로 재련}","<augmented>{Reforja este item em outro da mesma classe de item}","<augmented>{Перековывает этот предмет в другой предмет такого же класса}","<augmented>{Reforja este objeto en otro de la misma clase de objeto}","<augmented>{สุ่มไอเทม​นี้​ให้​เป็น​ไอเทม​ชิ้น​ใหม่​จาก​ไอเทม​ชนิด​เดียวกัน}","<augmented>{將此物品重鑄為同物品類型的另一物品}","",0,0,10000,""
39,235,1,3,3,5000,1876,[],[],"",0,"<augmented>{Reforges this item as another of the same item class}","<augmented>{Remodèle cet objet en un autre objet de la même catégorie d'objet}","<augmented>{Verändert diesen Gegenstand zu einem anderen derselben Gegenstandsklasse.}","<augmented>{このアイテムを同じアイテムクラスの他のアイテムにリフォージする}","<augmented>{이 아이템을 동일한 아이템 종류의 다른 아이템으로 재련}","<augmented>{Reforja este item em outro da mesma classe de item}","<augmented>{Перековывает этот предмет в другой предмет такого же класса}","<augmented>{Reforja este objeto en otro de la misma clase de objeto}","<augmented>{สุ่มไอเทม​นี้​ให้​เป็น​ไอเทม​ชิ้น​ใหม่​จาก​ไอเทม​ชนิด​เดียวกัน}","<augmented>{將此物品重鑄為同物品類型的另一物品}","",0,0,12500,""
40,235,2,4,4,6000,1877,[],[],"",0,"<augmented>{Reforges this item as another of the same item class}","<augmented>{Remodèle cet objet en un autre objet de la même catégorie d'objet}","<augmented>{Verändert diesen Gegenstand zu einem anderen derselben Gegenstandsklasse.}","<augmented>{このアイテムを同じアイテムクラスの他のアイテムにリフォージする}","<augmented>{이 아이템을 동일한 아이템 종류의 다른 아이템으로 재련}","<augmented>{Reforja este item em outro da mesma classe de item}","<augmented>{Перековывает этот предмет в другой предмет такого же класса}","<augmented>{Reforja este objeto en otro de la misma clase de objeto}","<augmented>{สุ่มไอเทม​นี้​ให้​เป็น​ไอเทม​ชิ้น​ใหม่​จาก​ไอเทม​ชนิด​เดียวกัน}","<augmented>{將此物品重鑄為同物品類型的另一物品}","",0,0,15000,""
41,377,0,3,3,1500,1876,[],[],"",0,"<augmented>{Reforges the random modifiers of this item, influenced by socketed Fossils}","<augmented>{Remodèle les modificateurs aléatoires de cet objet ; les Fossiles enchâssés influencent le résultat}","<augmented>{Würfelt die zufälligen Modifikatoren auf diesem Gegenstand neu, beeinflusst von eingefassten Fossilien.}","<augmented>{このアイテムのランダムなモッドをリフォージする、ソケットされている化石の影響を受ける}","<augmented>{장착된 화석의 영향을 받아, 이 아이템의 무작위 속성을 재련}","<augmented>{Reforja os modificadores aleatórios deste item, influenciados por fósseis encaixados}","<augmented>{Перековывает предмет, наделяя его новыми случайными свойствами, основываясь на размещенных ископаемых}","<augmented>{Reforja los modificadores aleatorios de este objeto, influenciados por los fósiles engarzados}","<augmented>{สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​นี้ขึ้น​มา​ใหม่ ซึ่ง​จะ​เปลี่ยน​ไป​ตาม​​ฟอสซิล​ที่​ใส่}","<augmented>{重鑄此物品上的隨機詞綴，受到插槽中的化石影響}","",1,5,0,1
42,378,0,3,3,3000,1876,[],[],"",0,"<augmented>{Reforges the random modifiers of this item, influenced by socketed Fossils}","<augmented>{Remodèle les modificateurs aléatoires de cet objet ; les Fossiles enchâssés influencent le résultat}","<augmented>{Würfelt die zufälligen Modifikatoren auf diesem Gegenstand neu, beeinflusst von eingefassten Fossilien.}","<augmented>{このアイテムのランダムなモッドをリフォージする、ソケットされている化石の影響を受ける}","<augmented>{장착된 화석의 영향을 받아, 이 아이템의 무작위 속성을 재련}","<augmented>{Reforja os modificadores aleatórios deste item, influenciados por fósseis encaixados}","<augmented>{Перековывает предмет, наделяя его новыми случайными свойствами, основываясь на размещенных ископаемых}","<augmented>{Reforja los modificadores aleatorios de este objeto, influenciados por los fósiles engarzados}","<augmented>{สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​นี้ขึ้น​มา​ใหม่ ซึ่ง​จะ​เปลี่ยน​ไป​ตาม​​ฟอสซิล​ที่​ใส่}","<augmented>{重鑄此物品上的隨機詞綴，受到插槽中的化石影響}","",5,8,0,1
43,379,0,3,3,6000,1876,[],[],"",0,"<augmented>{Reforges the random modifiers of this item, influenced by socketed Fossils}","<augmented>{Remodèle les modificateurs aléatoires de cet objet ; les Fossiles enchâssés influencent le résultat}","<augmented>{Würfelt die zufälligen Modifikatoren auf diesem Gegenstand neu, beeinflusst von eingefassten Fossilien.}","<augmented>{このアイテムのランダムなモッドをリフォージする、ソケットされている化石の影響を受ける}","<augmented>{장착된 화석의 영향을 받아, 이 아이템의 무작위 속성을 재련}","<augmented>{Reforja os modificadores aleatórios deste item, influenciados por fósseis encaixados}","<augmented>{Перековывает предмет, наделяя его новыми случайными свойствами, основываясь на размещенных ископаемых}","<augmented>{Reforja los modificadores aleatorios de este objeto, influenciados por los fósiles engarzados}","<augmented>{สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​นี้ขึ้น​มา​ใหม่ ซึ่ง​จะ​เปลี่ยน​ไป​ตาม​​ฟอสซิล​ที่​ใส่}","<augmented>{重鑄此物品上的隨機詞綴，受到插槽中的化石影響}","",5,8,0,1
44,380,0,3,3,12000,1876,[],[],"",0,"<augmented>{Reforges the random modifiers of this item, influenced by socketed Fossils}","<augmented>{Remodèle les modificateurs aléatoires de cet objet ; les Fossiles enchâssés influencent le résultat}","<augmented>{Würfelt die zufälligen Modifikatoren auf diesem Gegenstand neu, beeinflusst von eingefassten Fossilien.}","<augmented>{このアイテムのランダムなモッドをリフォージする、ソケットされている化石の影響を受ける}","<augmented>{장착된 화석의 영향을 받아, 이 아이템의 무작위 속성을 재련}","<augmented>{Reforja os modificadores aleatórios deste item, influenciados por fósseis encaixados}","<augmented>{Перековывает предмет, наделяя его новыми случайными свойствами, основываясь на размещенных ископаемых}","<augmented>{Reforja los modificadores aleatorios de este objeto, influenciados por los fósiles engarzados}","<augmented>{สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​นี้ขึ้น​มา​ใหม่ ซึ่ง​จะ​เปลี่ยน​ไป​ตาม​​ฟอสซิล​ที่​ใส่}","<augmented>{重鑄此物品上的隨機詞綴，受到插槽中的化石影響}","",12,16,0,1
45,373,0,3,3,1500,1876,[],[],"",0,"<augmented>{Reforges the random modifiers of this item, influenced by socketed Fossils}","<augmented>{Remodèle les modificateurs aléatoires de cet objet ; les Fossiles enchâssés influencent le résultat}","<augmented>{Würfelt die zufälligen Modifikatoren auf diesem Gegenstand neu, beeinflusst von eingefassten Fossilien.}","<augmented>{このアイテムのランダムなモッドをリフォージする、ソケットされている化石の影響を受ける}","<augmented>{장착된 화석의 영향을 받아, 이 아이템의 무작위 속성을 재련}","<augmented>{Reforja os modificadores aleatórios deste item, influenciados por fósseis encaixados}","<augmented>{Перековывает предмет, наделяя его новыми случайными свойствами, основываясь на размещенных ископаемых}","<augmented>{Reforja los modificadores aleatorios de este objeto, influenciados por los fósiles engarzados}","<augmented>{สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​นี้ขึ้น​มา​ใหม่ ซึ่ง​จะ​เปลี่ยน​ไป​ตาม​​ฟอสซิล​ที่​ใส่}","<augmented>{重鑄此物品上的隨機詞綴，受到插槽中的化石影響}","",1,5,3750,""
46,374,0,3,3,3000,1876,[],[],"",0,"<augmented>{Reforges the random modifiers of this item, influenced by socketed Fossils}","<augmented>{Remodèle les modificateurs aléatoires de cet objet ; les Fossiles enchâssés influencent le résultat}","<augmented>{Würfelt die zufälligen Modifikatoren auf diesem Gegenstand neu, beeinflusst von eingefassten Fossilien.}","<augmented>{このアイテムのランダムなモッドをリフォージする、ソケットされている化石の影響を受ける}","<augmented>{장착된 화석의 영향을 받아, 이 아이템의 무작위 속성을 재련}","<augmented>{Reforja os modificadores aleatórios deste item, influenciados por fósseis encaixados}","<augmented>{Перековывает предмет, наделяя его новыми случайными свойствами, основываясь на размещенных ископаемых}","<augmented>{Reforja los modificadores aleatorios de este objeto, influenciados por los fósiles engarzados}","<augmented>{สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​นี้ขึ้น​มา​ใหม่ ซึ่ง​จะ​เปลี่ยน​ไป​ตาม​​ฟอสซิล​ที่​ใส่}","<augmented>{重鑄此物品上的隨機詞綴，受到插槽中的化石影響}","",5,8,7500,""
