"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","PackLeader1","PackLeader1 (French)","PackLeader1 (German)","PackLeader1 (Japanese)","PackLeader1 (Korean)","PackLeader1 (Portuguese)","PackLeader1 (Russian)","PackLeader1 (Spanish)","PackLeader1 (Thai)","PackLeader1 (Traditional Chinese)","PackLeader2","PackLeader2 (French)","PackLeader2 (German)","PackLeader2 (Japanese)","PackLeader2 (Korean)","PackLeader2 (Portuguese)","PackLeader2 (Russian)","PackLeader2 (Spanish)","PackLeader2 (Thai)","PackLeader2 (Traditional Chinese)","Mod"
142,"VaalSnakeRanged","Spine Constructs","Fabrications à épines","Knochenkonstrukte","スパイン・コンストラクト","척추 몸체","Construtos Dorsais","Механические шипохвосты","Constructos escorpiones","Spine Construct","刺針創造物","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVaalSnake","Ranged Snake <white>{Constructs}","Serpents attaquant à distance (<white>{Fabrications})","Fernkämpfende Schlangen-<white>{Konstrukte}","遠距離攻撃の蛇の<white>{コンストラクト}","원거리 뱀 <white>{구조물}.","<white>{Construtos} de Cobras que atacam à distância","Дальнобойные змеи (<white>{создания})","<white>{Constructos} serpiente que atacan a distancia","<white>{ชีวิตประดิษฐ์}งู ระยะไกล","遠距蛇類<white>{創造物}","","","","","","","","","","","","","","","","","","","","",""
143,"VaalSnake","Serpentine Constructs","Fabrications serpentines","Schlangenkonstrukte","蛇行するコンストラクト","구불거리는 몸체","Construtos de Serpentina","Механические змеи","Constructos serpentinos","Serpentine Construct","蛇影創造物","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVaalSnake","Snake <white>{Constructs}","Serpents (<white>{Fabrications})","Schlangen-<white>{Konstrukte}","蛇の<white>{コンストラクト}","뱀 <white>{구조물}.","<white>{Construtos} de Cobras","Змеи (<white>{создания})","<white>{Constructos} serpiente","<white>{ชีวิตประดิษฐ์}งู","<white>{創造物}怪物會造成<craftingphysical>{物理}傷害","","","","","","","","","","","","","","","","","","","","",""
144,"Wasp","Plague Wasps","Guêpes pestiférées","Seuchenwespe","プレイグワスプ","역병 말벌","Vespas da Praga","Чумные осы","Avispas de plaga","Plague Wasp","瘟疫黃蜂","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWasp","Fast <white>{Beast} Wasps","Guêpes rapides (<white>{Bêtes})","Schnelle <white>{Bestien}-Wespen","素早い<white>{獣}のワスプ","재빠른 <white>{야수} 말벌.","Vespas <white>{Bestiais} Ráidas","Быстрые <white>{звери}, наносящие <craftingphysical>{физический} урон","<white>{Bestias} avispa rápidas","ต่อ<white>{สัตว์ร้าย} ว่องไว","快速<white>{野獸}黃蜂","","","","","","","","","","","","","","","","","","","","",""
145,"AxisCaster","Blackguard Mages","Mages de la Garde noire","Magierinnen der Schwarzgarde","ブラックガード・メイジ","검은 근위대 마법사","Magos da Guarda Negra","Маги Чёрной стражи","Magos de la Guardia negra","Blackguard Mage","烏旗守衛法師","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconAxisCaster","Blackguard <white>{Humanoids} \r\nCasts <craftinglightning>{Spark}","<white>{Humanoïdes} de la Garde noire\r\nLance <craftinglightning>{Étincelle}","Schwarzgardisten-<white>{Humanoide} \r\nZaubert <craftinglightning>{Funken}","ブラックガードの<white>{人型}\r\n<craftinglightning>{スパーク}をキャストする","검은 근위대 <white>{인간형}.\r\n<craftinglightning>{전기불꽃}을 시전합니다.","<white>{Humanóides} da Guarda Negra\r\n Conjura <craftinglightning>{Faísca}","Чёрная стража (<white>{гуманоиды})\r\nСотворяют <craftinglightning>{Искру}","<white>{Humanoides} de la Guardia negra\r\nLanzan <craftinglightning>{Chispa}","การ์ดดำ<white>{มนุษย์}\r\nร่าย ประกาย<craftinglightning>{สายฟ้า} (Spark)","烏旗守衛<white>{人形}\r\n施放<craftinglightning>{電球}","","","","","","","","","","","","","","","","","","","","",""
146,"AxisCasterArc","Blackguard Arcmages","Foudremages de la Garde noire","Erzmagierinnen der Schwarzgarde","ブラックガード・アークメイジ","검은 근위대 번개마법사","Arquimagos da Guarda Negra","Архимаги Чёрной стражи","Archimagos de la Guardia negra","Blackguard Arcmage","烏旗守衛雷使","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconAxisCaster","Blackguard <white>{Humanoids} \r\nCasts <craftinglightning>{Arc}","<white>{Humanoïdes} de la Garde noire\r\nLance <craftinglightning>{Arc électrique}","Schwarzgardisten-<white>{Humanoide} \r\nZaubert <craftinglightning>{Lichtbogen}","ブラックガードの<white>{人型}\r\n<craftinglightning>{アーク}をキャストする","검은 근위대 <white>{인간형}.\r\n<craftinglightning>{연쇄 번개}를 시전합니다.","<white>{Humanóides} da Guarda Negra\r\n Conjura <craftinglightning>{Arco Elétrico}","Чёрная стража (<white>{гуманоиды})\r\nСотворяют <craftinglightning>{Цепь молний}","<white>{Humanoides} de la Guardia negra\r\nLanzan Arco <craftinglightning>{eléctrico}","การ์ดดำ<white>{มนุษย์}\r\nร่าย <craftinglightning>{สายฟ้า}ชิ่ง (Arc)","烏旗守衛<white>{人形}\r\n會施放<craftinglightning>{電弧}","","","","","","","","","","","","","","","","","","","","",""
147,"AxisEliteSoldierExtraMage","Blackguard Elites","Élites de la Garde noire","Elitesoldaten der Schwarzgarde","ブラックガードの精鋭","검은 근위대 정예병","Elite da Guarda negra","Элитные Чёрные стражники","Élites de la Guardia negra","Blackguard Elite","烏旗守衛精英","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconAxisEliteSoldier","Elite Blackguard <white>{Humanoids}","Élites de la Garde noire (<white>{Humanoïdes})","Schwarzgardisten-Elite-<white>{Humanoide}","精鋭のブラックガードの<white>{人型}","정예 검은 근위대 <white>{인간형}.","<white>{Humanóides} da Guarda Negra de Elite","Элита Чёрной стражи (<white>{гуманоиды})","<white>{Humanoides} élites de la Guardia negra","ทหารเอกการ์ดดำ<white>{มนุษย์}","精英烏旗守衛<white>{人形}","<white>{Pack Leader:}\r\n<white>{Blackguard Mage}","<white>{Chef de groupe :}\r\n<white>{Mage de la Garde noire}","<white>{Gruppenanführer:}\r\n<white>{Magierin der Schwarzgarde}","<white>{パックリーダー：}\r\n<white>{ブラックガード・メイジ}","<white>{무리 우두머리:}\r\n<white>{검은 근위대 마법사}","<white>{Líder do Grupo:}\r\n <white>{Mago da Guarda Negra}","<white>{Лидер группы:}\r\n<white>{Маг Чёрной стражи}","<white>{Líder del grupo:}\r\n<white>{Mago de la Guardia negra}","<white>{หัวหน้ากอง:}\r\n<white>{Blackguard Mage}","<white>{怪物群首領：}<white>{烏旗守衛法師}","<white>{Pack Leader:}\r\n<white>{Blackguard Mage}\r\nCasts <craftinglightning>{Spark}\r\n","<white>{Chef de groupe :}\r\n<white>{Mage de la Garde noire}\r\nLance <craftinglightning>{Étincelle}","<white>{Gruppenanführer:}\r\n<white>{Magierin der Schwarzgarde}\r\nZaubert <craftinglightning>{Funken}","<white>{パックリーダー：}\r\n<white>{ブラックガード・メイジ}\r\n<craftinglightning>{スパーク}をキャストする","<white>{무리 우두머리:}\r\n<white>{검은 근위대 마법사}\r\n<craftinglightning>{전기불꽃}을 시전합니다.","<white>{Líder do Grupo:}\r\n <white>{Mago da Guarda Negra}\r\n Conjura <craftinglightning>{Faísca}","<white>{Лидер группы:}\r\n<white>{Маг Чёрной стражи}\r\nСотворяет <craftinglightning>{Искру}\r\n","<white>{Líder del grupo:}\r\n<white>{Mago de la Guardia negra}\r\nLanza <craftinglightning>{Chispa}","<white>{หัวหน้ากอง:}\r\n<white>{Blackguard Mage}\r\nร่าย ประกาย<craftinglightning>{สายฟ้า} (Spark)","<white>{怪物群首領：}<white>{烏旗守衛法師}\r\n施放<craftinglightning>{電球}",""
148,"AxisEliteSoldierArcMage","Blackguard Elites","Élites de la Garde noire","Elitesoldaten der Schwarzgarde","ブラックガードの精鋭","검은 근위대 정예병","Elite da Guarda negra","Элитные Чёрные стражники","Élites de la Guardia negra","Blackguard Elite","烏旗守衛精英","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconAxisEliteSoldier","Elite Blackguard <white>{Humanoids}","Élites de la Garde noire (<white>{Humanoïdes})","Schwarzgardisten-Elite-<white>{Humanoide}","精鋭のブラックガードの<white>{人型}","정예 검은 근위대 <white>{인간형}.","<white>{Humanóides} da Guarda Negra de Elite","Элита Чёрной стражи (<white>{гуманоиды})","<white>{Humanoides} élites de la Guardia negra","ทหารเอกการ์ดดำ<white>{มนุษย์}","精英烏旗守衛<white>{人形}","<white>{Pack Leader:}\r\n<white>{Blackguard Arcmage}","<white>{Chef de groupe :}\r\n<white>{Foudremage de la Garde noire}","<white>{Gruppenanführer:}\r\n<white>{Erzmagierin der Schwarzgarde}","<white>{パックリーダー：}\r\n<white>{ブラックガード・アークメイジ}","<white>{무리 우두머리:}\r\n<white>{검은 근위대 번개마법사}","<white>{Líder do Grupo:}\r\n <white>{Arquimago da Guarda Negra}","<white>{Лидер группы:}\r\n<white>{Архимаг Чёрной стражи}","<white>{Líder del grupo:}\r\n<white>{Archimago de la Guardia negra}","<white>{หัวหน้ากอง:}\r\n<white>{Blackguard Arcmage}","<white>{怪物群首領：}<white>{烏旗守衛雷使}","<white>{Pack Leader:}\r\n<white>{Blackguard Arcmage}\r\nCasts <craftinglightning>{Arc}\r\n","<white>{Chef de groupe :}\r\n<white>{Foudremage de la Garde noire}\r\nLance <craftinglightning>{Arc électrique}","<white>{Gruppenanführer:}\r\n<white>{Magierin der Schwarzgarde}\r\nZaubert <craftinglightning>{Lichtbogen}","<white>{パックリーダー：}\r\n<white>{ブラックガード・アークメイジ}\r\n<craftinglightning>{アーク}をキャストする","<white>{무리 우두머리:}\r\n<white>{검은 근위대 번개마법사}\r\n<craftinglightning>{연쇄 번개}를 시전합니다.","<white>{Líder do Grupo:}\r\n <white>{Arquimago da Guarda Negra}\r\n Conjura <craftinglightning>{Arco Elétrico}","<white>{Лидер группы:}\r\n<white>{Архимаг Чёрной стражи}\r\nСотворяет <craftinglightning>{Цепь молний}\r\n","<white>{Líder del grupo:}\r\n<white>{Archimago de la Guardia negra}\r\nLanza Arco <craftinglightning>{eléctrico}","<white>{หัวหน้ากอง:}\r\n<white>{Blackguard Arcmage}\r\nร่าย <craftinglightning>{สายฟ้า}ชิ่ง (Arc)","<white>{怪物群首領：}<white>{烏旗守衛雷使}\r\n施放<craftinglightning>{電弧}",""
149,"AxisEliteSoldier","Blackguard Elites","Élites de la Garde noire","Elitesoldaten der Schwarzgarde","ブラックガードの精鋭","검은 근위대 정예병","Elite da Guarda negra","Элитные Чёрные стражники","Élites de la Guardia negra","Blackguard Elite","烏旗守衛精英","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconAxisEliteSoldier","Elite Blackguard <white>{Humanoids}","Élites de la Garde noire (<white>{Humanoïdes})","Schwarzgardisten-Elite-<white>{Humanoide}","精鋭のブラックガードの<white>{人型}","검은 근위대 정예병 <white>{인간형}.","<white>{Humanóides} da Guarda Negra de Elite","Элита Чёрной стражи (<white>{гуманоиды})","<white>{Humanoides} élites de la Guardia negra","ทหารเอกการ์ดดำ<white>{มนุษย์}","精英烏旗守衛<white>{人形}","","","","","","","","","","","","","","","","","","","","",""
150,"AxisExperimenter","Blackguard Experimenters","Expérimentateurs de la Garde noire","Experimentatoren der Schwarzgarde","ブラックガード・エクスペリメンター","검은 근위대 실험자","Experimentadores da Guarda Negra","Экспериментаторы Чёрной стражи","Experimentadores de la Guardia negra","Blackguard Experimenter","烏旗守衛實驗體","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconAxisExperimenter","Blackguard <white>{Humanoids}\r\nCasts Temporal Chains\r\nDetonates corpses","<white>{Humanoïdes} de la Garde noire\r\nLance Chaînes temporelles\r\nFait exploser les cadavres","Schwarzgardisten-<white>{Humanoide}\r\nZaubert Fesseln der Zeit\r\nLässt Leichen explodieren","ブラックガードの<white>{人型}\r\nテンポラルチェーンをキャストする\r\n死体を起爆する","검은 근위대 <white>{인간형}.\r\n시간의 사슬을 시전합니다.\r\n시신을 폭발시킵니다.","<white>{Humanóides} da Guarda Negra\r\n Conjura Grilhões Temporais\r\nExplode cadáveres","Чёрная стража (<white>{гуманоиды})\r\nСотворяют Путы времени\r\nПодрывают трупы","<white>{Humanoides} de la Guardia negra\r\nLanzan Cadenas temporales\r\nDetonan cadáveres","การ์ดดำ<white>{มนุษย์}\r\nร่าย โซ่กาลเวลา (Temporal Chains)\r\nระเบิด ศพ","烏旗守衛 <white>{人形}\r\n施放時空鎖鏈\r\n使屍體爆炸","","","","","","","","","","","","","","","","","","","","",""
151,"AxisFootsoldierLunaris","Lunar Scouts","Éclaireurs lunaires","Lunaris-Kundschafter","ルーナースカウト","달의 정찰병","Batedores Lunares","Лунные разведчики","Exploradores lunares","Lunar Scout","月影哨兵","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconLunarisSoldierMelee","Lunaris <white>{Humanoids}","<white>{Humanoïdes} de Lunaris","Lunaris-<white>{Humanoide}","ルナリスの<white>{人型}","루나리스 <white>{인간형}.","<white>{Humanóides} de Lunaris","<white>{Гуманоиды} Лунарис","<white>{Humanoides} de Lunaris","<white>{มนุษย์}แห่งลูนาริส","月影<white>{人形}","","","","","","","","","","","","","","","","","","","","",""
152,"AxisFootsoldierMageExtra","Blackguard Soldiers","Soldats de la Garde noire","Soldaten der Schwarzgarde","ブラックガード・ソルジャー","검은 근위대 병사","Soldados da Guarda Negra","Чёрные стражники","Soldados de la Guardia negra","Blackguard Soldier","烏旗守衛士兵","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconAxisFootsoldier","Elite Blackguard <white>{Humanoids}","Soldats de la Garde noire (<white>{Humanoïdes})","Schwarzgardisten-Elite-<white>{Humanoide}","精鋭のブラックガードの<white>{人型}","정예 검은 근위대 <white>{인간형}.","<white>{Humanóides} da Guarda Negra de Elite","Элита Чёрной стражи (<white>{гуманоиды})","<white>{Humanoides} élites de la Guardia negra","ทหารเอกการ์ดดำ<white>{มนุษย์}","精英烏旗守衛<white>{人形}","<white>{Pack Leader:}\r\n<white>{Blackguard Mage}","<white>{Chef de groupe :}\r\n<white>{Mage de la Garde noire}","<white>{Gruppenanführer:}\r\n<white>{Magierin der Schwarzgarde}","<white>{パックリーダー：}\r\n<white>{ブラックガード・メイジ}","<white>{무리 우두머리:}\r\n<white>{검은 근위대 마법사}","<white>{Líder do Grupo:}\r\n <white>{Mago da Guarda Negra}","<white>{Лидер группы:}\r\n<white>{Маг Чёрной стражи}","<white>{Líder del grupo:}\r\n<white>{Mago de la Guardia negra}","<white>{หัวหน้ากอง:}\r\n<white>{Blackguard Mage}","<white>{怪物群首領：}<white>{烏旗守衛法師}","<white>{Pack Leader:}\r\n<white>{Blackguard Mage}\r\nCasts <craftinglightning>{Spark}\r\n","<white>{Chef de groupe :}\r\n<white>{Mage de la Garde noire}\r\nLance <craftinglightning>{Étincelle}","<white>{Gruppenanführer:}\r\n<white>{Magierin der Schwarzgarde}\r\nZaubert <craftinglightning>{Funken}","<white>{パックリーダー：}\r\n<white>{ブラックガード・メイジ}\r\n<craftinglightning>{スパーク}をキャストする","<white>{무리 우두머리:}\r\n<white>{검은 근위대 마법사}\r\n<craftinglightning>{전기불꽃}을 시전합니다.","<white>{Líder do Grupo:}\r\n <white>{Mago da Guarda Negra}\r\n Conjura <craftinglightning>{Faísca}","<white>{Лидер группы:}\r\n<white>{Маг Чёрной стражи}\r\nСотворяет <craftinglightning>{Искру}\r\n","<white>{Líder del grupo:}\r\n<white>{Mago de la Guardia negra}\r\nLanza <craftinglightning>{Chispa}","<white>{หัวหน้ากอง:}\r\n<white>{Blackguard Mage}\r\nร่าย ประกาย<craftinglightning>{สายฟ้า} (Spark)","<white>{怪物群首領：}<white>{烏旗守衛法師}\r\n施放<craftinglightning>{電球}",""
