"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","ArtFile","AchievementItemsKey"
93,"Generic","Contains 3 to 4 Synthesised Chests\r\nContains 1 Synthesised Chest with Fractured Items","Renferme 3 à 4 Coffres synthétisés\r\nRenferme 1 Coffre synthétisé contenant des Objets fissurés","Enthält 3 bis 4 synthetisierte Truhen\r\nEnthält 1 synthetisierte Truhe mit brüchigen Gegenständen","シンセシスチェストが3-4個追加される\r\nフラクチャーアイテムの入ったシンセシスチェストが1個追加される","결합물 상자 3~4개 포함\r\n결합물 상자 1개와 분열된 아이템 포함","Contém de 3 a 4 Baús Sintetizados\r\nContém 1 Baú Sintetizado com Itens Fixados","Содержит от 3 до 4 синтезированных сундуков\r\nСодержит 1 синтезированный сундук с расколотыми предметами","Contiene de 3 a 4 Cofres Sintetizados\r\nContiene 1 Cofre Sintetizado que tiene objetos fracturados","มีหีบสมบัติสังเคราะห์อยู่ 3 ถึง 4 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทมแตกร้าวอยู่ 1 หีบ","包含 3 至 4 個追憶之匣\r\n包含 1 個含有破裂之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/GenericItemRewardIcon",""
94,"Generic2","Contains 4 to 5 Synthesised Chests\r\nContains 1 Synthesised Chest with Fractured Items","Renferme 4 à 5 Coffres synthétisés\r\nRenferme 1 Coffre synthétisé contenant des Objets fissurés","Enthält 4 bis 5 synthetisierte Truhen\r\nEnthält 1 synthetisierte Truhe mit brüchigen Gegenständen","シンセシスチェストが4-5個追加される\r\nフラクチャーアイテムの入ったシンセシスチェストが1個追加される","결합물 상자 4~5개 포함\r\n결합물 상자 1개와 분열된 아이템 포함","Contém de 4 a 5 Baús Sintetizados\r\nContém 1 Baú Sintetizado com Itens Fixados","Содержит от 4 до 5 синтезированных сундуков\r\nСодержит 1 синтезированный сундук с расколотыми предметами","Contiene de 4 a 5 Cofres Sintetizados\r\nContiene 1 Cofre Sintetizado que tiene objetos fracturados","มีหีบสมบัติสังเคราะห์อยู่ 4 ถึง 5 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทมแตกร้าวอยู่ 1 หีบ","包含 4 至 5 個追憶之匣\r\n包含 1 個含有破裂之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/GenericItemRewardIcon",""
95,"Generic3","Contains 5 to 6 Synthesised Chests\r\nContains 2 Synthesised Chests with Fractured Items","Renferme 5 à 6 Coffres synthétisés\r\nRenferme 2 Coffres synthétisés contenant des Objets fissurés","Enthält 5 bis 6 synthetisierte Truhen\r\nEnthält 2 synthetisierte Truhen mit brüchigen Gegenständen","シンセシスチェストが5-6個追加される\r\nフラクチャーアイテムの入ったシンセシスチェストが2個追加される","결합물 상자 5~6개 포함\r\n결합물 상자 2개와 분열된 아이템 포함","Contém de 5 a 6 Baús Sintetizados\r\nContém 2 Baú Sintetizado com Itens Fixados","Содержит от 5 до 6 синтезированных сундуков\r\nСодержит 2 синтезированных сундука с расколотыми предметами","Contiene de 5 a 6 Cofres Sintetizados\r\nContiene 2 Cofres Sintetizados que tienen objetos fracturados","มีหีบสมบัติสังเคราะห์อยู่ 5 ถึง 6 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทมแตกร้าวอยู่ 2 หีบ","包含 5 至 6 個追憶之匣\r\n包含 2 個含有破裂之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/GenericItemRewardIcon",""
96,"Generic4","Contains 6 to 8 Synthesised Chests\r\nContains 2 Synthesised Chests with Fractured Items","Renferme 6 à 8 Coffres synthétisés\r\nRenferme 2 Coffres synthétisés contenant des Objets fissurés","Enthält 6 bis 8 synthetisierte Truhen\r\nEnthält 2 synthetisierte Truhen mit brüchigen Gegenständen","シンセシスチェストが6-8個追加される\r\nフラクチャーアイテムの入ったシンセシスチェストが2個追加される","결합물 상자 6~8개 포함\r\n결합물 상자 2개와 분열된 아이템 포함","Contém de 6 a 8 Baús Sintetizados\r\nContém 2 Baú Sintetizado com Itens Fixados","Содержит от 6 до 8 синтезированных сундуков\r\nСодержит 2 синтезированных сундука с расколотыми предметами","Contiene de 6 a 8 Cofres Sintetizados\r\nContiene 2 Cofres Sintetizados que tienen objetos fracturados","มีหีบสมบัติสังเคราะห์อยู่ 6 ถึง 8 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทมแตกร้าวอยู่ 2 หีบ","包含 6 至 8 個追憶之匣\r\n包含 2 個含有破裂之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/GenericItemRewardIcon",""
97,"Generic5","Contains 6 to 8 Synthesised Chests\r\nContains 3 Synthesised Chests with Fractured Items","Renferme 6 à 8 Coffres synthétisés\r\nRenferme 3 Coffres synthétisés contenant des Objets fissurés","Enthält 6 bis 8 synthetisierte Truhen\r\nEnthält 3 synthetisierte Truhen mit brüchigen Gegenständen","シンセシスチェストが6-8個追加される\r\nフラクチャーアイテムの入ったシンセシスチェストが3個追加される","결합물 상자 6~8개 포함\r\n결합물 상자 3개와 분열된 아이템 포함","Contém de 6 a 8 Baús Sintetizados\r\nContém 3 Baú Sintetizado com Itens Fixados","Содержит от 6 до 8 синтезированных сундуков\r\nСодержит 3 синтезированных сундука с расколотыми предметами","Contiene de 6 a 8 Cofres Sintetizados\r\nContiene 3 Cofres Sintetizados que tienen objetos fracturados","มีหีบสมบัติสังเคราะห์อยู่ 6 ถึง 8 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทมแตกร้าวอยู่ 3 หีบ","包含 6 至 8 個追憶之匣\r\n包含 3 個含有破裂之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/GenericItemRewardIcon",""
98,"Talismans","Contains 1 to 2 Synthesised Chests with Talisman Items","Renferme 1 à 2 Coffres synthétisés contenant des Talismans","Enthält 1 bis 2 synthetisierte Truhen mit Talisman-Gegenständen","タリスマンアイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 1~2개와 부적 아이템 포함","Contém de 1 a 2 Baús Sintetizados com Itens da Talismã","Содержит от 1 до 2 синтезированных сундуков с предметами Талисманов","Contiene de 1 a 2 Cofres Sintetizados que tienen objetos de Talisman","มีหีบสมบัติสังเคราะห์ ไอเทมสร้อยเครื่องราง อยู่ 1 ถึง 2 หีบ","包含 1 至 2 個含有魔符的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TalismansItemRewardIcon",""
99,"Talismans2","Contains 2 to 3 Synthesised Chests with Talisman Items","Renferme 2 à 3 Coffres synthétisés contenant des Talismans","Enthält 2 bis 3 synthetisierte Truhen mit Talisman-Gegenständen","タリスマンアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2~3개와 부적 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Itens da Talismã","Содержит от 2 до 3 синтезированных сундуков с предметами Талисманов","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos de Talisman","มีหีบสมบัติสังเคราะห์ ไอเทมสร้อยเครื่องราง อยู่ 2 ถึง 3 หีบ","包含 2 至 3 個含有魔符的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TalismansItemRewardIcon",""
100,"Talismans3","Contains 3 to 4 Synthesised Chests with Talisman Items","Renferme 3 à 4 Coffres synthétisés contenant des Talismans","Enthält 3 bis 4 synthetisierte Truhen mit Talisman-Gegenständen","タリスマンアイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 3~4개와 부적 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Itens da Talismã","Содержит от 3 до 4 синтезированных сундуков с предметами Талисманов","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos de Talisman","มีหีบสมบัติสังเคราะห์ ไอเทมสร้อยเครื่องราง อยู่ 3 ถึง 4 หีบ","包含 3 至 4 個含有魔符的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TalismansItemRewardIcon",""
101,"Labyrinth","Contains 1 to 2 Synthesised Chests with Labyrinth Items","Renferme 1 à 2 Coffres synthétisés contenant des Objets du Labyrinthe","Enthält 1 bis 2 synthetisierte Truhen mit Labyrinth-Gegenständen","ラビリンスアイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 1~2개와 미궁 아이템 포함","Contém de 1 a 2 Baús Sintetizados com Itens do Labirinto","Содержит от 1 до 2 синтезированных сундуков с предметами Лабиринта","Contiene de 1 a 2 Cofres Sintetizados que tienen objetos de Laberinto","มีหีบสมบัติสังเคราะห์ ไอเทมเขาวงกต อยู่ 1 ถึง 2 หีบ","包含 1 至 2 個含有帝王迷宮之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/LabyrinthItemRewardIcon",""
102,"Labyrinth2","Contains 2 to 3 Synthesised Chests with Labyrinth Items","Renferme 2 à 3 Coffres synthétisés contenant des Objets du Labyrinthe","Enthält 2 bis 3 synthetisierte Truhen mit Labyrinth-Gegenständen","ラビリンスアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2~3개와 미궁 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Itens do Labirinto","Содержит от 2 до 3 синтезированных сундуков с предметами Лабиринта","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos de Laberinto","มีหีบสมบัติสังเคราะห์ ไอเทมเขาวงกต อยู่ 2 ถึง 3 หีบ","包含 2 至 3 個含有帝王迷宮之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/LabyrinthItemRewardIcon",""
103,"Labyrinth3","Contains 3 to 4 Synthesised Chests with Labyrinth Items","Renferme 3 à 4 Coffres synthétisés contenant des Objets du Labyrinthe","Enthält 3 bis 4 synthetisierte Truhen mit Labyrinth-Gegenständen","ラビリンスアイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 3~4개와 미궁 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Itens do Labirinto","Содержит от 3 до 4 синтезированных сундуков с предметами Лабиринта","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos de Laberinto","มีหีบสมบัติสังเคราะห์ ไอเทมเขาวงกต อยู่ 3 ถึง 4 หีบ","包含 3 至 4 個含有帝王迷宮之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/LabyrinthItemRewardIcon",""
104,"Labyrinth4","Contains 4 to 5 Synthesised Chests with Labyrinth Items","Renferme 4 à 5 Coffres synthétisés contenant des Objets du Labyrinthe","Enthält 4 bis 5 synthetisierte Truhen mit Labyrinth-Gegenständen","ラビリンスアイテムの入ったシンセシスチェストが4-5個追加される","결합물 상자 4~5개와 미궁 아이템 포함","Contém de 4 a 5 Baús Sintetizados com Itens do Labirinto","Содержит от 4 до 5 синтезированных сундуков с предметами Лабиринта","Contiene de 4 a 5 Cofres Sintetizados que tienen objetos de Laberinto","มีหีบสมบัติสังเคราะห์ ไอเทมเขาวงกต อยู่ 4 ถึง 5 หีบ","包含 4 至 5 個含有帝王迷宮之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/LabyrinthItemRewardIcon",""
105,"GlobalMod1","Contains Memory Modifier","Renferme un Modificateur de Souvenirs","Enthält einen Erinnerungsmodifikator","記憶モッドが追加される","기억 속성 부여 포함","Contém um Modificador de Memória","Содержит свойство памяти","Contiene alteradores de memoria","มีตัวเปลี่ยนม็อดความทรงจำ","包含記憶詞綴","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/GlobalModTier1",""
106,"GlobalMod2","Contains multiple Memory Modifiers","Renferme plusieurs Modificateurs de Souvenirs","Enthält mehrere Erinnerungsmodifikatoren","複数の記憶モッドが追加される","다수의 기억 속성 부여 포함","Contém múltiplos Modificadores de Memória","Содержит несколько свойств памяти","Contiene varios alteradores de memoria","มีตัวเปลี่ยนม็อดความทรงจำหลายตัว","包含多個記憶詞綴","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/GlobalModTier2",""
