"rownum","BetrayalJobsKey","BetrayalTargetsKey","BetrayalRanksKey","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Description2 (English)","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)"
159,1,12,1,"Channeling the First Ones","Canalise les Premiers","Beschwört die Ersten","最初のものたちとの交信","최초의 존재들에 연결","Canalizando os Primeiros Seres","Призывает Первых","Canalizar a los Primeros","ถ่ายทอดพลังจากเทพผู้บุกเบิก","引導初始者","Smuggling Amulets (Trapped Chests!)","Fait de la contrebande d'Amulettes (dans des coffres piégés !)","Schmuggelt Amulette (Truhen mit Fallen!)","アミュレットの密輸（トラップチェスト！）","밀수한 목걸이 (덫 상자!)","Contrabandeando Amuletos (Baús Trancados!)","Тайно провозит амулеты (ловушки в сундуках!)","Traficar con amuletos (¡Cofres atrapados!)","ลอบขนสร้อย (หีบติดกับดัก!)","走私項鍊（陷阱寶箱！）"
160,1,12,2,"Channeling the First Ones","Canalise les Premiers","Beschwört die Ersten","最初のものたちとの交信","최초의 존재들에 연결","Canalizando os Primeiros Seres","Призывает Первых","Canalizar a los Primeros","ถ่ายทอดพลังจากเทพผู้บุกเบิก","引導初始者","Smuggling Amulets (Trapped Chests!)","Fait de la contrebande d'Amulettes (dans des coffres piégés !)","Schmuggelt Amulette (Truhen mit Fallen!)","アミュレットの密輸（トラップチェスト！）","밀수한 목걸이 (덫 상자!)","Contrabandeando Amuletos (Baús Trancados!)","Тайно провозит амулеты (ловушки в сундуках!)","Traficar con amuletos (¡Cofres atrapados!)","ลอบขนสร้อย (หีบติดกับดัก!)","走私項鍊（陷阱寶箱！）"
161,1,12,3,"Channeling the First Ones","Canalise les Premiers","Beschwört die Ersten","最初のものたちとの交信","최초의 존재들에 연결","Canalizando os Primeiros Seres","Призывает Первых","Canalizar a los Primeros","ถ่ายทอดพลังจากเทพผู้บุกเบิก","引導初始者","Smuggling Amulets (Trapped Chests!)","Fait de la contrebande d'Amulettes (dans des coffres piégés !)","Schmuggelt Amulette (Truhen mit Fallen!)","アミュレットの密輸（トラップチェスト！）","밀수한 목걸이 (덫 상자!)","Contrabandeando Amuletos (Baús Trancados!)","Тайно провозит амулеты (ловушки в сундуках!)","Traficar con amuletos (¡Cofres atrapados!)","ลอบขนสร้อย (หีบติดกับดัก!)","走私項鍊（陷阱寶箱！）"
162,2,12,1,"Carrying Talismans on Pilgrimage","Emporte des Talismans en pélerinage","Trägt Talismane auf Pilgerfahrten","タリスマンを携えた巡礼","순례 중에 소지한 부적","Carregando Talismãs em Peregrinação","Отправляется в паломничество с талисманами","Portar talismanes en peregrinaje","พกพาสร้อยเครื่องรางระหว่างการออกแสวงบุญ","朝聖時攜帶魔符","Transporting Amulets","Transporte des Amulettes","Transportiert Amulette","アミュレットの輸送","수송 중인 목걸이","Transportando Amuletos","Перевозит амулеты","Transportar amuletos","ขนส่งสร้อย","護送項鍊"
163,2,12,2,"Carrying Talismans on Pilgrimage","Emporte des Talismans en pélerinage","Trägt Talismane auf Pilgerfahrten","タリスマンを携えた巡礼","순례 중에 소지한 부적","Carregando Talismãs em Peregrinação","Отправляется в паломничество с талисманами","Portar talismanes en peregrinaje","พกพาสร้อยเครื่องรางระหว่างการออกแสวงบุญ","朝聖時攜帶魔符","Transporting Amulets","Transporte des Amulettes","Transportiert Amulette","アミュレットの輸送","수송 중인 목걸이","Transportando Amuletos","Перевозит амулеты","Transportar amuletos","ขนส่งสร้อย","護送項鍊"
164,2,12,3,"Carrying Talismans on Pilgrimage","Emporte des Talismans en pélerinage","Trägt Talismane auf Pilgerfahrten","タリスマンを携えた巡礼","순례 중에 소지한 부적","Carregando Talismãs em Peregrinação","Отправляется в паломничество с талисманами","Portar talismanes en peregrinaje","พกพาสร้อยเครื่องรางระหว่างการออกแสวงบุญ","朝聖時攜帶魔符","Transporting Amulets","Transporte des Amulettes","Transportiert Amulette","アミュレットの輸送","수송 중인 목걸이","Transportando Amuletos","Перевозит амулеты","Transportar amuletos","ขนส่งสร้อย","護送項鍊"
165,4,12,1,"Imbuing Amulets with Talismanic Power","Imprègne des Amulettes de pouvoirs Talismaniques","Erfüllt Amulette mit der Macht von Talismanen","アミュレットにタリスマンパワーを注入","부적의 힘을 목걸이에 부여","Imbuindo Amuletos com Poder Talismânico","Наделяет амулеты силой талисманов","Imbuir amuletos con poder talismánico","เพิ่มพลังสร้อยด้วยพลังเครื่องราง","為護身符注入魔符之力","Imbuing Amulets with Talismanic Power","Imprègne des Amulettes de pouvoirs Talismaniques","Erfüllt Amulette mit der Macht von Talismanen","アミュレットにタリスマンパワーを注入","부적의 힘을 목걸이에 부여","Imbuindo Amuletos com Poderes Talismânicos","Наделяет амулеты силой талисманов","Imbuir amuletos con poder talismánico","เพิ่มพลังสร้อยด้วยพลังเครื่องราง","為護身符注入魔符之力"
166,4,12,2,"Imbuing Amulets with Talismanic Power","Imprègne des Amulettes de pouvoirs Talismaniques","Erfüllt Amulette mit der Macht von Talismanen","アミュレットにタリスマンパワーを注入","부적의 힘을 목걸이에 부여","Imbuindo Amuletos com Poder Talismânico","Наделяет амулеты силой талисманов","Imbuir amuletos con poder talismánico","เพิ่มพลังสร้อยด้วยพลังเครื่องราง","為護身符注入魔符之力","Imbuing Amulets with Talismanic Power","Imprègne des Amulettes de pouvoirs Talismaniques","Erfüllt Amulette mit der Macht von Talismanen","アミュレットにタリスマンパワーを注入","부적의 힘을 목걸이에 부여","Imbuindo Amuletos com Poderes Talismânicos","Наделяет амулеты силой талисманов","Imbuir amuletos con poder talismánico","เพิ่มพลังสร้อยด้วยพลังเครื่องราง","為護身符注入魔符之力"
167,4,12,3,"Imbuing Amulets with Talismanic Power","Imprègne des Amulettes de pouvoirs Talismaniques","Erfüllt Amulette mit der Macht von Talismanen","アミュレットにタリスマンパワーを注入","부적의 힘을 목걸이에 부여","Imbuindo Amuletos com Poder Talismânico","Наделяет амулеты силой талисманов","Imbuir amuletos con poder talismánico","เพิ่มพลังสร้อยด้วยพลังเครื่องราง","為護身符注入魔符之力","Imbuing Amulets with Talismanic Power","Imprègne des Amulettes de pouvoirs Talismaniques","Erfüllt Amulette mit der Macht von Talismanen","アミュレットにタリスマンパワーを注入","부적의 힘을 목걸이에 부여","Imbuindo Amuletos com Poderes Talismânicos","Наделяет амулеты силой талисманов","Imbuir amuletos con poder talismánico","เพิ่มพลังสร้อยด้วยพลังเครื่องราง","為護身符注入魔符之力"
168,3,3,1,"Hunting for Harbinger Scarabs","Cherche des Scarabées de Précurseur","Sucht nach Vorboten-Skarabäen","ハービンジャースカラベ狩り","사냥한 선구자 갑충석","Caçando Escaravelhos de Emissários","Охотится на скарабеев Предвестников","Cazar escarabajos de heraldo","ตามล่าหาสคารับฮาร์บินเจอร์","獵捕神諭聖甲蟲","Hunting for Harbinger Scarabs","Cherche des Scarabées de Précurseur","Sucht nach Vorboten-Skarabäen","ハービンジャースカラベ狩り","사냥한 선구자 갑충석","Caçando Escaravelhos de Emissários","Охотится на скарабеев Предвестников","Cazar escarabajos de heraldo","ตามล่าหาสคารับฮาร์บินเจอร์","獵捕神諭聖甲蟲"
169,3,3,2,"Hunting for Harbinger Scarabs","Cherche des Scarabées de Précurseur","Sucht nach Vorboten-Skarabäen","ハービンジャースカラベ狩り","사냥한 선구자 갑충석","Caçando Escaravelhos de Emissários","Охотится на скарабеев Предвестников","Cazar escarabajos de heraldo","ตามล่าหาสคารับฮาร์บินเจอร์","獵捕神諭聖甲蟲","Hunting for Harbinger Scarabs","Cherche des Scarabées de Précurseur","Sucht nach Vorboten-Skarabäen","ハービンジャースカラベ狩り","사냥한 선구자 갑충석","Caçando Escaravelhos de Emissários","Охотится на скарабеев Предвестников","Cazar escarabajos de heraldo","ตามล่าหาสคารับฮาร์บินเจอร์","獵捕神諭聖甲蟲"
170,3,3,3,"Hunting for Harbinger Scarabs","Cherche des Scarabées de Précurseur","Sucht nach Vorboten-Skarabäen","ハービンジャースカラベ狩り","사냥한 선구자 갑충석","Caçando Escaravelhos de Emissários","Охотится на скарабеев Предвестников","Cazar escarabajos de heraldo","ตามล่าหาสคารับฮาร์บินเจอร์","獵捕神諭聖甲蟲","Hunting for Harbinger Scarabs","Cherche des Scarabées de Précurseur","Sucht nach Vorboten-Skarabäen","ハービンジャースカラベ狩り","사냥한 선구자 갑충석","Caçando Escaravelhos de Emissários","Охотится на скарабеев Предвестников","Cazar escarabajos de heraldo","ตามล่าหาสคารับฮาร์บินเจอร์","獵捕神諭聖甲蟲"
171,1,3,1,"Enchanting Gloves","Enchante des Gants","Verzaubert Handschuhe","エンチャントされた手袋","장갑 인챈트","Encantando Luvas","Зачаровывает перчатки","Encantar guantes","ใส่เอนแชนท์ให้กับถุงมือ","附魔手套","Securing Support Gems","Met des Gemmes de soutien en sûreté","Sichert Unterstützungsgemmen","サポートジェムの確保","확보한 보조 젬","Protegendo Gemas de Suporte","Защищает камни поддержки","Asegurar gemas de asistencia","รักษาหินเสริม","保護輔助寶石"
172,1,3,2,"Enchanting Boots","Enchante des Bottes","Verzaubert Stiefel","エンチャントされた靴","장화 인챈트","Encantando Botas","Зачаровывает сапоги","Encantar botas","ใส่เอนแชนท์ให้กับรองเท้า","附魔鞋子","Securing Support Gems","Met des Gemmes de soutien en sûreté","Sichert Unterstützungsgemmen","サポートジェムの確保","확보한 보조 젬","Protegendo Gemas de Suporte","Защищает камни поддержки","Asegurar gemas de asistencia","รักษาหินเสริม","保護輔助寶石"
173,1,3,3,"Enchanting Helmets","Enchante des Casques","Verzaubert Helme","エンチャントされた兜","투구 인챈트","Encantando Elmos","Зачаровывает шлемы","Encantar cascos","ใส่เอนแชนท์ให้กับหมวก","附魔頭盔","Securing Support Gems","Met des Gemmes de soutien en sûreté","Sichert Unterstützungsgemmen","サポートジェムの確保","확보한 보조 젬","Protegendo Gemas de Suporte","Защищает камни поддержки","Asegurar gemas de asistencia","รักษาหินเสริม","保護輔助寶石"
174,2,3,1,"Creating Timed Item Traps (Careful!)","Élabore des Pièges minutés\r\n(prudence !)","Stellt zeitgesteuerte Gegenstandsfallen (Vorsicht!)","時限トラップアイテムの作成（注意！）","시간 제한 선택 아이템 생성 (신중하게!)","Criando Armadilhas de Itens Temporizadas (Cuidado!)","Создает ловушки с предметами и таймером (осторожно!)","Crear trampas temporizadas (¡Cuidado!)","สร้างกับดักไอเทมจับเวลา (ระวังด้วย!)","製造定時陷阱（小心！）","Transporting Skill Gems","Transporte des Gemmes d'aptitude","Transportiert Fertigkeitengemmen","スキルジェムの輸送","수송 중인 스킬 젬","Transportando Gemas de Habilidades","Перевозит камни умений","Transportar gemas de asistencia","ขนส่งหินสกิล","護送技能寶石"
175,2,3,2,"Creating Timed Item Traps (Careful!)","Élabore des Pièges minutés\r\n(prudence !)","Stellt zeitgesteuerte Gegenstandsfallen (Vorsicht!)","時限トラップアイテムの作成（注意！）","시간 제한 선택 아이템 생성 (신중하게!)","Criando Armadilhas de Itens Temporizadas (Cuidado!)","Создает ловушки с предметами и таймером (осторожно!)","Crear trampas temporizadas (¡Cuidado!)","สร้างกับดักไอเทมจับเวลา (ระวังด้วย!)","製造定時陷阱（小心！）","Transporting Skill Gems","Transporte des Gemmes d'aptitude","Transportiert Fertigkeitengemmen","スキルジェムの輸送","수송 중인 스킬 젬","Transportando Gemas de Habilidades","Перевозит камни умений","Transportar gemas de asistencia","ขนส่งหินสกิล","護送技能寶石"
176,2,3,3,"Creating Timed Item Traps (Careful!)","Élabore des Pièges minutés\r\n(prudence !)","Stellt zeitgesteuerte Gegenstandsfallen (Vorsicht!)","時限トラップアイテムの作成（注意！）","시간 제한 선택 아이템 생성 (신중하게!)","Criando Armadilhas de Itens Temporizadas (Cuidado!)","Создает ловушки с предметами и таймером (осторожно!)","Crear trampas temporizadas (¡Cuidado!)","สร้างกับดักไอเทมจับเวลา (ระวังด้วย!)","製造定時陷阱（小心！）","Transporting Skill Gems","Transporte des Gemmes d'aptitude","Transportiert Fertigkeitengemmen","スキルジェムの輸送","수송 중인 스킬 젬","Transportando Gemas de Habilidades","Перевозит камни умений","Transportar gemas de asistencia","ขนส่งหินสกิล","護送技能寶石"
177,4,3,1,"Exposing Gems to Combat","Met des Gemmes à l'épreuve du combat","Unterzieht Gemmen einem Testlauf","ジェムに戦闘を経験させる","젬을 전투에 노출","Expondo Gemas ao Combate","Наделяет камни боевым опытом","Exponer gemas al combate","นำหินไปเผชิญกับการต่อสู้","展露寶石至戰鬥","Exposing Gems to Combat","Met des Gemmes à l'épreuve du combat","Unterzieht Gemmen einem Testlauf","ジェムに戦闘を経験させる","젬을 전투에 노출","Expondo Gemas ao Combate","Наделяет камни боевым опытом","Exponer gemas al combate","นำหินไปเผชิญกับการต่อสู้","展露寶石至戰鬥"
178,4,3,2,"Exposing Gems to Combat","Met des Gemmes à l'épreuve du combat","Unterzieht Gemmen einem Testlauf","ジェムに戦闘を経験させる","젬을 전투에 노출","Expondo Gemas ao Combate","Наделяет камни боевым опытом","Exponer gemas al combate","นำหินไปเผชิญกับการต่อสู้","展露寶石至戰鬥","Exposing Gems to Combat","Met des Gemmes à l'épreuve du combat","Unterzieht Gemmen einem Testlauf","ジェムに戦闘を経験させる","젬을 전투에 노출","Expondo Gemas ao Combate","Наделяет камни боевым опытом","Exponer gemas al combate","นำหินไปเผชิญกับการต่อสู้","展露寶石至戰鬥"
179,4,3,3,"Exposing Gems to Combat","Met des Gemmes à l'épreuve du combat","Unterzieht Gemmen einem Testlauf","ジェムに戦闘を経験させる","젬을 전투에 노출","Expondo Gemas ao Combate","Наделяет камни боевым опытом","Exponer gemas al combate","นำหินไปเผชิญกับการต่อสู้","展露寶石至戰鬥","Exposing Gems to Combat","Met des Gemmes à l'épreuve du combat","Unterzieht Gemmen einem Testlauf","ジェムに戦闘を経験させる","젬을 전투에 노출","Expondo Gemas ao Combate","Наделяет камни боевым опытом","Exponer gemas al combate","นำหินไปเผชิญกับการต่อสู้","展露寶石至戰鬥"
180,3,4,1,"Selectively Stealing Legion Scarabs","Sélectionne des Scarabées de Légion avant de s'en emparer","Stiehlt erlesene Legion-Skarabäen","リージョンスカラベを選択的に盗む","신중하게 훔친 군단 갑충석","Roubando Seletivamente Escaravelhos Legion","Избирательно ворует скарабеев Легиона","Robar selectivamente escarabajos de Legion","เลือกขโมยสคารับกองพัน","選擇性竊取戰亂聖甲蟲","Selectively Stealing Legion Scarabs","Sélectionne des Scarabées de Légion avant de s'en emparer","Stiehlt erlesene Legion-Skarabäen","リージョンスカラベを選択的に盗む","신중하게 훔친 군단 갑충석","Roubando Seletivamente Escaravelhos de Legiões","Избирательно ворует скарабеев Легиона","Robar selectivamente escarabajos de Legion","เลือกขโมยสคารับกองพัน","選擇性竊取戰亂聖甲蟲"
181,3,4,2,"Selectively Stealing Legion Scarabs","Sélectionne des Scarabées de Légion avant de s'en emparer","Stiehlt erlesene Legion-Skarabäen","リージョンスカラベを選択的に盗む","신중하게 훔친 군단 갑충석","Roubando Seletivamente Escaravelhos Legion","Избирательно ворует скарабеев Легиона","Robar selectivamente escarabajos de Legion","เลือกขโมยสคารับกองพัน","選擇性竊取戰亂聖甲蟲","Selectively Stealing Legion Scarabs","Sélectionne des Scarabées de Légion avant de s'en emparer","Stiehlt erlesene Legion-Skarabäen","リージョンスカラベを選択的に盗む","신중하게 훔친 군단 갑충석","Roubando Seletivamente Escaravelhos de Legiões","Избирательно ворует скарабеев Легиона","Robar selectivamente escarabajos de Legion","เลือกขโมยสคารับกองพัน","選擇性竊取戰亂聖甲蟲"
182,3,4,3,"Selectively Stealing Legion Scarabs","Sélectionne des Scarabées de Légion avant de s'en emparer","Stiehlt erlesene Legion-Skarabäen","リージョンスカラベを選択的に盗む","신중하게 훔친 군단 갑충석","Roubando Seletivamente Escaravelhos Legion","Избирательно ворует скарабеев Легиона","Robar selectivamente escarabajos de Legion","เลือกขโมยสคารับกองพัน","選擇性竊取戰亂聖甲蟲","Selectively Stealing Legion Scarabs","Sélectionne des Scarabées de Légion avant de s'en emparer","Stiehlt erlesene Legion-Skarabäen","リージョンスカラベを選択的に盗む","신중하게 훔친 군단 갑충석","Roubando Seletivamente Escaravelhos de Legiões","Избирательно ворует скарабеев Легиона","Robar selectivamente escarabajos de Legion","เลือกขโมยสคารับกองพัน","選擇性竊取戰亂聖甲蟲"
183,1,4,1,"Patrolling Legion Cache","Monte la garde devant une cache de Légion","Bewacht Legion-Truhen","リージョンキャッシュの巡回","순찰하는 군단 은닉함","Patrulhando Provisões Legion","Патрулирует схрон Легиона","Patrullar tesoros de Legion","ลาดตระเวนตามคลังกองพัน","巡守戰亂貯藏箱","Smuggling Weapons (Trapped Chests!)","Fait du trafic d'Armes (dans des coffres piégés !)","Schmuggelt Waffen (Truhen mit Fallen!)","武器の密輸（トラップチェスト！）","밀수한 무기 (덫 상자)","Contrabandeando Armas (Baús Trancados!)","Тайно провозит оружие (ловушки в сундуках!)","Traficar con armas (¡Cofres atrapados!)","ลอบขนอาวุธ (หีบติดกับดัก!)","走私武器（陷阱寶箱！）"
184,1,4,2,"Patrolling Legion Cache","Monte la garde devant une cache de Légion","Bewacht Legion-Truhen","リージョンキャッシュの巡回","순찰하는 군단 은닉함","Patrulhando Provisões Legion","Патрулирует схрон Легиона","Patrullar tesoros de Legion","ลาดตระเวนตามคลังกองพัน","巡守戰亂貯藏箱","Smuggling Weapons (Trapped Chests!)","Fait du trafic d'Armes (dans des coffres piégés !)","Schmuggelt Waffen (Truhen mit Fallen!)","武器の密輸（トラップチェスト！）","밀수한 무기 (덫 상자)","Contrabandeando Armas (Baús Trancados!)","Тайно провозит оружие (ловушки в сундуках!)","Traficar con armas (¡Cofres atrapados!)","ลอบขนอาวุธ (หีบติดกับดัก!)","走私武器（陷阱寶箱！）"
185,1,4,3,"Patrolling Legion Cache","Monte la garde devant une cache de Légion","Bewacht Legion-Truhen","リージョンキャッシュの巡回","순찰하는 군단 은닉함","Patrulhando Provisões Legion","Патрулирует схрон Легиона","Patrullar tesoros de Legion","ลาดตระเวนตามคลังกองพัน","巡守戰亂貯藏箱","Smuggling Weapons (Trapped Chests!)","Fait du trafic d'Armes (dans des coffres piégés !)","Schmuggelt Waffen (Truhen mit Fallen!)","武器の密輸（トラップチェスト！）","밀수한 무기 (덫 상자)","Contrabandeando Armas (Baús Trancados!)","Тайно провозит оружие (ловушки в сундуках!)","Traficar con armas (¡Cofres atrapados!)","ลอบขนอาวุธ (หีบติดกับดัก!)","走私武器（陷阱寶箱！）"
186,2,4,1,"Relocating Timeless Splinters","Transfère des Esquilles intemporelles","Verlagert immerwährende Splitter","時知らずの破片の再配置","무궁한 파편 재배치","Realocando Fragmentos Atemporais","Перемещает вневременные осколки","Reubicar fragmentos atemporales","เคลื่อนย้ายชิ้นส่วนเหนือกาลเวลา","重新定位永恆裂片","Transporting Weapons","Transporte des Armes","Transportiert Waffen","武器の輸送","수송 중인 무기","Transportando Armas","Перевозит оружие","Transportar armas","ขนส่งอาวุธ","護送武器"
187,2,4,2,"Relocating Timeless Splinters","Transfère des Esquilles intemporelles","Verlagert immerwährende Splitter","時知らずの破片の再配置","무궁한 파편 재배치","Realocando Fragmentos Atemporais","Перемещает вневременные осколки","Reubicar fragmentos atemporales","เคลื่อนย้ายชิ้นส่วนเหนือกาลเวลา","重新定位永恆裂片","Transporting Weapons","Transporte des Armes","Transportiert Waffen","武器の輸送","수송 중인 무기","Transportando Armas","Перевозит оружие","Transportar armas","ขนส่งอาวุธ","護送武器"
188,2,4,3,"Relocating Timeless Splinters","Transfère des Esquilles intemporelles","Verlagert immerwährende Splitter","時知らずの破片の再配置","무궁한 파편 재배치","Realocando Fragmentos Atemporais","Перемещает вневременные осколки","Reubicar fragmentos atemporales","เคลื่อนย้ายชิ้นส่วนเหนือกาลเวลา","重新定位永恆裂片","Transporting Weapons","Transporte des Armes","Transportiert Waffen","武器の輸送","수송 중인 무기","Transportando Armas","Перевозит оружие","Transportar armas","ขนส่งอาวุธ","護送武器"
189,4,4,1,"Stashing Incubators","Planque des Incubateurs","Bewahrt Inkubatoren auf","インキュベーターの隠匿","숨겨둔 인큐베이터","Acumulando Incubadores","Хранит инкубаторы","Almacenar incubadoras","เก็บตัวบ่มฟัก","儲藏培育器","Guarding Personal Weaponsmithing Equipment","Garde son Équipement personnel de Forgeron","Bewacht Schmiedeausrüstung","個人武器鍛冶道具の護衛","수호받는 사적인 무기 단조 장비","Protegendo Equipamentos de Ataque Pessoais","Сопровождает личное оружейное оборудование","Custodiar equipamientos personales de herrería","เฝ้าอุปกรณ์ทำอาวุธส่วนตัว","守護私人武器裝備"
190,4,4,2,"Stashing Incubators","Planque des Incubateurs","Bewahrt Inkubatoren auf","インキュベーターの隠匿","숨겨둔 인큐베이터","Acumulando Incubadores","Хранит инкубаторы","Almacenar incubadoras","เก็บตัวบ่มฟัก","儲藏培育器","Guarding Personal Weaponsmithing Equipment","Garde son Équipement personnel de Forgeron","Bewacht Schmiedeausrüstung","個人武器鍛冶道具の護衛","수호받는 사적인 무기 단조 장비","Protegendo Equipamentos de Ataque Pessoais","Сопровождает личное оружейное оборудование","Custodiar equipamientos personales de herrería","เฝ้าอุปกรณ์ทำอาวุธส่วนตัว","守護私人武器裝備"
191,4,4,3,"Stashing Incubators","Planque des Incubateurs","Bewahrt Inkubatoren auf","インキュベーターの隠匿","숨겨둔 인큐베이터","Acumulando Incubadores","Хранит инкубаторы","Almacenar incubadoras","เก็บตัวบ่มฟัก","儲藏培育器","Guarding Personal Weaponsmithing Equipment","Garde son Équipement personnel de Forgeron","Bewacht Schmiedeausrüstung","個人武器鍛冶道具の護衛","수호받는 사적인 무기 단조 장비","Protegendo Equipamentos de Ataque Pessoais","Сопровождает личное оружейное оборудование","Custodiar equipamientos personales de herrería","เฝ้าอุปกรณ์ทำอาวุธส่วนตัว","守護私人武器裝備"
192,3,5,1,"Thieving Shaper Scarabs","Subtilise des Scarabées du Façonneur","Stiehlt Schöpfer-Skarabäen","シェイパースカラベ泥棒","도둑질한 쉐이퍼 갑충석","Roubando Escaravelhos do Criador","Крадет скарабеев Создателя","Hurtar escarabajos del Creador","ลักขโมยสคารับเชปเปอร์","偷竊塑者聖甲蟲","Thieving Shaper Scarabs","Subtilise des Scarabées du Façonneur","Stiehlt Schöpfer-Skarabäen","シェイパースカラベ泥棒","도둑질한 쉐이퍼 갑충석","Surrupiando Escaravelhos do Criador","Крадет скарабеев Создателя","Hurtar escarabajos del Creador","ลักขโมยสคารับเชปเปอร์","偷竊塑者聖甲蟲"
193,3,5,2,"Thieving Shaper Scarabs","Subtilise des Scarabées du Façonneur","Stiehlt Schöpfer-Skarabäen","シェイパースカラベ泥棒","도둑질한 쉐이퍼 갑충석","Roubando Escaravelhos do Criador","Крадет скарабеев Создателя","Hurtar escarabajos del Creador","ลักขโมยสคารับเชปเปอร์","偷竊塑者聖甲蟲","Thieving Shaper Scarabs","Subtilise des Scarabées du Façonneur","Stiehlt Schöpfer-Skarabäen","シェイパースカラベ泥棒","도둑질한 쉐이퍼 갑충석","Surrupiando Escaravelhos do Criador","Крадет скарабеев Создателя","Hurtar escarabajos del Creador","ลักขโมยสคารับเชปเปอร์","偷竊塑者聖甲蟲"
194,3,5,3,"Thieving Shaper Scarabs","Subtilise des Scarabées du Façonneur","Stiehlt Schöpfer-Skarabäen","シェイパースカラベ泥棒","도둑질한 쉐이퍼 갑충석","Roubando Escaravelhos do Criador","Крадет скарабеев Создателя","Hurtar escarabajos del Creador","ลักขโมยสคารับเชปเปอร์","偷竊塑者聖甲蟲","Thieving Shaper Scarabs","Subtilise des Scarabées du Façonneur","Stiehlt Schöpfer-Skarabäen","シェイパースカラベ泥棒","도둑질한 쉐이퍼 갑충석","Surrupiando Escaravelhos do Criador","Крадет скарабеев Создателя","Hurtar escarabajos del Creador","ลักขโมยสคารับเชปเปอร์","偷竊塑者聖甲蟲"
195,1,5,1,"Stowing Socket-Modifying Orbs","Range des Orbes altérant les Châsses","Verstaut fassungsbeeinflussende Sphären","ソケット改変オーブの収納","선적한 홈 개조 오브","Arrumando os Orbes Modificadores de Encaixes","Складирует сферы, изменяющие гнезда","Almacenar orbes que modifican engarces","จัดเก็บ Orb เปลี่ยนแปลงรู","收藏調整插槽寶玉","Testing Item Socket Limits","Teste les limites de châsses des Objets","Testet Gegenstandsfassungen","アイテムのソケットの限界試験","아이템 홈 한도 테스트","Testando o Limite dos Encaixes dos Itens","Испытывает пределы количества гнезд на предмете","Poner a prueba los límites de los engarces de objetos","ทดสอบขีดจำกัดรูของไอเทม","測試物品插槽上限"
196,1,5,2,"Stowing Socket-Modifying Orbs","Range des Orbes altérant les Châsses","Verstaut fassungsbeeinflussende Sphären","ソケット改変オーブの収納","선적한 홈 개조 오브","Arrumando os Orbes Modificadores de Encaixes","Складирует сферы, изменяющие гнезда","Almacenar orbes que modifican engarces","จัดเก็บ Orb เปลี่ยนแปลงรู","收藏調整插槽寶玉","Testing Item Socket Limits","Teste les limites de châsses des Objets","Testet Gegenstandsfassungen","アイテムのソケットの限界試験","아이템 홈 한도 테스트","Testando o Limite dos Encaixes dos Itens","Испытывает пределы количества гнезд на предмете","Poner a prueba los límites de los engarces de objetos","ทดสอบขีดจำกัดรูของไอเทม","測試物品插槽上限"
197,1,5,3,"Stowing Socket-Modifying Orbs","Range des Orbes altérant les Châsses","Verstaut fassungsbeeinflussende Sphären","ソケット改変オーブの収納","선적한 홈 개조 오브","Arrumando os Orbes Modificadores de Encaixes","Складирует сферы, изменяющие гнезда","Almacenar orbes que modifican engarces","จัดเก็บ Orb เปลี่ยนแปลงรู","收藏調整插槽寶玉","Testing Item Socket Limits","Teste les limites de châsses des Objets","Testet Gegenstandsfassungen","アイテムのソケットの限界試験","아이템 홈 한도 테스트","Testando o Limite dos Encaixes dos Itens","Испытывает пределы количества гнезд на предмете","Poner a prueba los límites de los engarces de objetos","ทดสอบขีดจำกัดรูของไอเทม","測試物品插槽上限"
198,2,5,1,"Smuggling High-quality Gems","Fait du trafic de Gemmes de haute Qualité","Schmuggelt hochwertige Gemmen","高品質ジェムの密輸","밀수한 상위 퀄리티 젬","Contrabandeando Gemas de Alta Qualidade","Незаконно перевозит высококачественные камни","Traficar con gemas de alta calidad","ลอบขนหินคุณภาพสูง","走私高品質寶石","Fabricating Unusual Socket Colours","Fabrique des couleurs de châsses inhabituelles","Fertigt ungewöhliche Fassungsfarben an","見慣れない色のソケットを製作","특이한 홈 색상 제작","Fabricando Cores de Encaixes Incomuns","Подделывает неестественные цвета гнезд","Fabricar colores de engarces inusuales","จัดทำสีรูประหลาด","製造罕見插槽顏色"
199,2,5,2,"Smuggling High-quality Gems","Fait du trafic de Gemmes de haute Qualité","Schmuggelt hochwertige Gemmen","高品質ジェムの密輸","밀수한 상위 퀄리티 젬","Contrabandeando Gemas de Alta Qualidade","Незаконно перевозит высококачественные камни","Traficar con gemas de alta calidad","ลอบขนหินคุณภาพสูง","走私高品質寶石","Fabricating Unusual Socket Colours","Fabrique des couleurs de châsses inhabituelles","Fertigt ungewöhliche Fassungsfarben an","見慣れない色のソケットを製作","특이한 홈 색상 제작","Fabricando Cores de Encaixes Incomuns","Подделывает неестественные цвета гнезд","Fabricar colores de engarces inusuales","จัดทำสีรูประหลาด","製造罕見插槽顏色"
