"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SpawnWeight","WorldAreasKey","Image","AchievementItemsKeys","[i32]","MinDepth","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32","[i32]","[i32]","[i32]","[i32]"
211,"CavernsSkeletonArmour","Musty Grave","Tombe détériorée","Muffiges Grab","かび臭い墓","곰팡이 슨 묘지","v","Заплесневелая могила","Tumba mohosa","สุสานเหม็นอับ","霉菌古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
212,"CavernsSkeletonWeapon","Musty Grave","Tombe détériorée","Muffiges Grab","かび臭い墓","곰팡이 슨 묘지","Sepúlcro Mofado","Заплесневелая могила","Tumba mohosa","สุสานเหม็นอับ","霉菌古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
213,"CavernsSkeletonTrinkets","Musty Grave","Tombe détériorée","Muffiges Grab","かび臭い墓","곰팡이 슨 묘지","Sepúlcro Mofado","Заплесневелая могила","Tumba mohosa","สุสานเหม็นอับ","霉菌古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
214,"CavernsSkeletonGems","Musty Grave","Tombe détériorée","Muffiges Grab","かび臭い墓","곰팡이 슨 묘지","Sepúlcro Mofado","Заплесневелая могила","Tumba mohosa","สุสานเหม็นอับ","霉菌古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems","Présence de Gemmes","Enthält Gemmen","ジェムがある","젬 포함","Contém Gemas","Содержит камни","Contiene gemas","มีหิน","包含寶石",0,[],[0],[0],[20]
215,"CavernsSkeletonCurrency","Musty Grave","Tombe détériorée","Muffiges Grab","かび臭い墓","곰팡이 슨 묘지","Sepúlcro Mofado","Заплесневелая могила","Tumba mohosa","สุสานเหม็นอับ","霉菌古墓",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
216,"CavernsSkeletonMaps","Musty Grave","Tombe détériorée","Muffiges Grab","かび臭い墓","곰팡이 슨 묘지","Sepúlcro Mofado","Заплесневелая могила","Tumba mohosa","สุสานเหม็นอับ","霉菌古墓",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps","Présence de Cartes","Enthält Karten","マップがある","지도 포함","Contém Mapas","Содержит камни","Contiene mapas","มีแผนที่","包含地圖",0,[0],[0],[0],[25]
217,"CavernsDropbearsGeneric","Growling Den","Antre rugissant","Brummende Höhle","唸る巣穴","으르렁거리는 굴","Toca Uivante","Шумная берлога","Guarida rugiente","ถ้ำสัตว์คำราม","咆嘯獸巢",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
218,"CavernsDropbearsArmour","Growling Den","Antre rugissant","Brummende Höhle","唸る巣穴","으르렁거리는 굴","Toca Uivante","Шумная берлога","Guarida rugiente","ถ้ำสัตว์คำราม","咆嘯獸巢",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
219,"CavernsDropbearsWeapon","Growling Den","Antre rugissant","Brummende Höhle","唸る巣穴","으르렁거리는 굴","Toca Uivante","Шумная берлога","Guarida rugiente","ถ้ำสัตว์คำราม","咆嘯獸巢",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
220,"CavernsDropbearsTrinkets","Growling Den","Antre rugissant","Brummende Höhle","唸る巣穴","으르렁거리는 굴","Toca Uivante","Шумная берлога","Guarida rugiente","ถ้ำสัตว์คำราม","咆嘯獸巢",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
221,"CavernsDropbearsCurrency","Growling Den","Antre rugissant","Brummende Höhle","唸る巣穴","으르렁거리는 굴","Toca Uivante","Шумная берлога","Guarida rugiente","ถ้ำสัตว์คำราม","咆嘯獸巢",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
222,"CavernsDevourersGeneric","Infested Warren","Terrier infesté","Befallener Bau","害虫の巣穴","감염된 땅굴","Túneis Infestados","Заражённый заповедник","Túneles infestados","โพรงสัตว์รังควาญ","寄生獸居",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
223,"CavernsDevourersArmour","Infested Warren","Terrier infesté","Befallener Bau","害虫の巣穴","감염된 땅굴","Túneis Infestados","Заражённый заповедник","Túneles infestados","โพรงสัตว์รังควาญ","寄生獸居",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
224,"CavernsDevourersWeapon","Infested Warren","Terrier infesté","Befallener Bau","害虫の巣穴","감염된 땅굴","Túneis Infestados","Заражённый заповедник","Túneles infestados","โพรงสัตว์รังควาญ","寄生獸居",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
225,"CavernsDevourersTrinkets","Infested Warren","Terrier infesté","Befallener Bau","害虫の巣穴","감염된 땅굴","Túneis Infestados","Заражённый заповедник","Túneles infestados","โพรงสัตว์รังควาญ","寄生獸居",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
226,"CavernsDevourersCurrency","Infested Warren","Terrier infesté","Befallener Bau","害虫の巣穴","감염된 땅굴","Túneis Infestados","Заражённый заповедник","Túneles infestados","โพรงสัตว์รังควาญ","寄生獸居",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
227,"AbyssalDepthsGhostGeneric","Haunted Remains","Restes hantés","Verfluchte Überreste","憑りつかれた残骸","으스스한 유적","Restos Assombrados","Призрачные останки","Restos embrujados","ซากเฮี้ยน","幽魂遺跡",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[42],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[0],[0],[0],[200]
228,"AbyssalDepthsGhostArmour","Haunted Remains","Restes hantés","Verfluchte Überreste","憑りつかれた残骸","으스스한 유적","Restos Assombrados","Призрачные останки","Restos embrujados","ซากเฮี้ยน","幽魂遺跡",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[42],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[0],[0],[0],[200]
229,"AbyssalDepthsGhostWeapons","Haunted Remains","Restes hantés","Verfluchte Überreste","憑りつかれた残骸","으스스한 유적","Restos Assombrados","Призрачные останки","Restos embrujados","ซากเฮี้ยน","幽魂遺跡",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[42],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[0],[0],[0],[200]
230,"AbyssalDepthsGhostTrinkets","Haunted Remains","Restes hantés","Verfluchte Überreste","憑りつかれた残骸","으스스한 유적","Restos Assombrados","Призрачные останки","Restos embrujados","ซากเฮี้ยน","幽魂遺跡",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[42],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[0],[0],[0],[20]
231,"AbyssalDepthsGhostCurrency","Haunted Remains","Restes hantés","Verfluchte Überreste","憑りつかれた残骸","으스스한 유적","Restos Assombrados","Призрачные останки","Restos embrujados","ซากเฮี้ยน","幽魂遺跡",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[42],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[0],[0],[0],[20]
232,"AbyssalDepthsGhostCurse","Haunted Remains","Restes hantés","Verfluchte Überreste","憑りつかれた残骸","으스스한 유적","Restos Assombrados","Призрачные останки","Restos embrujados","ซากเฮี้ยน","幽魂遺跡",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Curse",[],[2],[50],"Contains Mana or Curse Items","Présence d'Objets de Mana ou de Malédiction","Enthält Mana- oder Fluch-Gegenstände","マナまたは呪いアイテムがある","마나 혹은 저주 아이템 포함","Contém Itens de Mana ou Maldição","Содержит предметы маны или проклятий","Contiene objetos de maná o maldiciones","มีไอเทมมานาหรือคำสาป","包含魔力或詛咒物品",0,[0],[0],[0],[100]
233,"AbyssalDepthsAbyss","Haunted Remains","Restes hantés","Verfluchte Überreste","憑りつかれた残骸","으스스한 유적","Restos Assombrados","Призрачные останки","Restos embrujados","ซากเฮี้ยน","幽魂遺跡",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AbyssEncounter",[],[2],[50],"Contains Abyss Items","Présence d'Objets abyssaux","Enthält Abgrund-Gegenstände","アビスアイテムがある","심연 아이템 포함","Contém Itens Abissais","Содержит предметы Бездны","Contiene objetos de abismo","มีไอเทมอะบิส","包含深淵物品",0,[0],[0],[0],[100]
234,"AbyssalDepthsCampsiteGeneric","Ravaged Camp","Camp dévasté","Verwüstetes Lager","荒廃したキャンプ","황폐한 야영지","Acampamento Devastado","Разорённый лагерь","Campamento devastado","ค่ายที่ถูกล้างผลาญ","殘摧營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
235,"AbyssalDepthsCampsiteArmour","Ravaged Camp","Camp dévasté","Verwüstetes Lager","荒廃したキャンプ","황폐한 야영지","Acampamento Devastado","Разорённый лагерь","Campamento devastado","ค่ายที่ถูกล้างผลาญ","殘摧營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
236,"AbyssalDepthsCampsiteWeapon","Ravaged Camp","Camp dévasté","Verwüstetes Lager","荒廃したキャンプ","황폐한 야영지","Acampamento Devastado","Разорённый лагерь","Campamento devastado","ค่ายที่ถูกล้างผลาญ","殘摧營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
237,"AbyssalDepthsCampsiteTrinkets","Ravaged Camp","Camp dévasté","Verwüstetes Lager","荒廃したキャンプ","황폐한 야영지","Acampamento Devastado","Разорённый лагерь","Campamento devastado","ค่ายที่ถูกล้างผลาญ","殘摧營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Itens","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
238,"AbyssalDepthsCampsiteCurrency","Ravaged Camp","Camp dévasté","Verwüstetes Lager","荒廃したキャンプ","황폐한 야영지","Acampamento Devastado","Разорённый лагерь","Campamento devastado","ค่ายที่ถูกล้างผลาญ","殘摧營地",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
239,"AbyssalDepthsCampsiteMaps","Ravaged Camp","Camp dévasté","Verwüstetes Lager","荒廃したキャンプ","황폐한 야영지","Acampamento Devastado","Разорённый лагерь","Campamento devastado","ค่ายที่ถูกล้างผลาญ","殘摧營地",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps","Présence de Cartes","Enthält Karten","マップがある","지도 포함","Contém Mapas","Содержит карты","Contiene mapas","มีแผนที่","包含地圖",0,[0],[0],[0],[25]
240,"AbyssalDepthsNecromancerGeneric","Necromancer's Excavation","Excavation de nécromancien","Grabungsstätte des Nekromanten","ネクロマンサーの採掘場","네크로맨서의 발굴물","Escavação do Necromante","Яма некроманта","Excavación del Nigromante","สถานขุดค้นของหมอผี","死靈師的挖掘場",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
241,"AbyssalDepthsNecromancerTrinkets","Necromancer's Excavation","Excavation de nécromancien","Grabungsstätte des Nekromanten","ネクロマンサーの採掘場","네크로맨서의 발굴물","Escavação do Necromante","Яма некроманта","Excavación del Nigromante","สถานขุดค้นของหมอผี","死靈師的挖掘場",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Itens","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
242,"AbyssalDepthsNecromancerCurrency","Necromancer's Excavation","Excavation de nécromancien","Grabungsstätte des Nekromanten","ネクロマンサーの採掘場","네크로맨서의 발굴물","Escavação do Necromante","Яма некроманта","Excavación del Nigromante","สถานขุดค้นของหมอผี","死靈師的挖掘場",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
243,"AbyssalDepthsNecromancerMinions","Necromancer's Excavation","Excavation de nécromancien","Grabungsstätte des Nekromanten","ネクロマンサーの採掘場","네크로맨서의 발굴물","Escavação do Necromante","Яма некроманта","Excavación del Nigromante","สถานขุดค้นของหมอผี","死靈師的挖掘場",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Minion",[],[2],[50],"Contains Minion or Aura Items","Présence d'Objets de Créatures ou d'Auras","Enthält Kreaturen- oder Auren-Gegenstände","ミニオンまたはオーラアイテムがある","소환수 혹은 오라 아이템 포함","Contém Itens de Lacaios ou Aura","Содержит предметы приспешников или аур","Contiene objetos de esbirros o auras","มีไอเทมมิเนียนหรือออร่า","包含召喚物或光環物品",0,[0],[0],[0],[100]
244,"AbyssalDepthsCultists","Unspeakable Shrine","Sanctuaire indicible","Unsäglicher Schrein","名状しがたい祠","엉망이 된 성소","Altar Indescritível","Отвратительный алтарь","Santuario innombrable","แท่นบูชาอันมิอาจเอื้อนเอ่ย","極惡神殿",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AbyssEncounter",[],[2],[50],"Contains Abyss Items","Présence d'Objets abyssaux","Enthält Abgrund-Gegenstände","アビスアイテムがある","심연 아이템 포함","Contém Itens Abissais","Содержит предметы Бездны","Contiene objetos de abismo","มีไอเทมอะบิส","包含深淵物品",0,[0],[0],[0],[100]
245,"Legion","Buried Monolith","Monolithe inhumé","Vergrabener Monolith","埋没した石柱","매장된 기둥","Monólito Enterrado","Закопанный монолит","Monolito enterrado","เสาหินที่ถูกฝัง","廢棄石陣",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Legion",[],[2],[35],"Contains a Legion Encounter","Présence de Légions","Enthält eine Legion-Begegnung","リージョンエンカウンターがある","군단 인카운터 포함","Contém um Encontro Legion","Содержит Легионы","Contiene un encuentro de Legion","มีการเผชิญหน้ากองพัน 1 แห่ง","包含一個戰亂事件",0,[0],[4],[0],[100]
