"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool","IsVirtual","MainHandAlias_StatsKey","OffHandAlias_StatsKey","bool","HASH32","BelongsActiveSkillsKey","Category","bool","bool","IsScalable","ContextFlags","[rid]"
69,"local_maximum_added_chaos_damage","",1,1,3,"Local Maximum Added Chaos Damage","Dégâts de chaos locaux supplémentaires maxi","Lokal: Maximum an zusätzlichem Chaosschaden","ローカル 追加混沌ダメージの最大値","특정 최대 추가 카오스 피해","Dano de Caos Local Máximo Adicionado","Дополнительный максимальный урон хаосом","Daño máximo local de caos agregado","ความเสียหาย เคออส สูงสุดเพิ่มเติม ของไอเทม","此物品額外最大混沌傷害","","",800,822,"",1788772063,[],"","","",1,[],[]
70,"attack_speed_+%",1,"","",1,"Attack Speed +%","+% à la Vitesse d'attaque","Angriffsgeschwindigkeit +%","アタックスピード +%","공격 속도 +%","+% de Velocidade de Ataque","Скорость атаки +%","Velocidad de ataque +%","ความเร็วในการโจมตี +%","攻擊速度 +%","","","","",1,1067510423,[],3,"","",1,[],[]
71,"local_attack_speed_+%","",1,1,1,"Local Attack Speed +%","+% à la Vitesse d'attaque locale","Lokal: Angriffsgeschwindigkeit +%","ローカル アタックスピード +%","특정 공격 속도 +%","+% de Velocidade de Ataque Local","Скорость атаки +%","Velocidad de ataque local +%","ความเร็วในการโจมตี ของไอเทม +%","此次品攻擊速度 +%","","",801,823,"",-475973045,[],"","","",1,[],[]
72,"melee_attack_speed_+%","","","",1,"Melee Attack Speed","Vitesse d'attaque en mêlée","Nahkampf-Angriffsgeschwindigkeit","近接アタックスピード","근접 공격 속도","Velocidade de Ataque Corpo a Corpo","Скорость атаки в ближнем бою","Velocidad de ataque cuerpo a cuerpo","ความเร็วในการโจมตี ประชิด","近戰攻擊速度","","","","","",392499720,[],3,"","",1,[],[]
73,"attack_speed_while_dual_wielding_+%","","","",1,"Attack Speed while Dual Wielding","Vitesse d'attaque avec deux armes","Angriffsgeschwindigkeit mit zwei Waffen","二刀流中のアタックスピード","쌍수 장착 시 공격 속도","Velocidade de Ataque com Dupla Empunhadura","Скорость атаки парным оружием","Velocidad de ataque con doble empuñadura","ความเร็วในการโจมตีขณะถือ อาวุธคู่","雙持近戰攻擊速度","","","","","",-355434507,[],3,"","",1,[],[]
74,"axe_attack_speed_+%","","","",1,"Attack Speed with Axes","Vitesse d'attaque avec les Haches","Angriffsgeschwindigkeit mit Äxten","斧のアタックスピード","도끼 공격 속도","Velocidade de Ataque com Machados","Скорость атаки топором","Velocidad de ataque con hachas","ความเร็วในการโจมตีด้วย ขวาน","斧類攻擊速度","","","","","",-179890266,[],3,"","",1,[],[]
75,"staff_attack_speed_+%","","","",1,"Attack Speed with Staves","Vitesse d'attaque avec les Bâtons","Angriffsgeschwindigkeit mit Stäben","スタッフのアタックスピード","지팡이 공격 속도","Velocidade de Ataque com Cajados","Скорость атаки посохом","Velocidad de ataque con báculos","ความเร็วในการโจมตีด้วย ไม้พลอง","杖類攻擊速度","","","","","",-519117186,[],3,"","",1,[],[]
76,"claw_attack_speed_+%","","","",1,"Attack Speed with Claws","Vitesse d'attaque avec les Griffes","Angriffsgeschwindigkeit mit Klauen","鉤爪のアタックスピード","클로 공격 속도","Velocidades de Ataque com Garras","Скорость атаки когтями","Velocidad de ataque con garras","ความเร็วในการโจมตีด้วย กรงเล็บ","爪類攻擊速度","","","","","",10516126,[],3,"","",1,[],[]
77,"dagger_attack_speed_+%","","","",1,"Attack Speed with Daggers","Vitesse d'attaque avec les Dagues","Angriffsgeschwindigkeit mit Dolchen","短剣のアタックスピード","단검 공격 속도","Velocidade de Ataque com Adagas","Скорость атаки кинжалом","Velocidad de ataque con dagas","ความเร็วในการโจมตีด้วย มีด","匕首類攻擊速度","","","","","",-56067023,[],3,"","",1,[],[]
78,"mace_attack_speed_+%","","","",1,"Attack Speed with Maces","Vitesse d'attaque avec les Masses","Angriffsgeschwindigkeit mit Streitkolben","メイスのアタックスピード","철퇴 공격 속도","Velocidade de Ataque com Maças","Скорость атаки булавой","Velocidad de ataque con mazas","ความเร็วในการโจมตีด้วย กระบอง","槌類攻擊速度","","","","","",1792355518,[],3,"","",1,[],[]
79,"bow_attack_speed_+%","","","",1,"Attack Speed with Bows","Vitesse d'attaque avec les Arcs","Angriffsgeschwindigkeit mit Bögen","弓のアタックスピード","활 공격 속도","Velocidade de Ataque com Arcos","Скорость атаки луком","Velocidad de ataque con arcos","ความเร็วในการโจมตีด้วย ธนู","弓類攻擊速度","","","","","",910131726,[],3,"","",1,[],[]
80,"sword_attack_speed_+%","","","",1,"Attack Speed with Swords","Vitesse d'attaque avec les Épées","Angriffsgeschwindigkeit mit Schwertern","剣のアタックスピード","검 공격 속도","Velocidade de Ataque com Espadas","Скорость атаки мечом","Velocidad de ataque con espadas","ความเร็วในการโจมตีด้วย ดาบ","劍類攻擊速度","","","","","",1781295952,[],3,"","",1,[],[]
81,"wand_attack_speed_+%","","","",1,"Attack Speed with Wands","Vitesse d'attaque avec les Baguettes","Angriffsgeschwindigkeit mit Zauberstäben","ワンドのアタックスピード","마법봉 공격 속도","Velocidade de Ataque com Varinhas","Скорость атаки жезлом","Velocidad de ataque con varitas","ความเร็วในการโจมตีด้วย ไม้กายสิทธิ์","法杖類攻擊速度","","","","","",-1558902215,[],3,"","",1,[],[]
82,"shield_attack_speed_+%","","","",1,"Attack Speed with Shields","Vitesse d'attaque avec les Boucliers","Angriffsgeschwindigkeit mit Schilden","盾のアタックスピード","방패 공격 속도","Velocidade de Ataque com Escudos","Скорость атаки щитом","Velocidad de ataque con escudos","ความเร็วในการโจมตีด้วย โล่","盾牌攻擊速度","","","","","",1314749611,[],"","","",1,[],[]
83,"accuracy_rating","","","",3,"Accuracy Rating","Score de Précision","Treffgenauigkeit","命中力","정확도","Precisão","Меткость","Precisión","อัตราความแม่นยำ","命中值","","","","",1,552754587,[],5,"","",1,[],[]
84,"accuracy_rating_+%",1,"","",1,"Accuracy Rating +%","+% au Score de Précision","Treffgenauigkeit +%","命中力 +%","정확도 +%","% de Precisão","Меткость +%","Precisión +%","อัตราความแม่นยำ +%","命中值 +%","","","","",1,-253919695,[],5,"","",1,[],[]
85,"accuracy_rating_while_dual_wielding_+%","","","",1,"Accuracy Rating while Dual Wielding +%","+% au Score de Précision avec deux armes","Treffgenauigkeit mit zwei Waffen","二刀流中の命中力 +%","쌍수 장착 시 정확도 +%","Precisão com Dupla Empunhadura","Меткость при парном оружии +%","Precisión con Doble Empuñadura +%","อัตราความแม่นยำขณะ ถืออาวุธคู่ +%","雙持命中值 +%","","","","","",1669799203,[],5,"","",1,[],[]
86,"axe_accuracy_rating_+%","","","",1,"Accuracy Rating with Axes","+% au Score de Précision avec les Haches","Treffgenauigkeit mit Äxten","斧の命中力","도끼 정확도","Precisão com Machados","Меткость с топором","Precisión con Hachas","อัตราความแม่นยำด้วย ขวาน","斧類命中值","","","","","",-2030619774,[],5,"","",1,[],[]
87,"staff_accuracy_rating_+%","","","",1,"Accuracy Rating with Staves","+% au Score de Précision avec les Bâtons","Treffgenauigkeit mit Stäben","スタッフの命中力","지팡이 정확도","Precisão com Cajados","Меткость с посохом","Precisión con Báculos","อัตราความแม่นยำด้วย ไม้พลอง","杖類命中值","","","","","",1527831504,[],5,"","",1,[],[]
88,"claw_accuracy_rating_+%","","","",1,"Accuracy Rating with Claws","+% au Score de Précision avec les Griffes","Treffgenauigkeit mit Klauen","鉤爪の命中力","클로 정확도","Precisão com Garras","Меткость с когтями","Precisión con Garras","อัตราความแม่นยำด้วย กรงเล็บ","爪類命中值","","","","","",-258291915,[],5,"","",1,[],[]
89,"dagger_accuracy_rating_+%","","","",1,"Accuracy Rating with Daggers","+% au Score de Précision avec les Dagues","Treffgenauigkeit mit Dolchen","短剣の命中力","단검 정확도","Precisão com Adagas","Меткость с кинжалами","Precisión con Dagas","อัตราความแม่นยำด้วย มีด","匕首類命中值","","","","","",176779968,[],5,"","",1,[],[]
90,"mace_accuracy_rating_+%","","","",1,"Accuracy Rating with Maces","+% au Score de Précision avec les Masses","Treffgenauigkeit mit Streitkolben","メイスの命中力","철퇴 정확도","Precisão com Maças","Меткость с булавами","Precisión con Mazas","อัตราความแม่นยำด้วย กระบอง","槌類命中值","","","","","",1593823747,[],5,"","",1,[],[]
91,"bow_accuracy_rating_+%","","","",1,"Accuracy Rating with Bows","+% au Score de Précision avec les Arcs","Treffgenauigkeit mit Bögen","弓の命中力","활 정확도","Precisão com Arcos","Меткость с луком","Precisión con Arcos","อัตราความแม่นยำด้วย ธนู","弓類命中值","","","","","",-224481941,[],5,"","",1,[],[]
92,"sword_accuracy_rating_+%","","","",1,"Accuracy Rating with Swords","+% au Score de Précision avec les Épées","Treffgenauigkeit mit Schwertern","剣の命中力","검 정확도","Precisão com Espadas","Меткость с мечом","Precisión con Espadas","อัตราความแม่นยำด้วย ดาบ","劍類命中值","","","","","",814552329,[],5,"","",1,[],[]
93,"wand_accuracy_rating_+%","","","",1,"Accuracy Rating with Wands","+% au Score de Précision avec les Baguettes","Treffgenauigkeit mit Zauberstäben","ワンドの命中力","마법봉 정확도","Precisão com Varinhas","Меткость с жезлом","Precisión con Varitas","อัตราความแม่นยำด้วย ไม้กายสิทธิ์","法杖類命中值","","","","","",362619878,[],5,"","",1,[],[]
94,"poison_on_critical_strike_with_dagger","","","",4,"Poisons on Critical Strike with Dagger","Empoisonne sur coup crit. avec les Dagues","Vergiftung bei kritischem Treffer mit Dolch","短剣によるクリティカルストライク時の毒","단검 치명타 시 중독","Envenena no Acerto Crítico com Adaga","Отравление при критическом ударе кинжалом","Envenena al realizar Golpes Críticos con Dagas","โอกาสสร้างสถานะ พิษ เมื่อคริติคอล ของมีด","匕首暴擊造成毒傷","","","","","",-2101553279,[],"","","","",[],[]
