"rownum","Id","i32","i32","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","CompletionsRequired","AchievementsKey","bool","bool","bool","bool"
111,"UseCurrencyFlaskQuality",1,741,"Glassblower's Bauble","Glassblower's Bauble","Kugel des Glasbläsers","Glassblower's Bauble","유리직공의 방울","Bolha do Vidreiro","Стекольная масса","Baratija de Vidrio","Glassblower's Bauble","玻璃彈珠",1,2,"",1,"",1
112,"UseCurrencyRerollSocketNumbers",1,742,"Jeweller's Orb","Jeweller's Orb","Sphäre des Goldschmieds","Jeweller's Orb","쥬얼러 오브","Orbe do Joalheiro","Сфера златокузнеца","Orbe de Joyero ","Jeweller's Orb","工匠石",1,2,"",1,"",1
113,"UseCurrencyUpgradeRandomly",1,743,"Orb of Chance","Orb of Chance","Sphäre der Möglichkeiten","Orb of Chance","기회의 오브","Orbe da Chance","Сфера удачи","Orbe de Azar","Orb of Chance","機會石",1,2,"",1,"",1
114,"UseCurrencyRerollSocketLinks",1,744,"Orb of Fusing","Orb of Fusing","Verbindungssphäre","Orb of Fusing","연결의 오브","Orbe da Fusão","Сфера соединения","Orbe de Fusión ","Orb of Fusing","鏈結石",1,2,"",1,"",1
115,"UseCurrencyConvertToNormal",1,745,"Orb of Scouring","Orb of Scouring","Sphäre der Läuterung","Orb of Scouring","정제의 오브","Orbe do Expurgo","Сфера очищения","Orbe de Purga","Orb of Scouring","重鑄石",1,2,"",1,"",1
116,"UseCurrencyUpgradeToRare",1,746,"Orb of Alchemy","Orb of Alchemy","Sphäre der Alchemie","Orb of Alchemy","연금술의 오브","Orbe da Alquimia","Сфера алхимии","Orbe de Alquimia","Orb of Alchemy","點金石",1,2,"",1,"",1
117,"UseCurrencyMapQuality",1,747,"Cartographer's Chisel","Cartographer's Chisel","Meißel des Kartographen","Cartographer's Chisel","지도제작자의 끌","Cinzel do Cartógrafo","Резец картографа","Cincel del Cartógrafo","Cartographer's Chisel","製圖釘",1,2,"",1,"",1
118,"UseCurrencyPassiveRefund",1,748,"Orb of Regret","Orb of Regret","Sphäre der Reue","Orb of Regret","후회의 오브","Orbe do Arrependimento","Сфера раскаяния","Orbe de Arrepentimiento","Orb of Regret","後悔石",1,2,"",1,"",1
119,"UseCurrencyRerollRare",1,749,"Chaos Orb","Chaos Orb","Chaossphäre","Chaos Orb","카오스 오브","Orbe do Caos","Сфера хаоса","Orbe de Caos","Chaos Orb","混沌石",1,2,"",1,"",1
120,"UseCurrencyUpgradeMagicToRare",1,750,"Regal Orb","Regal Orb","Hoheitliche Sphäre","Regal Orb","제왕의 오브","Orbe Real","Сфера царей","Orbe Regio","Regal Orb","富豪石",1,2,"",1,"",1
121,"UseCurrencyGemQuality",1,751,"Gemcutter's Prism","Gemcutter's Prism","Prisma des Gemmenschneiders","Gemcutter's Prism","세공사의 프리즘","Prisma do Lapidário","Призма камнереза","Prisma del tallador de gemas","Gemcutter's Prism","寶石匠的稜鏡",1,2,"",1,"",1
122,"UseCurrencyRerollImplicit",1,752,"Blessed Orb","Blessed Orb","Gesegnete Sphäre","Blessed Orb","축복의 오브","Orbe Abençoado","Благодатная сфера","Orbe Bendito ","Blessed Orb","祝福石",1,2,"",1,"",1
123,"UseCurrencyModValues",1,753,"Divine Orb","Divine Orb","Göttliche Sphäre","Divine Orb","신성한 오브","Orbe Divino","Божественная сфера","Orbe Divino","Divine Orb","神聖石",1,2,"",1,"",1
124,"UseCurrencyAddModToRare",1,754,"Exalted Orb","Exalted Orb","Erhabene Sphäre","Exalted Orb","엑잘티드 오브","Orbe Exaltado","Сфера возвышения","Orbe Exaltado","Exalted Orb","崇高石",1,2,"",1,"",1
125,"UseCurrencyImprintOrb",1,755,"Eternal Orb","Eternal Orb","Sphäre der Ewigkeit","Eternal Orb","영원의 오브","Orbe Eterno","Сфера вечного","Orbe Eterno","Eternal Orb","永恆寶珠",1,2,"",1,"",1
126,"60OnslaughtStrDex",1,756,"Duelist","Duelist","Duellant","Duelist","듀얼리스트","Duelista","Дуэлянт","Duelista","Duelist","決鬥者",1,3,"",1,"",1
127,"60OnslaughtStr",1,757,"Marauder","Marauder","Marodeur","Marauder","머라우더","Marauder","Дикарь","Guerrero","Marauder","野蠻人",1,3,"",1,"",1
128,"60OnslaughtDex",1,758,"Ranger","Ranger","Waldläuferin","Ranger","레인저","Caçadora","Охотница","Cazadora","Ranger","遊俠",1,3,"",1,"",1
129,"60OnslaughtDexInt",1,759,"Shadow","Shadow","Schatten","Shadow","쉐도우","Sombra","Бандит","Sombra","Shadow","暗影刺客",1,3,"",1,"",1
130,"60OnslaughtStrInt",1,760,"Templar","Templar","Templer","Templar","템플러","Templário","Жрец","Templario","Templar","聖騎士",1,3,"",1,"",1
131,"60OnslaughtInt",1,761,"Witch","Witch","Hexe","Witch","위치","Bruxa","Ведьма","Bruja","Witch","女巫",1,3,"",1,"",1
132,"RecipeCurrencyIdentificationShard",1,762,"Scroll Fragment","Scroll Fragment","Schriftrollenfragment","Scroll Fragment","주문서 조각","Fragmento de Pergaminho","Обрывок свитка","Fragmento de Pergamino","Scroll Fragment","卷軸碎片",1,4,"",1,"",1
133,"RecipeCurrencyUpgradeToMagicShard",1,763,"Transmutation Shard","Transmutation Shard","Umwandlungsscherbe","Transmutation Shard","진화의 파편","Fragmento da Transmutação","Осколок превращения","Esquirla de Transmutación ","Transmutation Shard","蛻變石碎片",1,4,"",1,"",1
134,"RecipeCurrencyRerollMagicShard",1,764,"Alteration Shard","Alteration Shard","Scherbe der Veränderung","Alteration Shard","변화의 파편","Fragmento da Alteração","Осколок перемен","Esquirla de Alteración ","Alteration Shard","改造石碎片",1,4,"",1,"",1
135,"RecipeCurrencyUpgradeToRareShard",1,765,"Alchemy Shard","Alchemy Shard","Scherbe der Alchemie","Alchemy Shard","연금술의 파편","Fragmento da Alquimia","Осколок алхимии","Esquirla de Alquimia","Alchemy Shard","點金石碎片",1,4,"",1,"",1
136,"RecipeCurrencyIdentification",1,766,"Scroll of Wisdom","Scroll of Wisdom","Identifikationsrolle","Scroll of Wisdom","감정 주문서","Pergaminho de Sabedoria","Свиток мудрости","Pergamino de Sabiduría ","Scroll of Wisdom","知識卷軸",1,4,"",1,"",1
137,"RecipeCurrencyAddModToMagic",1,767,"Orb of Augmentation","Orb of Augmentation","Aufwertungssphäre","Orb of Augmentation","확장의 오브","Orbe da Ampliação","Сфера усиления","Orbe de Aumento","Orb of Augmentation","增幅石",1,4,"",1,"",1
138,"RecipeCurrencyArmourQuality",1,768,"Armourer's Scrap","Armourer's Scrap","Plattnerstück","Armourer's Scrap","방어구 장인의 고철","Sucata do Armeiro","Деталь доспеха","Restos de Armaduras","Armourer's Scrap","護甲片",1,4,"",1,"",1
139,"RecipeCurrencyWeaponQuality",1,769,"Blacksmith's Whetstone","Blacksmith's Whetstone","Schleifstein","Blacksmith's Whetstone","대장장이의 숫돌","Amolador do Ferreiro","Точильный камень","Piedra de Afilar","Blacksmith's Whetstone","磨刀石",1,4,"",1,"",1
140,"RecipeCurrencyMapQuality",1,770,"Cartographer's Chisel","Cartographer's Chisel","Meißel des Kartographen","Cartographer's Chisel","지도제작자의 끌","Cinzel do Cartógrafo","Резец картографа","Cincel del Cartógrafo","Cartographer's Chisel","製圖釘",1,4,"",1,"",1
141,"RecipeCurrencyGemQuality",1,771,"Gemcutter's Prism","Gemcutter's Prism","Prisma des Gemmenschneiders","Gemcutter's Prism","세공사의 프리즘","Prisma do Lapidário","Призма камнереза","Prisma del tallador de gemas","Gemcutter's Prism","寶石匠的稜鏡",1,4,"",1,"",1
142,"RecipeCurrencyFlaskQuality",1,772,"Glassblower's Bauble","Glassblower's Bauble","Kugel des Glasbläsers","Glassblower's Bauble","유리직공의 방울","Bolha do Vidreiro","Стекольная масса","Baratija de Vidrio","Glassblower's Bauble","玻璃彈珠",1,4,"",1,"",1
143,"RecipeCurrencyRerollSocketColours",1,773,"Chromatic Orb","Chromatic Orb","Färbungssphäre","Chromatic Orb","색채의 오브","Orbe Cromático","Цветная Сфера","Orbe Cromático ","Chromatic Orb","幻色石",1,4,"",1,"",1
144,"RecipeCurrencyRerollSocketNumbers",1,774,"Jeweller's Orb","Jeweller's Orb","Sphäre des Goldschmieds","Jeweller's Orb","쥬얼러 오브","Orbe do Joalheiro","Сфера златокузнеца","Orbe del Joyero ","Jeweller's Orb","工匠石",1,4,"",1,"",1
145,"RecipeCurrencyUpgradeRandomly",1,775,"Orb of Chance","Orb of Chance","Sphäre der Möglichkeiten","Orb of Chance","기회의 오브","Orbe da Chance","Сфера удачи","Orbe de Azar","Orb of Chance","機會石",1,4,"",1,"",1
146,"RecipeCurrencyUpgradeToRare",1,776,"Orb of Alchemy","Orb of Alchemy","Sphäre der Alchemie","Orb of Alchemy","연금술의 오브","Orbe da Alquimia","Сфера алхимии","Orbe de Alquimia ","Orb of Alchemy","點金石",1,4,"",1,"",1
147,"RecipeCurrencyRerollRare",1,777,"Chaos Orb","Chaos Orb","Chaossphäre","Chaos Orb","카오스 오브","Orbe do Caos","Сфера хаоса","Orbe de Caos","Chaos Orb","混沌石",1,4,"",1,"",1
148,"RecipeCurrencyConvertToNormal",1,778,"Orb of Scouring","Orb of Scouring","Sphäre der Läuterung","Orb of Scouring","정제의 오브","Orbe do Expurgo","Сфера очищения","Orbe de Purga ","Orb of Scouring","重鑄石",1,4,"",1,"",1
149,"RecipeCurrencyUpgradeMagicToRare",1,779,"Regal Orb","Regal Orb","Hoheitliche Sphäre","Regal Orb","제왕의 오브","Orbe Real","Сфера царей","Orbe Regio","Regal Orb","富豪石",1,4,"",1,"",1
150,"RecipeCurrencyModValues",1,780,"Divine Orb","Divine Orb","Göttliche Sphäre","Divine Orb","신성한 오브","Orbe Divino","Божественная Сфера","Orbe Divino","Divine Orb","神聖石",1,4,"",1,"",1
151,"RecipeUnidentifiedMagic",1,781,"Unidentified Magic Item","Unidentified Magic Item","Nicht identifizierter magischer Gegenstand","Unidentified Magic Item","미확인 마법 아이템","Item Mágico Não Identificado","Неопознанный волшебный предмет","Objeto Mágico No Identificado ","Unidentified Magic Item","未鑑定的魔法道具",1,4,"",1,"",1
152,"RecipeUnidentifiedRare",1,782,"Unidentified Rare Item","Unidentified Rare Item","Nicht identifizierter seltener Gegenstand","Unidentified Rare Item","미확인 희귀 아이템","Item Raro Não Identificado","Неопознанный редкий предмет","Objeto Raro No Identificado ","Unidentified Rare Item","未鑑定的稀有道具",1,4,"",1,"",1
153,"RecipeAmulet1",1,783,"Paua Amulet","Paua Amulet","Pauaamulett","Paua Amulet","파우아 목걸이","Amuleto Paua","Амулет из ракушек","Amuleto Paua","Paua Amulet","海靈護身符",1,4,"",1,"",1
154,"RecipeAmulet2",1,784,"Coral Amulet","Coral Amulet","Korallenamulett","Coral Amulet","산호 목걸이","Amuleto Coral","Коралловый амулет","Amuleto de Coral","Coral Amulet","珊瑚護身符",1,4,"",1,"",1
155,"RecipeRing5",1,785,"Topaz Ring","Topaz Ring","Topasring","Topaz Ring","토파즈 반지","Anel de Topázio","Кольцо с топазом","Anillo de Topacio","Topaz Ring","黃玉戒指",1,4,"",1,"",1
156,"RecipeRing6",1,786,"Sapphire Ring","Sapphire Ring","Saphirring","Sapphire Ring","사파이어 반지","Anel de Safira","Кольцо с сапфиром","Anillo de Zafiro ","Sapphire Ring","藍玉戒指",1,4,"",1,"",1
157,"RecipeRing7",1,787,"Ruby Ring","Ruby Ring","Rubinring","Ruby Ring","루비 반지","Anel de Rubi","Кольцо с рубином","Anillo de Rubí ","Ruby Ring","紅玉戒指",1,4,"",1,"",1
158,"RecipeAmulet8",1,788,"Turquoise Amulet","Turquoise Amulet","Türkisamulett","Turquoise Amulet","터키석 목걸이","Amuleto de Turquesa","Амулет с бирюзой","Amuleto Turquesa","Turquoise Amulet","青玉護身符",1,4,"",1,"",1
159,"RecipeAmulet9",1,789,"Agate Amulet","Agate Amulet","Achatamulett","Agate Amulet","마노 목걸이","Amuleto de Ágata","Амулет с агатом","Amuleto de Ágata ","Agate Amulet","瑪瑙護身符",1,4,"",1,"",1
160,"RecipeAmulet10",1,790,"Citrine Amulet","Citrine Amulet","Zitrinamulett","Citrine Amulet","황수정 목걸이","Amuleto de Citrina","Амулет с цитрином","Amuleto Citrino","Citrine Amulet","黃晶護身符",1,4,"",1,"",1
161,"RecipeAnyLifeFlask",1,791,"Any Life Flask","Any Life Flask","Beliebiges Lebensfläschchen","Any Life Flask","임의의 생명력 플라스크","Qualquer Frasco de Vida","Любой флакон жизни","Cualquier Frasco de Vida","Any Life Flask","任一生命藥劑",1,4,"",1,"",1
162,"RecipeAnyManaFlask",1,792,"Any Mana Flask","Any Mana Flask","Beliebiges Manafläschchen","Any Mana Flask","임의의 마나 플라스크","Qualquer Frasco de Mana","Любой флакон маны","Cualquier Frasco de Maná","Any Mana Flask","任一魔力藥劑",1,4,"",1,"",1
163,"RecipeAnyHybridFlask",1,793,"Any Hybrid Flask","Any Hybrid Flask","Beliebiges Hybridfläschchen","Any Hybrid Flask","임의의 하이브리드 플라스크","Qualquer Frasco Híbrido","Любой флакон равновесия","Cualquier Frasco Híbrido ","Any Hybrid Flask","任一複合藥劑",1,4,"",1,"",1
164,"RecipeMap",1,794,"Any Map","Any Map","Beliebige Karte","Any Map","임의의 지도","Qualquer Mapa","Любая карта","Cualquier Mapa","Any Map","任一地圖",1,4,"",1,"",1
165,"RecipeGem",1,795,"Any Gem","Any Gem","Beliebige Gemme","Any Gem","임의의 젬","Qualquer Gema","Любой камень","Cualquier Gema","Any Gem","任一技能寶石",1,4,"",1,"",1
166,"OpenMapTier1_1",1,796,"Crypt","Crypt","Krypta","Crypt","지하실","Cripta","Склеп","Cripta","Crypt","靜謐陵墓",1,5,"",1,"",1
167,"OpenMapTier1_2",1,797,"Dungeon","Dungeon","Verlies","Dungeon","던전","Masmorra","Подземелье","Mazmorra","Dungeon","禁魂炎獄",1,5,"",1,"",1
168,"OpenMapTier1_3",1,798,"Grotto","Grotto","Grotte","Grotto","석굴","Gruta","Грот","Gruta ","Grotto","幽暗地穴",1,5,"",1,"",1
169,"OpenMapTier1_4",1,799,"Overgrown Ruin","Overgrown Ruin","Verwilderte Ruine","根に覆われた遺跡","무성한 유적","Ruína Coberta","Заросшие руины","Ruina Descuidada","Overgrown Ruin","長草遺跡",1,5,"",1,"",1
170,"OpenMapTier1_5",1,800,"Dunes","Dunes","Dünen","Dunes","사구","Dunas","Дюны","Dunas","Dunes","暮色沙丘",1,5,"",1,"",1
171,"OpenMapTier1_6",1,801,"Dried Lake","Dried Lake","Ausgetrockneter See","Dried Lake","말라붙은 호수","Lago Seco","Высохшее озеро","Lago Árido","Dried Lake","乾涸湖岸",1,5,"",1,"",1
172,"OpenMapTier1_7",1,802,"Tropical Island","Tropical Island","Tropische Insel","Tropical Island","열대 섬","Ilha Tropical","Тропический остров","Isla Tropical ","Tropical Island","晴空幽島",1,5,"",1,"",1
173,"OpenMapTier2_1",1,803,"Wharf","Wharf","Werft","Wharf","부두","Cais","Пристань","Embarcadero","Wharf","毒牙海港",1,5,"",1,"",1
174,"OpenMapTier2_2",1,804,"Arsenal","Arsenal","Arsenal","兵器庫","병기창","Arsenal","Арсенал","Arsenal","Arsenal","古兵工廠",1,5,"",1,"",1
175,"OpenMapTier2_3",1,805,"Thicket","Thicket","Dickicht","Thicket","잡목림","Matagal","Чаща","Matorral","Thicket","驚懼樹叢",1,5,"",1,"",1
176,"OpenMapTier2_4",1,806,"Mountain Ledge","Mountain Ledge","Felsvorsprung","Mountain Ledge","산 바위 턱","Desfiladeiro da Montanha","Морской утёс","Saliente de Montaña","Mountain Ledge","濱海山丘",1,5,"",1,"",1
177,"OpenMapTier2_5",1,807,"Cemetery","Cemetery","Totenacker","Cemetery","공동묘지","Cemitério","Погост","Camposanto","Cemetery","晨曦墓地",1,5,"",1,"",1
178,"OpenMapTier2_6",1,808,"Sewer","Sewer","Kanalisation","Sewer","하수도","Esgoto","Канализация","Alcantarilla","Sewer","下水道",1,5,"",1,"",1
179,"OpenMapTier2_7",1,809,"Arcade","Arcade","Arkaden","Arcade","상점가","Arcada","Агора","Galería","Arcade","崩壞長廊",1,5,"",1,"",1
180,"OpenMapTier3_1",1,810,"Ghetto","Ghetto","Elendsviertel","Ghetto","빈민촌","Gueto","Хибары","Gueto","Ghetto","赤貧居所",1,5,"",1,"",1
181,"OpenMapTier3_2",1,811,"Spider Lair","Spider Lair","Spinnenhöhle","Spider Lair","거미 소굴","Covil da Aranha","Паучье логово","Guarida de la Araña","Spider Lair","巨蛛巢穴",1,5,"",1,"",1
182,"OpenMapTier3_3",1,812,"Vaal Pyramid","Vaal Pyramid","Vaal-Pyramide","Vaal Pyramid","바알 피라미드","Pirâmide Vaal","Пирамида ваал","Pirámide Vaal","Vaal Pyramid","瓦爾金字塔",1,5,"",1,"",1
183,"OpenMapTier3_4",1,813,"Reef","Reef","Riff","Reef","암초","Recife","Риф","Arrecife","Reef","危機海礁",1,5,"",1,"",1
184,"OpenMapTier3_5",1,814,"Springs","Springs","Quellen","Springs","수원","Nascentes","Родники","Manantiales","Springs","奇術之泉",1,5,"",1,"",1
185,"OpenMapTier3_6",1,815,"Mud Geyser","Mud Geyser","Schlammgeysir","Mud Geyser","진흙 간헐천","Gêiser de Lama","Грязевой гейзер","Géiser de Fango","Mud Geyser","陰晦泥灘",1,5,"",1,"",1
186,"OpenMapTier4_1",1,816,"Catacombs","Catacombs","Katakomben","Catacombs","지하 묘지","Catacumbas","Катакомбы","Catacumbas ","Catacombs","黑石陵墓",1,5,"",1,"",1
187,"OpenMapTier4_2",1,817,"Overgrown Shrine","Overgrown Shrine","Verwilderter Schrein","根に覆われた神殿","무성한 성소","Altar Coberto","Заросшая обитель","Santuario Descuidado","Overgrown Shrine","密草神殿",1,5,"",1,"",1
188,"OpenMapTier4_3",1,818,"Tunnel","Tunnel","Tunnel","Tunnel","터널","Túnel","Тоннель","Túnel ","Tunnel","冰冷通道",1,5,"",1,"",1
189,"OpenMapTier4_4",1,819,"Shore","Shore","Ufer","Shore","바닷가","Litoral","Берег","Orilla","Shore","暮光海灘",1,5,"",1,"",1
190,"OpenMapTier4_5",1,820,"Spider Forest","Spider Forest","Spinnenwald","Spider Forest","거미 숲","Floresta da Aranha","Паучий лес","Bosque de Arañas","Spider Forest","巨蛛之林",1,5,"",1,"",1
191,"OpenMapTier4_6",1,821,"Promenade","Promenade","Promenade","Promenade","산책로","Esplanada","Прогулочный парк","Rambla","Promenade","月色迴廊",1,5,"",1,"",1
192,"OpenMapTier5_1",1,822,"Underground Sea","Underground Sea","Unterirdischer See","Underground Sea","지하 해양","Mar Subterrâneo","Подземное море","Mar Subterráneo","Underground Sea","濱海幽穴",1,5,"",1,"",1
193,"OpenMapTier5_2",1,823,"Pier","Pier","Pier","Pier","선창","Píer","Причал","Muelle","Pier","怒浪之港",1,5,"",1,"",1
194,"OpenMapTier5_3",1,824,"Bog","Bog","Sumpf","Bog","습지대","Brejo","Трясина","Ciénaga","Bog","瘴氣泥沼",1,5,"",1,"",1
195,"OpenMapTier5_4",1,825,"Graveyard","Graveyard","Friedhof","Graveyard","묘지","Sepulcrário","Кладбище","Cementerio ","Graveyard","墮影墓場",1,5,"",1,"",1
196,"OpenMapTier5_5",1,826,"Coves","Coves","Buchten","Coves","만","Enseadas","Бухта","Caletas","Coves","疾風峽灣",1,5,"",1,"",1
197,"OpenMapTier6_1",1,827,"Temple","Temple","Tempel","Temple","사원","Templo","Храм","Templo","Temple","奪魂之殿",1,5,"",1,"",1
