"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","SoundFile","ParrotSoundFile","i32"
33,"Marauder34","The Eternals had no respect for their land.","Les Éternels n'avaient aucun respect pour leurs terres.","Die Ewigen hegten keinen Respekt für ihr Land.","永遠なる者達は自身らの土地への敬意が無かったようだ。","제국 놈들은 자기 땅에 소홀했나 보군.","Os Eternos não tinham respeito por suas próprias terras.","Вечные не уважали свою землю.","Los Eternos no tenían ningún respeto por su tierra.","พวกนิรันดร์​ชน​ไม่​เคารพ​แผ่น​ดิน​ของ​พวก​เขา​เลย​สัก​นิด","不朽帝國的居民對他們的土地毫無敬重。","Audio/Dialogue/Character/Str/Event/Ma_37.ogg","",10000
34,"Marauder35","Your Empire is dead, Voll. Join it.","Ton empire est mort, Voll. Rejoins-le.","Euer Kaiserreich ist tot, Voll. Tut es ihm gleich.","ヴォール、お前の帝国は死んだ。お前もあちらへ行くがいい。","볼, 너의 제국은 죽었다. 이제 네 차례다.","Seu Império está morto, Voll. Junte-se a ele.","Волл, твоя империя мертва. Умри вместе с ней.","Tu Imperio está muerto, Voll. Únete a él.","จักรวรรดิ​ของ​เจ้า​ตาย​ไป​แล้ว โวลล์ ถึง​ตา​เจ้า​บ้าง","你的帝國敗亡了，福爾。隨之而去吧。","Audio/Dialogue/Character/Str/Event/Ma_38.ogg","",10000
35,"Marauder36","I hear you Kitava. I walk in your kingdom, and I am coming for you.","Je t'entends, Kitava. Je traverse ton royaume et je viens te chercher.","Ich höre Euch, Kitava. Ich wandele durch Euer Königreich, gekommen, um Euch zu holen.","聞こえるぞ、キタヴァ。今お前の王国を歩いている。お前の所へ向かっているぞ。","키타바여, 네 소리가 들리는구나. 너를 쫓아 너의 왕국까지 내가 이렇게 왔다.","Eu te escuto, Kitava. Eu caminho pelo seu reino e você será a próxima.","Китава, я слышу тебя. Я в твоём царстве. Я иду за тобой.","Puedo oírte Kitava. Estoy atravesando tu reino y voy directo hacia ti.","ข้า​ได้ยิน​แกแล้ว คิทาวา ข้า​เดิน​ใน​อาณาจักร​ของฉก และ​ข้า​กำลัง​จะ​มา​จัดการ​แก","我聽到你的聲音了，奇塔弗。我已進入你的王國，我要去找你了。","Audio/Dialogue/Character/Str/Event/Ma_39.ogg","",10000
36,"Marauder37","Kitava's belly rumbles. He is hungry for me.","Le ventre de Kitava gronde. Il veut me dévorer.","Kitavas Bauch beginnt zu rumoren. Offenbar hat er großen Appetit auf mich.","キタヴァの腹が鳴っている。私を喰いたがっているようだ。","키타바의 배가 울렁대는군. 내게 입맛을 다시는 건가.","A barriga de Kitava está roncando. Ele anseia por mim.","Живот Китавы бурчит. Он хочет меня сожрать.","El estómago de Kitava ruge. Tiene hambre de mí.","เสียง​ท้อง​ของ​คิทาวา​ดัง​สนั่น มัน​กำลัง​หิวโหย​ที่​จะ​กิน​ข้า","奇塔弗的腹部咕嚕作響。我讓他感到飢腸轆轆。","Audio/Dialogue/Character/Str/Event/Ma_40.ogg","",10000
37,"Marauder38","Karui and Maraketh once fought together. I honour that friendship.","Les Karuis et les Marakeths ont combattu ensemble autrefois. J'honore cette amitié.","Einst kämpften Karui und Maraketh Seite an Seite. Ich ehre diese Freundschaft.","かつてカルイとマラケスは共に戦った。私はその友情を尊重する。","마라케스는 한 때 카루이와 함께 싸웠지. 그 우정을 존중하겠다.","Os Karui e os Maraketh já lutaram juntos. Eu honro tal amizade.","Когда-то каруи и маракеты дрались вместе. Я уважаю старых друзей.","Los Karui y los Maraketh lucharon juntos en algún tiempo. Yo honro esa amistad.","ชาว​คารุย​และ​ชาว​มาราเค็ท​เคย​ต่อสู้​ร่วม​กัน​มา​ก่อน ข้า​ให้​เกียรติ​แก่​มิตรภาพ​นั้น","卡魯族和馬拉卡斯人曾經並肩作戰。我很敬重這份情誼。","Audio/Dialogue/Character/Str/Event/Ma_41.ogg","",10000
38,"Marauder39","You will feast no longer, Kitava! The Ancestors demand it!","Tu ne festoieras plus, Kitava ! Les Ancêtres l'exigent !","Ihr werdet Euch nicht länger laben, Kitava! Die Ahnen verlangen danach!","饗宴は終わりだ、キタヴァよ！先祖たちがご所望だ！","연회는 곧 끝이다, 키타바! 선조들께서 이를 명하시는구나!","Você não se alimentará mais, Kitava! Esta é a vontade dos Ancestrais!","Китава, твоё время вышло! Предки взывают к ответу!","¡Tus festines se acaban, Kitava! ¡Los Ancestros lo ordenan!","แกจะ​มิได้​สวาปาม​อีก​ต่อ​ไป คิทาวา! นี่​เป็น​คำบัญชา​จาก​บรรพ​ชน​!","你不會再感到飢餓了，奇塔弗！先祖要你的命！","Audio/Dialogue/Character/Str/Event/Ma_42.ogg","",10000
39,"Marauder40","Oriathans. How they love to sing about themselves.","Ces Oriathéens. Comme ils aiment chanter leurs propres louanges.","Oriather. Wie gern sie doch über ihr Volk singen.","オリアス人は、自分たちについて歌うのが本当に好きだな。","오리아스 놈들이란. 자기네 얘기를 노래로 만드는데 환장했지.","Oriathianos. Eles amam cantar sobre si mesmos.","Жители Ориата. Они любят кудахтать о себе.","Oriathanos. Aman cantar sobre sí mismos.","ชาว​โอริอาท​ก็​แบบ​นี้ พวก​เขา​ชอบ​ร่ำ​ร้อง​เกี่ยว​กับ​ตัว​เอง​เสีย​จริง","奧瑞亞人。他們可真愛自吹自擂。","Audio/Dialogue/Character/Str/Event/Ma_43.ogg","",10000
40,"Marauder41","Tukohama did not call you, Kaom. Kitava did.","Ce n'est pas Tukohama qui t'a appelé, Kaom. C'est Kitava.","Tukohama war es nicht, der Euch gerufen hat, Kaom. Es war Kitava.","トゥクハマが呼んだのではないぞ、カオム。キタヴァが呼んだのだ。","아직도 투코하마께서 너와 함께 하는줄 아는가, 카옴. 키타바라면 몰라도.","Tukohama não te chamou, Kaom. Era Kitava.","Каом, Тукохама тебя не звал. Ты услышал Китаву.","Tukohama no fue quien te llamó, Kaom. Fue Kitava.","ทูโคฮาม่า​มิได้​เรียก​เจ้า คอมม์ แต่​เป็น​คิทาวา​ต่าง​หาก","圖克哈瑪並沒有呼喚你，岡姆。呼喚你的是奇塔弗。","Audio/Dialogue/Character/Str/Event/Ma_44.ogg","",10000
41,"Marauder42","They followed you, Kaom. They trusted you.","Ils t'ont suivi, Kaom. Ils te faisaient confiance.","Sie sind Euch gefolgt, Kaom. Sie haben Euch vertraut.","彼らはお前に従ったのだぞ、カオム。お前を信頼していたのだ。","저들은 너를 따랐다, 카옴. 너를 믿었단 말이다.","Eles te seguiram, Kaom. Eles confiaram em ti.","Каом, воины шли за тобой. Они тебе верили.","Te seguían, Kaom. Confiaban en ti.","พวก​เขา​ติดตาม​แก คอมม์ พวก​เขา​ไว้ใจ​แก","他們都跟隨你，岡姆。他們信任你。","Audio/Dialogue/Character/Str/Event/Ma_45.ogg","",10000
42,"Marauder43","It is not the Karui Way to question our king. The Way needs to change.","Ce n'est pas dans la Voie karuie de remettre en question notre roi. La Voie doit changer.","Es obliegt nicht dem Kodex der Karui, unseren König anzuzweifeln. Der Kodex muss eine Änderung erfahren.","我らの王を疑うのは、カルイのやり方ではない。やり方を変えるべきだ。","카루이의 길을 따르자면 왕을 의심해서는 안 되겠지. 하지만 우리의 길도 바뀔 때가 되었다.","A Tradição Karui diz que não devemos questionar nosso Rei. A Tradição deve mudar.","Путь каруи запрещает сомневаться в вожде. Но всё меняется.","Cuestionar a nuestro rey no es parte de la Tradición Karui. La Tradición debe cambiar.","มัน​มิใช่​วิถี​คารุย​ที่​จะ​ตั้ง​คำถาม​ต่อ​ราชา​ของ​พวก​เขา วิถี​นี้​ต้อง​เปลี่ยนแปลง","質疑我族王者，有違卡魯之道。卡魯之道需要變革了。","Audio/Dialogue/Character/Str/Event/Ma_46.ogg","",10000
43,"Marauder44","I reject your honour, Kaom.","Je rejette ton honneur, Kaom.","Ich weise Eure Ehrerbietung zurück, Kaom.","カオム、私はお前の誇りを否定する。","네 명예 따위는 거절이다, 카옴.","Eu rejeito sua honra, Kaom.","Каом, ты предал свою честь.","Rechazo tu honor, Kaom.","ข้า​ไม่​ยอมรับ​เกียรติ​ของ​แก คอมม์","我拒絕接受你的敬意，岡姆。","Audio/Dialogue/Character/Str/Event/Ma_47.ogg","",10000
44,"Marauder45","The Ancestors would weep to see what Kaom has created here.","Les Ancêtres seraient désespérés de voir ce que Kaom a créé ici.","Die Ahnen würden in Tränen ausbrechen, könnten sie sehen, was Kaom hier erschaffen hat.","カオムがここで生み出したものを先祖たちが見たら、さぞ悲しむであろう。","카옴이 이런 곳을 만들었다니. 선조들께서 슬퍼하실 일이로군.","Os Ancestrais chorariam ao ver o que Kaom criou aqui.","Каом, предки оплачут сотворённую тобой мерзость.","Los Ancestros llorarían al ver lo que Kaom ha creado aquí.","เหล่าบรรพชน​ย่อม​ร่ำไห้​ที่​ได้​เห็น​สิ่ง​ที่​คอมม์​ได้​สร้าง​เอา​ไว้​ที่​นี่","若看見岡姆在此的所做所為，先祖地下有知都會哭泣。","Audio/Dialogue/Character/Str/Event/Ma_48.ogg","",10000
45,"Marauder46","I honour you with a warrior's death, Kaom. It is more than you deserved. ","Je t'offre une mort de guerrier, Kaom. C'est plus que ce que tu ne mérites. ","Ich ehre Euch mit dem Tod eines Kriegers, Kaom. Das ist mehr, als Ihr verdient habt. ","お前に戦士の死を授けよう、カオムよ。お前には勿体ないがな。","전사로서 죽게 해 주마, 카옴. 과분한 줄 알아라.","Eu darei a você a honra de morrer como um guerreiro, Kaom. É muito mais do que você merece. ","Каом, я дарю тебе смерть воина, хотя ты её не заслужил.","Te honro con una muerte de guerrero, Kaom. Es más de lo que mereces.","ข้า​มอบ​เกียรติ​ให้​กับ​แก​ด้วย​ความ​ตาย​เยี่ยง​นักรบ คอมม์ มัน​สูงส่ง​เสีย​ยิ่ง​กว่า​ที่​แก​ควร​ได้​รับ","我尊敬你，岡姆，我讓你像戰士般死去。這遠遠超過你應得的結局。","Audio/Dialogue/Character/Str/Event/Ma_49.ogg","",10000
46,"Marauder47","The way to a god's heart is through his guts.","Le chemin jusqu'au cœur d'un dieu passe par ses entrailles.","Der Weg zum Herzen eines Gottes führt durch seine Eingeweide.","神の心臓への道は、内臓を通してだ。","신의 심장으로도 내장을 거쳐가야 하는 거였군.","O caminho para o coração de um deus é pelas suas tripas.","Путь к сердцу бога лежит через его потроха.","Al corazón de un dios se llega por sus entrañas.","จะ​เข้าไป​ใน​ใจ​ของ​เทพเจ้า​ได้ ก็​ต้อง​ผ่าน​อวัยวะ​ท่าน​ไป​เสีย​ก่อน","取其臟器祭天，方得蒙神悅納。","Audio/Dialogue/Character/Str/Event/Ma_50.ogg","",10000
