"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
171,"PvPPlayerHasAscendancy","Unable to join PvP: You have chosen an Ascendancy class, which is not allowed for this PvP type.","Impossible de rejoindre le PvP : vous avez choisi une classe d'Ascendance, ce qui est prohibé par ce type de PvP.","Konnte PvP nicht beitreten: Du hast eine unzulässige Aszendenzklasse für diesen PvP-Typ gewählt.","PvPに参加することができません：あなたはアセンダンシークラスを選択しており、この種類のPvPに参加することができません。","PvP에 들어갈 수 없습니다. 선택한 전직 클래스가 본 PvP 종류에 맞지 않습니다.","Incapaz de juntar-se ao PvP: Você escolheu uma Classe Ascendente que não é permitida nesse tipo de PvP.","Невозможно присоединиться к PvP: вы выбрали класс Восхождения, что недопустимо для данного типа PvP","No es posible unirse a JcJ: has elegido una clase de Ascendencia que no está permitida para este tipo de JcJ.","ไม่สามารถเข้าร่วม PVP ได้: คุณได้เลือก Ascendancy class ซึ่งไม่ได้รับอนุญาตสำหรับ PVP ประเภทนี้","無法加入：你已經選擇了昇華職業。此對戰類別不允許。"
172,"PvPPartyMemberHasAscendancy","Unable to join PvP: A party member has chosen an Ascendancy class, which is not allowed for this PvP type.","Impossible de rejoindre le PvP : un membre de votre groupe a choisi une classe d'Ascendance, ce qui est prohibé par ce type de PvP.","Konnte PvP nicht beitreten: Ein Gruppenmitglied hat eine unzulässige Aszendenzklasse für diesen PvP-Typ gewählt.","PvPに参加することができません：パーティーメンバーはアセンダンシークラスを選択しており、この種類のPvPに参加することができません。","PvP에 들어갈 수 없습니다. 파티원이 선택한 전직 클래스가 본 PvP 종류에 맞지 않습니다.","Incapaz de juntar-se ao PvP: Um membro do grupo escolheu uma Classe Ascendente que não é permitida nesse tipo de PvP.","Невозможно присоединиться к PvP: член группы выбрал класс Восхождения, что недопустимо для данного типа PvP","No es posible unirse a JcJ: un miembro del grupo ha elegido una clase de Ascendencia que no está permitida para este tipo de JcJ.","ไม่สามารถเข้าร่วม PVP ได้: สมาชิกปาร์ตี้ได้เลือก Ascendancy class ซึ่งไม่ได้รับอนุญาตสำหรับ PVP ประเภทนี้","無法加入：你的隊伍成員已經選擇了昇華職業。此對戰類別不允許。"
173,"PvPJoinFail","Unable to join PvP queue because: {0}","Impossible de rejoindre la file d'attente PvP pour la raison suivante : {0}","Konnte PvP-Warteschlange nicht beitreten. Grund: {0}","PvPの参加に待機することができません。原因：{0}","PvP 대기열에 들어갈 수 없습니다. 오류: {0}","Impossível entrar na fila PvP porque: {0}","Не удалось присоединиться к PvP очереди: {0}","No es posible unirse a la lista de espera JcJ porque: {0}","ไม่สามารถเข้าร่วมคิว PvP ได้เนื่องจาก: {0}","無法加入對戰序列，原因：{0}。"
174,"PvPQueueCancelled","PvP Queue cancelled.","File d'attente PvP annulée.","PvP-Warteschlange abgebrochen.","PvPの待機状態がキャンセルされました。","PvP 대기열이 취소되었습니다.","Fila PvP cancelada.","PvP Очередь отменена.","Cola JcJ cancelada.","คิว PvP ถูกยกเลิก","對戰序列取消。"
175,"PvPQueueCancelledBy","PvP Queue cancelled by {0}.","File d'attente PvP annulée par {0}.","PvP-Warteschlange von {0} abgebrochen.","PvPの待機状態が{0}によりキャンセルされました。","{0} 님이 PvP 대기열을 취소했습니다.","Fila PvP cancelada por {0}.","PvP Очередь отменена игроком {0}.","Cola JcJ cancelada porque: {0}.","คิว PvP ถูกยกเลิกโดย {0}","對戰序列已被 {0} 取消。"
176,"PvPMatchListUnreachable","Unable to get PvP match list because: {0}","Impossible d'accéder à la liste de matchs PvP pour la raison suivante : {0}","Kann keine PvP-Match-Liste abrufen. Grund: {0}","PvPのマッチリストの取得に失敗しました。原因：{0}","PvP 경기 목록을 불러올 수 없습니다. 오류: {0}","Impossível obter lista de partidas PvP porque: {0}","Не удалось получить список PvP матча:","No es posible obtener lista de combates JcJ porque: {0}","ไม่สามารถรับรายชื่อการแข่งขัน PvP ได้เนื่องจาก: {0}","無法取得對戰名單，原因：{0}。"
177,"PvPDisabled","PvP is disabled here.","Le mode PvP est désactivé ici.","PvP ist hier deaktiviert.","ここではPvPを行うことはできません。","PvP가 해제된 곳입니다.","O PvP está desabilitado aqui.","PvP отключена для этой лиги.","JcJ está deshabilitado aquí.","PvP ถูกปิดใช้งานที่นี่","此處禁止 PvP 對戰。"
178,"PlayerSuicide","{0} has committed suicide.","{0} a mis fin à ses jours.","{0} hat Selbstmord begangen.","{0}が自殺しました。","{0} 님이 스스로 목숨을 끊었습니다.","{0} cometeu suicídio.","{0} покончил с собой","{0} se ha suicidado.","{0} ได้ฆ่าตัวตาย","{0} 自殺了。"
179,"PlayerSlain","{0} has been slain.","{0} vient de mourir.","{0} wurde getötet.","{0}が死亡しました。","{0} 님이 사망했습니다.","{0} foi morto.","{0} был повержен.","{0} ha muerto.","{0} ถูกสังหาร","{0} 被殺死了。"
180,"NoCharacterSpecified","Please specify a character name.","Veuillez saisir un nom de personnage.","Bitte gib einen Charakternamen an.","キャラクター名を指定してください。","특정한 캐릭터 이름을 입력해 주십시오.","Por favor, especifique um nome de personagem.","Пожалуйста, укажите имя персонажа.","Especifica un nombre de personaje.","โปรดระบุชื่อตัวละคร","請輸入一個玩家名稱。"
181,"WhoIsOffline","{0} is a level {2} {3} in the {1} league who is not currently online.","{0}, {3} de niveau {2} appartenant à la ligue {1}, n'est pas en ligne actuellement.","{0} ist {3} der Stufe {2} in der {1}-Liga und ist derzeit offline.","{0}は{1}リーグのレベル{2} {3} で、現在オンラインではありません。","{0} 님은 {1} 리그에서 {3} {2} 레벨이며, 현재 온라인 상태가 아닙니다.","{0} ({3}) nível {2} na liga {1} que não está online no momento.","{0} имеет уровень {2} {3} в лиге {1}, в настоящее время игрок не в сети.","{0} es un {3} de nivel {2} en la liga {1} que actualmente no está conectado.","{0} คือเลเวล {2} {3} ในลีก {1} ซึ่งตอนนี้ไม่ได้ออนไลน์","名稱：{0}、職業：{3}、等級：{2}、聯盟：{1}、狀態：不在線上。"
182,"WhoIsOnline","{0} is a level {2} {3} in the {1} league and is currently playing in {4}.","{0}, {3} de niveau {2} appartenant à la ligue {1}, se trouve actuellement dans : {4}.","{0} ist {3} der Stufe {2} in der {1}-Liga und spielt derzeit in {4}.","{0}は{1}リーグのレベル{2} {3} で、現在{4}でプレイ中です。","{0} 님은 {1} 리그에서 {3} {2} 레벨이며, 현재 {4}에서 플레이 중입니다.","{0} ({3}) nível {2} na liga {1} que está jogando em {4} no momento.","{0} имеет уровень {2} {3} в лиге {1} и сейчас играет в {4}.","{0} es un {3} de nivel {2} en la liga {1} y actualmente está jugando en {4}.","{0} คือเลเวล {2} {3} ในลีก {1} และตอนนี้กำลังเล่นอยู่ใน {4}","名稱：{0}、職業：{3}、等級：{2}、聯盟：{1}、狀態：{4}。"
183,"ItemOnCursorLevel","Item on cursor is level {0}.","L'objet sous le curseur est de niveau {0}.","Der Gegenstand am Cursor hat Stufe {0}.","カーソルのアイテムはレベル{0}です。","커서에 위치한 아이템은 {0}레벨입니다.","O item no cursor é nível {0}.","Предмет под курсором имеет уровень {0}.","El objeto en el cursor es nivel {0}.","ไอเทมบนเคอร์เซอร์เลเวล {0}","游標上的道具物品等級為：{0}。"
184,"NoItemOnCursor","There is no item on the cursor.","Aucun objet ne se trouve sous le curseur.","Es befindet sich kein Gegenstand am Cursor.","カーソルにアイテムはありません。","커서 위에 아이템이 존재하지 않습니다.","Não há nenhum item no cursor.","Нет предмета под курсором.","No hay objeto en el cursor.","ไม่มีไอเทมบนเคอร์เซอร์","游標上沒有道具。"
185,"ItemOnCursorHasNoLevel","Item on cursor doesn't have a level (it needs to be one that can get mods).","L'objet sous le curseur n'a pas de niveau (il faut qu'il puisse avoir des mods).","Der Gegenstand am Cursor hat keine Stufe (muss Modifikator-fähig sein).","カーソルのアイテムにはレベルがありません（モッドを得られるものである必要があります）。","커서에 위치한 아이템은 레벨이 없습니다(속성 부여를 붙일 수 있는 아이템이어야 합니다).","O item no cursor não tem um nível (ele precisa ser um que possa receber propriedades).","Предмет под курсором не имеет уровня (должен иметь возможность модификации).","El objeto en el cursor no tiene nivel (tiene que ser de uno que pueda recibir modificadores).","ไอเทมบนเคอร์เซอร์ไม่มีเลเวล (ต้องเป็นไอเทมที่สามารถรับม็อดได้)","游標上的道具沒有物品等級（物品需要有等級才能獲得屬性）。"
186,"FixMyHelmetSuccess","Helmet updated.","Casque mis à jour.","Helm aktualisiert.","ヘルメットが更新されました。","투구를 갱신했습니다.","Elmo atualizado.","Шлем обновлен","Casco actualizado.","อัพเดตหมวกแล้ว","頭盔模組升級完畢。"
187,"OperationFailed","Operation failed.","Opération échouée.","Aktion fehlgeschlagen.","操作が失敗しました。","작업을 실패했습니다.","Falha na operação.","Действие не удалось","La operación falló.","ดำเนินการไม่สำเร็จ","操作失敗。"
188,"FixMyHelmetAlreadyFixed","That helmet already has the correct visual identity.","Ce casque possède déjà la bonne identité visuelle.","Dieser Helm hat bereits die korrekte optische Erscheinung.","そのヘルメットは既に適切な見た目になっています。","해당 투구는 이미 외형 변경을 완료했습니다.","Este elmo já tem a identidade visual correta.","Этот шлем уже имеет корректный вид","Ese casco ya tiene la identidad visual correcta.","หมวกนั้นมีวิชวลไอเดนทิตีที่ถูกต้องอยู่แล้ว","此頭盔目前已是正確的模組。"
